k,a_k,b_k,amplitude,phase
0,-0.283192289195645,0,0.283192289195645,-3.14159265358979
1,-0.0341810438034067,-0.576503331414837,0.577515744277068,1.63001727761703
2,0.417601495643581,-0.091176855327887,0.427439151355182,0.214961234723796
3,0.16763690840777,0.393406287407967,0.427633768583159,-1.16798037802437
4,-0.267875612321846,0.0651902506157653,0.2756938745278,-2.90287295293812
5,-0.134940529070336,-0.125361206810095,0.18418571757513,2.39297872948085
6,0.115169678620334,-0.0943377265979643,0.148874650404907,0.68629091810842
7,0.063075502679984,0.00484649401270045,0.0632614222298852,-0.0766857151067285
8,0.00566159946943395,0.0558756554547227,0.0561617537212575,-1.4698159893238
9,-0.00589750384994917,0.0275677854851216,0.028191547460433,-1.78154702293051
10,-0.00686029678185005,-0.00614803506290014,0.00921205770008589,2.41089414046761
