psi,gamma_selected,gamma_full,gamma_symmetric,gamma_antisymmetric
-3.14159265358979,0.235454034907243,0.235454034907243,0.235454034907243,2.32552704257211e-17
-3.12929679193191,0.237739656657677,0.237739656657677,0.235405238276402,0.0023344183812755
-3.11700093027402,0.239925374967523,0.239925374967523,0.235259459669892,0.00466591529763114
-3.10470506861614,0.242010131045241,0.242010131045241,0.235018522974761,0.00699160807047984
-3.09240920695825,0.243994126041646,0.243994126041646,0.234685434917282,0.00930869112436465
-3.08011334530036,0.245878809332169,0.245878809332169,0.234264335961737,0.011614473370432
-3.06781748364248,0.247666846818801,0.247666846818801,0.233760432614596,0.0139064142042052
-3.05552162198459,0.249362069843481,0.249362069843481,0.233179912161253,0.0161821576822283
-3.04322576032671,0.250969405593948,0.250969405593948,0.232529841129528,0.0184395644644203
-3.03092989866882,0.252494790158154,0.252494790158154,0.231818049021875,0.020676741136279
-3.01863403701094,0.253945065640119,0.253945065640119,0.231052999083028,0.0228920665570916
-3.00633817535305,0.255327862984846,0.255327862984846,0.230243648068231,0.0250842149166151
-2.99404231369516,0.256651472369228,0.256651472369228,0.229399297146369,0.0272521752228593
-2.98174645203728,0.257924703196725,0.257924703196725,0.228529436209604,0.0293952669871209
-2.96945059037939,0.259156735883359,0.259156735883359,0.227643583964613,0.031513151918746
-2.95715472872151,0.260356967739152,0.260356967739152,0.226751126248484,0.0336058414906683
-2.94485886706362,0.261534855330925,0.261534855330925,0.225861155043965,0.0356737002869606
-2.93256300540574,0.262699755758191,0.262699755758191,0.224982310663334,0.0377174450948571
-2.92026714374785,0.263860769283245,0.263860769283245,0.224122629527968,0.039738139755277
-2.90797128208997,0.265026585729384,0.265026585729384,0.223289399892176,0.041737185837208
-2.89567542043208,0.266205336997995,0.266205336997995,0.222489027746269,0.043716309251726
-2.88337955877419,0.26740445795714,0.26740445795714,0.221726914986816,0.0456775429703236
-2.87108369711631,0.268630557822734,0.268630557822734,0.221007351763736,0.047623206058998
-2.85878783545842,0.269889303990554,0.269889303990554,0.220333424706941,0.0495558792836131
-2.84649197380054,0.271185320085631,0.271185320085631,0.219706942502751,0.0514783775828803
-2.83419611214265,0.272522099778052,0.272522099778052,0.219128380035673,0.0533937197423791
-2.82190025048477,0.273901937674018,0.273901937674018,0.218596842038093,0.0553050956359245
-2.80960438882688,0.275325878332002,0.275325878332002,0.218110046903134,0.0572158314288681
-2.79730852716899,0.276793684179731,0.276793684179731,0.217664331018469,0.059129353161262
-2.78501266551111,0.278303822822757,0.278303822822757,0.217254673675818,0.0610491491469396
-2.77271680385322,0.279853473943794,0.279853473943794,0.216874742306546,0.0629787316372485
-2.76042094219534,0.281438555698089,0.281438555698089,0.216516957492808,0.0649215982052808
-2.74812508053745,0.283053770218385,0.283053770218385,0.21617257691049,0.0668811933078953
-2.73582921887957,0.284692667557698,0.284692667557698,0.215831797079088,0.0688608704786101
-2.72353335722168,0.286347727123497,0.286347727123497,0.21548387152885,0.0708638555946464
-2.71123749556379,0.288010455397001,0.288010455397001,0.21511724375087,0.0728932116461305
-2.69894163390591,0.289671498489948,0.289671498489948,0.214719693074996,0.074951805414952
-2.68664577224802,0.291320767871968,0.291320767871968,0.214278491426701,0.0770422764452671
-2.67434991059014,0.292947577407753,0.292947577407753,0.213780568750264,0.0791670086574884
-2.66205404893225,0.294540789677398,0.294540789677398,0.21321268475421,0.0813281049231873
-2.64975818727437,0.296088969417996,0.296088969417996,0.212561604537895,0.0835273648801017
-2.63746232561648,0.297580541821669,0.297580541821669,0.211814275596784,0.0857662662248859
-2.62516646395859,0.299003953356247,0.299003953356247,0.210958003679367,0.0880459496768796
-2.61287060230071,0.300347832740625,0.300347832740625,0.209980624981036,0.0903672077595898
-2.60057474064282,0.30160114970788,0.30160114970788,0.208870672209531,0.0927304774983495
-2.58827887898494,0.302753369225362,0.302753369225362,0.207617532141992,0.0951358370833701
-2.57598301732705,0.303794598911675,0.303794598911675,0.20621159241393,0.0975830064977448
-2.56368715566917,0.304715727494408,0.304715727494408,0.204644375433872,0.100071352060536
-2.55139129401128,0.305508552288171,0.305508552288171,0.202908657501675,0.102599894786495
-2.53909543235339,0.306165893837814,0.306165893837814,0.200998571420962,0.105167322416852
-2.52679957069551,0.306681696064026,0.306681696064026,0.198909691133494,0.107772004930532
-2.51450370903762,0.307051110465043,0.307051110465043,0.196639097162304,0.110412013302738
-2.50220784737974,0.307270563165511,0.307270563165511,0.194185421926999,0.113085141238513
-2.48991198572185,0.30733780385822,0.30733780385822,0.191548874284961,0.115788929573259
-2.47761612406397,0.307251935952441,0.307251935952441,0.188731242951813,0.118520693000628
-2.46532026240608,0.307013427520189,0.307013427520189,0.185735878759097,0.121277548761092
-2.45302440074819,0.306624102914457,0.306624102914457,0.182567656012238,0.124056446902219
-2.44072853909031,0.306087115217427,0.306087115217427,0.17923291351293,0.126854201704497
-2.42843267743242,0.305406899957395,0.305406899957395,0.175739376102766,0.129667523854629
-2.41613681577454,0.304589110806654,0.304589110806654,0.172096057864929,0.132493052941725
-2.40384095411665,0.303640538234769,0.303640538234769,0.168313148383894,0.135327389850875
-2.39154509245877,0.30256901233873,0.30256901233873,0.164401883705652,0.138167128633077
-2.37924923080088,0.301383291299726,0.301383291299726,0.160374403859271,0.141008887440455
-2.36695336914299,0.30009293712253,0.30009293712253,0.156243598991553,0.143849338130976
-2.35465750748511,0.298708180494566,0.298708180494566,0.152022946327385,0.146685234167182
-2.34236164582722,0.297239776755296,0.297239776755296,0.147726340296659,0.149513436458637
-2.33006578416934,0.295698855090132,0.295698855090132,0.14336791826269,0.152330936827442
-2.31776992251145,0.294096763155252,0.294096763155252,0.138961884345356,0.155134878809896
-2.30547406085357,0.292444909398931,0.292444909398931,0.134522333854078,0.157922575544853
-2.29317819919568,0.290754605370716,0.290754605370716,0.130063080830857,0.160691524539858
-2.2808823375378,0.289036910301692,0.289036910301692,0.125597491152239,0.163439419149453
-2.26858647587991,0.287302480197339,0.287302480197339,0.121138323551991,0.166164156645347
-2.25629061422202,0.285561423609973,0.285561423609973,0.116697580804953,0.16886384280502
-2.24399475256414,0.283823166151626,0.283823166151626,0.112286373158548,0.171536792993078
-2.23169889090625,0.282096325672122,0.282096325672122,0.107914795914391,0.17418152975773
-2.21940302924837,0.280388599863321,0.280388599863321,0.103591822850848,0.176796777012473
-2.20710716759048,0.278706667861376,0.278706667861376,0.0993252169415407,0.179381450919835
-2.19481130593259,0.277056107207449,0.277056107207449,0.095121459568174,0.181934647639275
-2.18251544427471,0.275441327296801,0.275441327296801,0.0909856991523877,0.184455628144413
-2.17021958261682,0.273865520199989,0.273865520199989,0.0869217198448051,0.186943800355184
-2.15792372095894,0.272330629481876,0.272330629481876,0.0829319306141651,0.189398698867711
-2.14562785930105,0.270837337378033,0.270837337378033,0.0790173747798161,0.191819962598217
-2.13333199764317,0.269385070417975,0.269385070417975,0.0751777597313179,0.194207310686657
-2.12103613598528,0.267972023314496,0.267972023314496,0.0714115062838245,0.196560517030671
-2.1087402743274,0.266595200672156,0.266595200672156,0.0677158168316657,0.19887938384049
-2.09644441266951,0.26525047580965,0.26525047580965,0.0640867611892795,0.201163714620371
-2.08414855101162,0.263932665744203,0.263932665744203,0.060519378752372,0.203413286991831
-2.07185268935374,0.262635621154774,0.262635621154774,0.0570077953766428,0.205627825778132
-2.05955682769585,0.261352329928235,0.261352329928235,0.0535453531600017,0.207806976768233
-2.04726096603797,0.260075032701679,0.260075032701679,0.0501247511300245,0.209950281571655
-2.03496510438008,0.258795348647557,0.258795348647557,0.0467381946840513,0.212057153963506
-2.0226692427222,0.257504409608578,0.257504409608578,0.0433775515070712,0.214126858101506
-2.01037338106431,0.256193000578334,0.256193000578334,0.0400345116040585,0.216158488974275
-1.99807751940642,0.254851704442852,0.254851704442852,0.0367007490299709,0.218150955412881
-1.98578165774854,0.253471048848736,0.253471048848736,0.0333680828828931,0.220102965965843
-1.97348579609065,0.252041653045926,0.252041653045926,0.030028635143979,0.222013017901947
-1.96118993443277,0.25055437256735,0.25055437256735,0.0266749830015725,0.223879389565778
-1.94889407277488,0.249000439653496,0.249000439653496,0.023300303385283,0.225700136268213
-1.936598211117,0.247371597406445,0.247371597406445,0.0198985075574772,0.227473089848968
-1.92430234945911,0.24566022576368,0.24566022576368,0.016464363762743,0.229195862000937
-1.91200648780122,0.243859457515451,0.243859457515451,0.0129936061180557,0.230865851397396
-1.89971062614334,0.241963282748366,0.241963282748366,0.00948302813486515,0.2324802546135
-1.88741476448545,0.239966640279723,0.239966640279723,0.005930559495996,0.234036080783727
-1.87511890282757,0.23786549484904,0.23786549484904,0.00233532496161716,0.235530169887423
-1.86282304116968,0.23565689905211,0.23565689905211,-0.00130231545414139,0.236959214506252
-1.8505271795118,0.23333903923539,0.23333903923539,-0.00498074561507594,0.238319784850466
-1.83823131785391,0.230911264811008,0.230911264811008,-0.00869709199536512,0.239608356806373
-1.82593545619602,0.228374100701474,0.228374100701474,-0.0124472420140213,0.240821342715495
-1.81363959453814,0.225729242874541,0.225729242874541,-0.0162258816828681,0.241955124557409
-1.80134373288025,0.222979537178813,0.222979537178813,-0.0200265519946962,0.243006089173509
-1.78904787122237,0.220128941935835,0.220128941935835,-0.0238417232025791,0.243970665138414
-1.77675200956448,0.217182474980983,0.217182474980983,-0.0276628858789036,0.244845360859887
-1.7644561479066,0.21414614606988,0.21414614606988,-0.0314806573973304,0.24562680346721
-1.75216028624871,0.211026875776085,0.211026875776085,-0.0352849022562093,0.246311778032294
-1.73986442459082,0.207832402196413,0.207832402196413,-0.0390648644611946,0.246897266657607
-1.72756856293294,0.204571176949561,0.204571176949561,-0.042809310010826,0.247380486960387
-1.71527270127505,0.201252252099549,0.201252252099549,-0.0465066773841498,0.247758929483699
-1.70297683961717,0.197885159755575,0.197885159755575,-0.0501452338161034,0.248030393571678
-1.69068097795928,0.194479786192738,0.194479786192738,-0.0537132350659396,0.248193021258678
-1.6783851163014,0.191046242402467,0.191046242402467,-0.0571990863375309,0.248245328739998
-1.66608925464351,0.187594733016539,0.187594733016539,-0.0605915019985211,0.24818623501506
-1.65379339298562,0.184135425554111,0.184135425554111,-0.0638796617680755,0.248015087322186
-1.64149753132774,0.180678321917183,0.180678321917183,-0.0670533610999463,0.247731683017129
-1.62920166966985,0.177233134007067,0.177233134007067,-0.0701031535777904,0.247336287584857
-1.61690580801197,0.173809165253671,0.173809165253671,-0.0730204832616833,0.246829648515354
-1.60460994635408,0.170415199742211,0.170415199742211,-0.0757978050766872,0.246213004818898
-1.5923140846962,0.167059400490113,0.167059400490113,-0.0784286915137792,0.245488092003892
-1.58001822303831,0.163749218272565,0.163749218272565,-0.0809079241177068,0.244657142390272
-1.56772236138042,0.160491312220978,0.160491312220978,-0.0832315684622931,0.243722880683271
-1.55542649972254,0.157291483227226,0.157291483227226,-0.0853970315579585,0.242688514785185
-1.54313063806465,0.154154620981124,0.154154620981124,-0.0874031008950846,0.241557721876209
-1.53083477640677,0.151084665252317,0.151084665252317,-0.0892499645964393,0.240334629848756
-1.51853891474888,0.148084581804049,0.148084581804049,-0.090939212428195,0.239023794232244
-1.506243053091,0.145156353098608,0.145156353098608,-0.0924738176979915,0.237630170796599
-1.49394719143311,0.142300983726124,0.142300983726124,-0.0938581003458987,0.236159084072023
-1.48165132977523,0.13951852026339,0.13951852026339,-0.0950976718059212,0.234616192069311
-1.46935546811734,0.136808085050831,0.136808085050831,-0.0961993624778735,0.233007447528705
-1.45705960645945,0.13416792316708,0.13416792316708,-0.0971711328982026,0.231339056065283
-1.44476374480157,0.131595461684898,0.131595461684898,-0.0980219699300199,0.229617431614918
-1.43246788314368,0.129087380112376,0.129087380112376,-0.0987617695038851,0.227849149616261
-1.4201720214858,0.126639690762123,0.126639690762123,-0.0994012076287131,0.226040898390836
-1.40787615982791,0.124247827650823,0.124247827650823,-0.0999516015538908,0.224199429204714
-1.39558029817003,0.121906742414207,0.121906742414207,-0.100424763097001,0.222331505511209
-1.38328443651214,0.119611005629694,0.119611005629694,-0.100832846254639,0.220443851884333
-1.37098857485425,0.117354911872114,0.117354911872114,-0.101188191285249,0.218543103157363
-1.35869271319637,0.11513258678772,0.11513258678772,-0.101503167491858,0.216635754279578
-1.34639685153848,0.112938094458718,0.112938094458718,-0.101790016938524,0.214728111397242
-1.3341009898806,0.11076554334468,0.11076554334468,-0.10206070130745,0.21282624465213
-1.32180512822271,0.108609189128141,0.108609189128141,-0.102326754044467,0.210935943172609
-1.30950926656483,0.106463532858514,0.106463532858514,-0.10259913985012,0.209062672708634
-1.29721340490694,0.104323412880003,0.104323412880003,-0.102888123453308,0.207211536333311
-1.28491754324905,0.102184089143853,0.102184089143853,-0.103203149456366,0.205387238600219
-1.27262168159117,0.100041318641051,0.100041318641051,-0.103552734866878,0.203594053507929
-1.26032581993328,0.0978914208462651,0.0978914208462651,-0.103944375735208,0.201835796581473
-1.2480299582754,0.0957313322347782,0.0957313322347782,-0.104384469100655,0.200115801335433
-1.23573409661751,0.0935586491186537,0.0935586491186537,-0.104878251216717,0.19843690033537
-1.22343823495963,0.0913716582433903,0.0913716582433903,-0.105429752780649,0.196801411024039
-1.21114237330174,0.08916935478869,0.08916935478869,-0.106041771638114,0.195211126426804
-1.19884651164385,0.0869514476234856,0.0869514476234856,-0.106715863174054,0.19366731079754
-1.18655064998597,0.0847183518727297,0.0847183518727297,-0.107452348339923,0.192170700212652
-1.17425478832808,0.0824711690583542,0.0824711690583542,-0.10825033900891,0.190721508067264
-1.1619589266702,0.0802116552760471,0.0802116552760471,-0.10910778009877,0.189319435374817
-1.14966306501231,0.077942178059922,0.077942178059922,-0.110021507659904,0.187963685719826
-1.13736720335443,0.0756656627658109,0.0756656627658109,-0.110987321898124,0.186652984663935
-1.12507134169654,0.0733855294680202,0.0733855294680202,-0.112000073890309,0.185385603358329
-1.11277548003865,0.0711056215114213,0.0711056215114213,-0.113053764560084,0.184159386071505
