psi,gamma_agent_1,gamma_agent_2,gamma_true
-3.14159265358979,0.375903612278045,0.339867891184962,-0.0360357210930829
-3.12929679193191,0.374550441506403,0.343060592623173,-0.0314898488832293
-3.11700093027402,0.373184787436668,0.34612411593997,-0.0270606714966975
-3.10470506861614,0.371808732226324,0.349057796150894,-0.0227509360754297
-3.09240920695825,0.370424036578074,0.351862275424286,-0.0185617611537888
-3.08011334530036,0.369032098452159,0.35453947082441,-0.0144926276277493
-3.06781748364248,0.367633916662984,0.357092522427155,-0.0105413942358291
-3.05552162198459,0.366230059991671,0.359525722755438,-0.00670433723623332
-3.04322576032671,0.364820642346632,0.361844428752565,-0.0029762135940663
-3.03092989866882,0.363405304396711,0.364054957763382,0.000649653366670777
-3.01863403701094,0.361983201987654,0.366164469221378,0.00418126723372431
-3.00633817535305,0.360553001534755,0.368180833941928,0.00762783240717313
-2.99404231369516,0.359112882464542,0.370112493094527,0.0109996106299853
-2.98174645203728,0.35766054665834,0.371968309067992,0.0143077624096523
-2.96945059037939,0.35619323473258,0.373757410550077,0.0175641758174964
-2.95715472872151,0.354707748876829,0.375489034215532,0.0207812853387027
-2.94485886706362,0.353200481862551,0.377172365453296,0.0239718835907458
-2.93256300540574,0.351667451735413,0.378816380563956,0.0271489288285431
-2.92026714374785,0.350104341613181,0.380429692823025,0.0303253512098433
-2.90797128208997,0.348506543931285,0.38202040473464,0.0335138608033557
-2.89567542043208,0.346869208410387,0.38359596869523,0.0367267602848423
-2.88337955877419,0.345187292965665,0.385163058149207,0.0399757651835413
-2.87108369711631,0.343455616736912,0.386727451151139,0.0432718344142277
-2.85878783545842,0.341668914392545,0.388293928053551,0.0466250136610057
-2.84649197380054,0.339821890849459,0.389866184819754,0.0500442939702955
-2.83419611214265,0.337909275554425,0.391446763220141,0.0535374876657168
-2.82190025048477,0.335925875491282,0.393036998911868,0.0571111234205861
-2.80960438882688,0.333866626110949,0.394636988129834,0.0607703620188854
-2.79730852716899,0.331726639427647,0.396245573435262,0.0645189340076147
-2.78501266551111,0.329501248583771,0.397860348681363,0.0683591000975919
-2.77271680385322,0.327186048256361,0.399477683067732,0.0722916348113706
-2.76042094219534,0.324776930358857,0.401092763870534,0.076315833511677
-2.74812508053745,0.322270114581208,0.402699657158479,0.0804295425772706
-2.73582921887957,0.319662173407849,0.404291385539006,0.0846292121311571
-2.72353335722168,0.316950051354793,0.405860021729054,0.0889099703742611
-2.71123749556379,0.314131078272267,0.407396796513709,0.0932657182414421
-2.69894163390591,0.311202976666095,0.408892219447482,0.0976892427813877
-2.68664577224802,0.308163863097443,0.410336210469715,0.102172347372271
-2.67434991059014,0.305012243824805,0.411718240450464,0.106705996625659
-2.66205404893225,0.301747004952248,0.413027478558212,0.111280473605964
-2.64975818727437,0.298367397442354,0.414252944247621,0.115885546805267
-2.63746232561648,0.294873017439191,0.415383661605623,0.120510644166432
