component_r,agent_id,receiver_u_mode1,sender_v_mode1,receiver_u_mode2,sender_v_mode2,receiver_u_mode3,sender_v_mode3,receiver_u_mode4,sender_v_mode4,receiver_u_mode5,sender_v_mode5,receiver_u_mode6,sender_v_mode6
1,7,0.401867893913219,-0.893277752443137,0.905143508233038,0.429747495245799,0.123171115206778,-0.0823464213349389,0.0197386135361413,0.0716222781537833,0.0594950537593854,-0.0727890338402896,0.0108179220694205,0.0127679300627827
1,8,0.033238957154552,0.0705225343195105,-0.126752822604383,0.0657429980306153,0.795192950506754,0.15793418690461,-0.191863724097831,0.935643827674723,0.0194797881799885,0.230913771351148,0.559737361966518,-0.192381602302463
1,9,0.074798538028716,-0.0516324727433094,-0.067437612340754,0.129160982288209,-0.0728369659735353,0.937419817390427,-0.490431635358274,-0.225876289017725,0.854991360765739,0.0762105094981083,-0.114099551243963,-0.212291014124654
1,10,-0.298030553354251,0.164950437230117,0.0594931564588395,0.307677739661724,0.159596870800024,0.215641455486982,0.789781168341835,0.148884863545174,0.505071958559392,-0.149600455626003,0.0575779058524148,0.88717389813572
1,11,0.834768377344516,0.390491772644782,-0.393972901775955,0.832223877748,0.115447575182395,-0.200515494743434,0.302480366516182,-0.146747796927933,0.0524211831208331,0.157914851092883,-0.20093932832771,-0.261230000328686
1,12,0.214807103538873,0.121338557993873,-0.0367020014166462,0.0839655585165009,-0.555331000797001,0.0530305997237278,0.0838262700806528,0.157223282530832,0.0849999157868496,-0.942472890048213,0.793641305424338,-0.249880342913004
2,7,0.349161099762477,0.919382509176037,0.932954915424299,-0.370612087617022,0.076446428106965,0.0855154369833211,0.0320943763079083,-0.0695291527072335,0.0273857582487415,0.07127911199465,-0.00758729744588699,-0.0124329195262853
2,8,-0.0165426279734173,-0.078124418991516,-0.0564318172001954,-0.0649994715508402,0.863245641764808,-0.0988205286158899,-0.144416461348771,-0.970851801106619,0.0257320885529398,-0.134543593147412,0.479406402493212,0.138747788488473
2,9,0.0774253388431111,0.0610017746432852,-0.0375677432618481,-0.122322714509382,-0.0494057885511771,-0.933850130639015,-0.419540327964113,0.152154125625326,0.898056174343084,-0.106351365591938,-0.0873731684495082,0.273456357766361
2,10,-0.259625563921768,-0.126806401857529,0.0469692677673709,-0.293833835401364,0.103113513597441,-0.265252952481661,0.854293294286023,-0.0946567584904133,0.433492801038681,0.179056854516169,0.0449779561881618,-0.886680001885627
2,11,0.879636952028895,-0.340619180653574,-0.349674681693612,-0.864167592752908,0.114609465670356,0.197600523837754,0.266392008402254,0.122258012146807,0.0268267233207912,-0.177990903683742,-0.138371762877495,0.226978402182531
2,12,0.17507593769859,-0.113180699271636,-0.0228198450302346,-0.101660963669891,-0.471968481313883,-0.0379532718738496,0.0363044778232319,-0.07452969747046,0.058713762880752,0.949612856815654,0.860992510011782,0.260951093689097
3,7,0.641667207920638,-0.289700254991209,0.604960080357086,0.876563490079584,0.324241680725195,-0.14258631109528,0.285090345976732,-0.0338663696269983,0.0485770067979375,0.00076502304223244,-0.183078117140198,-0.355291201345883
3,8,0.336515058091806,-0.295116159358314,-0.520543283525701,-0.346902133763622,-0.207659097750866,-0.684211454845152,0.681243727358885,-0.0811296946353361,0.24709347322187,-0.454265523236126,0.217994963704147,-0.33388748730959
3,9,0.240470501391817,-0.321185832233686,-0.175949530412704,0.0717528778240401,0.502289190197943,0.179368693606001,-0.421032015176875,-0.758446239228099,0.36280482015417,-0.303198177659793,0.591629930604606,0.438575221273311
3,10,-0.097020083429669,0.713038490267503,0.328610163921823,0.263736548590137,-0.124460035738765,-0.0632196816667577,0.221937159041955,0.0168173036718349,-0.53521065908029,-0.639793830731053,0.728975727254142,0.0916703258445665
3,11,-0.244083192742098,0.445268382783159,0.47170334376957,0.0285616672399659,-0.424979380053982,-0.471804603711151,0.0339529326980832,-0.539874221368224,0.706885598501801,0.533190000065019,0.190975982831124,-0.0506454668043011
3,12,-0.590089185080774,0.138318670492059,0.0401381307743395,-0.189140545827568,0.635100643240841,0.502746843319693,0.476396490917728,-0.353953877301381,0.137186199787729,-0.0899188088871452,-0.0325144136160634,-0.747643411929163
4,7,-0.564298336005895,0.138476261193001,-0.415024209458388,-0.463046589545746,0.640149044428021,-0.0948118544110235,0.0102782850709016,-0.407918323611625,-0.314647630134177,0.476912451659379,0.0205601597575624,-0.602975992866487
4,8,-0.048676280931598,-0.398983969860895,0.169050687906319,0.169423185952695,0.108412723711128,0.733126580337735,0.969541477339103,-0.406845659636811,0.120057192707116,-0.226216437808199,0.0536167896185379,-0.240698412038873
4,9,-0.0162963528903435,-0.256243739438426,-0.0144618821231857,0.184592837702379,0.00109823659424973,0.237459702736942,-0.0672315083853062,0.711513100795303,0.113099623950771,0.459092436067869,0.991066332828808,-0.356175184966051
4,10,-0.535058271652128,0.644763056449183,0.80470346500717,0.675537802169094,0.11414511628622,0.0176910414205893,-0.193758856502202,-0.0939278008017349,0.1224854380192,-0.0408397643198671,-0.0243042130154579,-0.342236742357042
4,11,-0.187825146581372,0.568251531948339,-0.300264937017386,-0.367427586904087,0.0967607252805736,0.629614702941761,-0.0752651413788844,0.158259957891602,0.9196187229439,0.140420720578276,-0.117629107184642,0.317660664263284
4,12,0.597801636654202,0.131704443187514,0.247509445174714,-0.362566918599955,0.745696272354229,-0.0205273460179027,-0.110255470955062,0.357714567578566,0.114413007462885,-0.699449002247808,-0.00792098526990066,-0.483310644041374
