agent_id,delta_comp1_rad,delta_comp1_over_pi,delta_comp2_rad,delta_comp2_over_pi,delta_comp3_rad,delta_comp3_over_pi,delta_comp4_rad,delta_comp4_over_pi
7,0.570369042329548,0.181554104946676,0.507741567795582,0.161619160655791,0.463579300140238,0.147561874264801,3.09020397594295,0.983642475867097
8,0.843761493499562,0.268577624962111,0.779092929896213,0.24799298184186,0.483994081809683,0.154060101094468,0.196352493862692,0.0625009399733369
9,1.11202637176445,0.353968987829715,1.03047974859096,0.32801189148869,0.592906250043453,0.18872792096899,0.0230810177811875,0.00734691614293586
10,3.12672934803252,0.995268862899749,3.09502943495983,0.985178467177544,0.613099982515218,0.195155785653703,0.621717404316705,0.197898796206532
11,2.53125253336406,0.805722705797544,2.4598684262619,0.783000438790526,0.50294086111007,0.160091048257124,0.329261721590964,0.104807261124299
12,1.70770063163892,0.543577993692972,1.55074207758378,0.49361653421611,0.651319850681216,0.207321547539581,0.0321401888555233,0.0102305398565272
