phi,a_1,a_2,a_3,a_4
0,-0.0834786170917601,-0.0950552300214532,-0.010006852582801,0.00187144207764747
0.0122958616578857,-0.0919122992034373,-0.104024174045318,-0.00998630610198112,-0.000982230943763488
0.0245917233157714,-0.0989807474030218,-0.11167609563727,-0.00966846937833865,-0.00379628035781609
0.0368875849736571,-0.104524070217155,-0.117842220875354,-0.00904799141082803,-0.00651650541862346
0.0491834466315427,-0.108408122489506,-0.122378723915924,-0.0081228125772208,-0.00908851661337938
0.0614793082894284,-0.110526880299525,-0.125169276245958,-0.00689403617235162,-0.0114585137681535
0.0737751699473141,-0.110804372134433,-0.126127164407555,-0.00536575200667929,-0.0135740715224188
0.0860710316051998,-0.109196135424651,-0.125196942302841,-0.00354481604207124,-0.0153849224821854
0.0983668932630855,-0.105690174968832,-0.122355591447971,-0.00144059062976508,-0.016843728263455
0.110662754920971,-0.100307407537893,-0.117613170202107,0.000935349582310339,-0.0179068286471765
0.122958616578857,-0.0931015849365956,-0.111012940931569,0.00356954059572148,-0.0185349591839298
0.135254478236743,-0.0841586958918225,-0.102630972157137,0.00644697507125591,-0.0186939278101205
0.147550339894628,-0.0735958552032241,-0.0925752208482933,0.00955146539978531,-0.0183552413653321
0.159846201552514,-0.0615596965093986,-0.080984108046292,0.0128660177213631,-0.0174966733295157
0.1721420632104,-0.0482242926691745,-0.0680246087947762,0.0163732107710195,-0.0161027646247425
0.184437924868285,-0.0337886350152492,-0.0538898848122459,0.0200555735211855,-0.0141652499442528
0.196733786526171,-0.0184737094952644,-0.0387964953408706,0.023895955778895,-0.0116834027756082
0.209029648184057,-0.00251921387026888,-0.022981228044069,0.0278778861759728,-0.0086642930681995
0.221325509841942,0.0138200344009909,-0.0066975976032011,0.0319859123559908,-0.00512295235079331
0.233621371499828,0.0302779452837095,0.0097879353056183,0.0362059186051811,-0.00108244202417607
0.245917233157714,0.0465812001552608,0.0261999677655896,0.0405254166868695,0.0034261784713223
0.258213094815599,0.0624534315949318,0.0422583208922782,0.0449338062104609,0.0083639858926248
0.270508956473485,0.077619475931995,0.057682306024446,0.0494226014857753,0.0136844310563981
0.282804818131371,0.091809634506192,0.0721950268096713,0.0539856224701835,0.0193336804637479
0.295100679789256,0.104763879579541,0.0855276527262609,0.058619148097581,0.0252510607217502
0.307396541447142,0.116235941807824,0.0974236001372078,0.0633220309725468,0.031369603687722
0.319692403105028,0.125997218115799,0.107642558504007,0.068095773107767,0.0376166891567947
0.331988264762914,0.13384044168892,0.115964301871007,0.0729445630657741,0.0439147808216606
0.344284126420799,0.139583059548383,0.122192229122912,0.0778752755254075,0.050182250165429
0.356579988078685,0.143070267754486,0.126156580763364,0.0828974349177928,0.0563342819144059
0.368875849736571,0.144177659611614,0.127717284992554,0.0880231453554429,0.0622838536870347
0.381171711394456,0.142813448241358,0.1267663915957,0.0932669896015333,0.0679427815376896
0.393467573052342,0.138920231452949,0.123230058500724,0.0986459002857875,0.0732228222186301
0.405763434710228,0.132476273868362,0.117070062721878,0.104179006961182,0.0780368221788624
0.418059296368113,0.12349628864221,0.10828481466821,0.109887462905622,0.0822999025931486
0.430355158025999,0.11203170873798,0.0969098623474797,0.115794255799975,0.0859306690755643
0.442651019683885,0.0981704454626722,0.083017879719108,0.121924006555108,0.0888524341869314
0.45494688134177,0.0820361397008574,0.0667181412235176,0.128302760613926,0.0909944404005081
0.467242742999656,0.0637869189059207,0.04815549221878,0.134957776019708,0.0922930708512145
0.479538604657542,0.043613680282846,0.0275088325694717,0.141917312420533,0.0926930349653342
0.491834466315427,0.0217379276192093,0.00498913784100605,0.149210424974119,0.0921485159542257
0.504130327973313,-0.00159080421891884,-0.0191629506554405,0.156866766832362,0.0906242671603911
0.516426189631199,-0.0260978971121854,-0.0446799294508772,0.164916403526003,0.088096644369715
0.528722051289085,-0.0514869244771252,-0.0712705869673261,0.173389642144195,0.0845545614513245
0.54101791294697,-0.0774432030537712,-0.0986234599014452,0.182316877719698,0.0800003570569165
0.553313774604856,-0.103637567921605,-0.12641053963839,0.191728458697262,0.074450560604123
0.565609636262742,-0.129730314029006,-0.154291173050185,0.201654572790769,0.0679365463821918
0.577905497920627,-0.155375245478863,-0.181916099577473,0.212125153934918,0.0605050653505115
0.590201359578513,-0.180223772700671,-0.208931564958046,0.223169810421189,0.0522186450479083
0.602497221236399,-0.203928997470673,-0.234983451369819,0.234817773687454,0.0431558489887107
0.614793082894284,-0.226149726514499,-0.259721364104607,0.247097866617994,0.0334113879848441
0.62708894455217,-0.246554356124935,-0.282802616172094,0.260038489617854,0.0230960769951685
0.639384806210056,-0.264824572819609,-0.303896054425889,0.273667622164258,0.0123366323563651
0.651680667867941,-0.280658818504277,-0.322685673866311,0.288012837019464,0.00127530558542813
0.663976529525827,-0.293775472838527,-0.338873970654812,0.30310132382476,-0.00993064864726662
0.676272391183713,-0.303915710450951,-0.352184989006865,0.318959918394066,-0.021109671303658
0.688568252841599,-0.310845996238079,-0.362367022436588,0.335615133696703,-0.0320767639285757
0.700864114499484,-0.314360188113412,-0.369194935719235,0.353093188269989,-0.0426345176086722
0.71315997615737,-0.314281223149039,-0.372472080320043,0.371420027639845,-0.0525743021938821
0.725455837815256,-0.310462369965305,-0.372031782805329,0.390621334256411,-0.0616776104331508
0.737751699473141,-0.302788037360922,-0.367738392793617,0.41072252147539,-0.0697175500746339
0.750047561131027,-0.291174136421174,-0.359487884206656,0.431748707236025,-0.0764604753944526
0.762343422788913,-0.275568000577662,-0.347208010825361,0.453724663303779,-0.0816677480623025
0.774639284446798,-0.255947875202562,-0.330858024327064,0.476674736258176,-0.0850976157418655
0.786935146104684,-0.232321995188631,-0.310427969961917,0.500622736810863,-0.0865071953743494
0.79923100776257,-0.20472727548242,-0.285937581705456,0.525591794530993,-0.0856545467198005
0.811526869420455,-0.173227645597379,-0.257434804993729,0.551604175628015,-0.0823008204481805
0.823822731078341,-0.137912064638291,-0.224993980906262,0.578681062088206,-0.0762124638953353
0.836118592736227,-0.0988922582302909,-0.188713730818185,0.606842291171312,-0.0671634665422477
0.848414454394112,-0.0563002228866236,-0.148714585013628,0.636106055037194,-0.0549376263529879
0.860710316051998,-0.010285546702994,-0.105136402466603,0.666488561077555,-0.0393308173305231
0.873006177709884,0.0389874022206152,-0.058135631894113,0.698003654362222,-0.0201532380319698
0.88530203936777,0.091342366597416,-0.00788246622327797,0.730662404459668,0.00276837966317517
