time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788872120.924675,8142168,2084395008,2084.395008,177,108,141,80,8,20260908_145623
1788872120.934659,8142207,2084404992,2084.404992,181,58,141,79,8,20260908_145623
1788872120.9446428,8142246,2084414976,2084.414976,184,90,142,78,8,20260908_145623
1788872120.9546268,8142285,2084424960,2084.42496,187,51,142,77,8,20260908_145623
1788872120.9646108,8142324,2084434944,2084.434944,190,71,142,75,8,20260908_145623
1788872120.9745948,8142363,2084444928,2084.444928,193,58,142,75,8,20260908_145623
1788872120.9845788,8142402,2084454912,2084.454912,197,30,142,74,8,20260908_145623
1788872120.9945629,8142441,2084464896,2084.464896,200,63,142,73,8,20260908_145623
1788872121.0045469,8142480,2084474880,2084.47488,203,40,142,73,8,20260908_145623
1788872121.014787,8142520,2084485120,2084.48512,206,0,142,73,8,20260908_145623
1788872121.024771,8142559,2084495104,2084.495104,209,60,142,75,8,20260908_145623
1788872121.034755,8142598,2084505088,2084.505088,213,7,142,75,8,20260908_145623
1788872121.044739,8142637,2084515072,2084.515072,216,60,142,75,8,20260908_145623
1788872121.0547228,8142676,2084525056,2084.525056,219,30,142,74,8,20260908_145623
1788872121.0647068,8142715,2084535040,2084.53504,222,61,142,74,8,20260908_145623
1788872121.0746908,8142754,2084545024,2084.545024,225,61,142,73,8,20260908_145623
1788872121.0846748,8142793,2084555008,2084.555008,228,16,142,73,8,20260908_145623
1788872121.0946589,8142832,2084564992,2084.564992,232,0,142,72,8,20260908_145623
1788872121.1046429,8142871,2084574976,2084.574976,235,72,142,73,8,20260908_145623
1788872121.114627,8142910,2084584960,2084.58496,238,3,143,73,8,20260908_145623
1788872121.124611,8142949,2084594944,2084.594944,241,82,142,73,8,20260908_145623
1788872121.134595,8142988,2084604928,2084.604928,244,23,143,74,8,20260908_145623
1788872121.144835,8143028,2084615168,2084.615168,248,0,142,74,8,20260908_145623
1788872121.154819,8143067,2084625152,2084.625152,251,44,142,74,8,20260908_145623
1788872121.1648028,8143106,2084635136,2084.635136,254,1,142,75,8,20260908_145623
1788872121.1747868,8143145,2084645120,2084.64512,2,21,143,75,8,20260908_145623
1788872121.1847708,8143184,2084655104,2084.655104,5,1,143,75,8,20260908_145623
1788872121.1947548,8143223,2084665088,2084.665088,9,1,143,76,8,20260908_145623
1788872121.2047389,8143262,2084675072,2084.675072,12,2,143,76,8,20260908_145623
1788872121.2147229,8143301,2084685056,2084.685056,15,1,143,76,8,20260908_145623
1788872121.224707,8143340,2084695040,2084.69504,18,1,142,76,8,20260908_145623
1788872121.234691,8143379,2084705024,2084.705024,21,1,143,76,8,20260908_145623
1788872121.244675,8143418,2084715008,2084.715008,24,1,143,76,8,20260908_145623
1788872121.254659,8143457,2084724992,2084.724992,28,3,143,76,8,20260908_145623
1788872121.264899,8143497,2084735232,2084.735232,31,0,143,76,8,20260908_145623
1788872121.2748828,8143536,2084745216,2084.745216,34,60,142,75,8,20260908_145623
1788872121.2848668,8143575,2084755200,2084.7552,37,5,142,75,8,20260908_145623
1788872121.2948508,8143614,2084765184,2084.765184,40,1,142,75,8,20260908_145623
1788872121.3048348,8143653,2084775168,2084.775168,44,50,142,74,8,20260908_145623
1788872121.3148189,8143692,2084785152,2084.785152,47,0,142,74,8,20260908_145623
1788872121.3248029,8143731,2084795136,2084.795136,50,78,142,73,8,20260908_145623
1788872121.334787,8143770,2084805120,2084.80512,53,6,142,73,8,20260908_145623
1788872121.344771,8143809,2084815104,2084.815104,56,94,142,73,8,20260908_145623
1788872121.354755,8143848,2084825088,2084.825088,60,33,142,72,8,20260908_145623
1788872121.364739,8143887,2084835072,2084.835072,63,96,142,73,8,20260908_145623
1788872121.374723,8143926,2084845056,2084.845056,66,71,142,73,8,20260908_145623
1788872121.384707,8143965,2084855040,2084.85504,69,63,142,73,8,20260908_145623
1788872121.3949468,8144005,2084865280,2084.86528,72,32,141,74,8,20260908_145623
1788872121.4049308,8144044,2084875264,2084.875264,75,35,141,75,8,20260908_145623
1788872121.4149148,8144083,2084885248,2084.885248,79,0,142,77,8,20260908_145623
1788872121.4248989,8144122,2084895232,2084.895232,82,50,142,78,8,20260908_145623
1788872121.4348829,8144161,2084905216,2084.905216,85,0,142,79,8,20260908_145623
1788872121.444867,8144200,2084915200,2084.9152,88,50,142,79,8,20260908_145623
1788872121.454851,8144239,2084925184,2084.925184,91,0,142,78,8,20260908_145623
1788872121.464835,8144278,2084935168,2084.935168,95,69,142,77,8,20260908_145623
1788872121.474819,8144317,2084945152,2084.945152,98,15,142,78,8,20260908_145623
1788872121.484803,8144356,2084955136,2084.955136,101,65,142,79,8,20260908_145623
1788872121.494787,8144395,2084965120,2084.96512,104,67,142,81,8,20260908_145623
1788872121.504771,8144434,2084975104,2084.975104,107,3,142,83,8,20260908_145623
1788872121.5150108,8144474,2084985344,2084.985344,111,41,142,85,8,20260908_145623
1788872121.5249949,8144513,2084995328,2084.995328,114,37,142,86,8,20260908_145623
1788872121.5349789,8144552,2085005312,2085.005312,117,0,142,86,8,20260908_145623
1788872121.544963,8144591,2085015296,2085.015296,120,89,142,87,8,20260908_145623
1788872121.554947,8144630,2085025280,2085.02528,123,4,143,89,8,20260908_145623
1788872121.564931,8144669,2085035264,2085.035264,126,22,143,90,8,20260908_145623
1788872121.574915,8144708,2085045248,2085.045248,130,47,143,92,8,20260908_145623
1788872121.584899,8144747,2085055232,2085.055232,133,1,143,93,8,20260908_145623
1788872121.594883,8144786,2085065216,2085.065216,136,1,143,94,8,20260908_145623
1788872121.604867,8144825,2085075200,2085.0752,139,5,143,95,8,20260908_145623
1788872121.614851,8144864,2085085184,2085.085184,142,0,143,95,8,20260908_145623
1788872121.624835,8144903,2085095168,2085.095168,146,2,143,95,8,20260908_145623
1788872121.6348188,8144942,2085105152,2085.105152,149,2,143,95,8,20260908_145623
1788872121.6450589,8144982,2085115392,2085.115392,152,0,143,95,8,20260908_145623
1788872121.655043,8145021,2085125376,2085.125376,155,5,143,95,8,20260908_145623
1788872121.665027,8145060,2085135360,2085.13536,158,0,142,94,8,20260908_145623
1788872121.675011,8145099,2085145344,2085.145344,162,17,143,94,8,20260908_145623
1788872121.684995,8145138,2085155328,2085.155328,165,54,143,93,8,20260908_145623
1788872121.694979,8145177,2085165312,2085.165312,168,67,143,92,8,20260908_145623
1788872121.704963,8145216,2085175296,2085.175296,171,107,143,92,8,20260908_145623
1788872121.714947,8145255,2085185280,2085.18528,174,44,142,92,8,20260908_145623
1788872121.724931,8145294,2085195264,2085.195264,177,64,143,92,8,20260908_145623
1788872121.734915,8145333,2085205248,2085.205248,181,19,143,93,8,20260908_145623
1788872121.7448988,8145372,2085215232,2085.215232,184,73,143,92,8,20260908_145623
1788872121.7548828,8145411,2085225216,2085.225216,187,1,143,92,8,20260908_145623
1788872121.765123,8145451,2085235456,2085.235456,190,95,143,91,8,20260908_145623
1788872121.775107,8145490,2085245440,2085.24544,193,7,143,90,8,20260908_145623
1788872121.785091,8145529,2085255424,2085.255424,197,68,143,90,8,20260908_145623
1788872121.795075,8145568,2085265408,2085.265408,200,35,143,92,8,20260908_145623
1788872121.805059,8145607,2085275392,2085.275392,203,47,143,93,8,20260908_145623
1788872121.815043,8145646,2085285376,2085.285376,206,71,143,92,8,20260908_145623
1788872121.825027,8145685,2085295360,2085.29536,209,70,144,91,8,20260908_145623
1788872121.835011,8145724,2085305344,2085.305344,213,36,143,89,8,20260908_145623
1788872121.8449948,8145763,2085315328,2085.315328,216,30,143,88,8,20260908_145623
1788872121.8549788,8145802,2085325312,2085.325312,219,0,143,86,8,20260908_145623
1788872121.8649628,8145841,2085335296,2085.335296,222,96,143,86,8,20260908_145623
1788872121.8749468,8145880,2085345280,2085.34528,225,10,143,86,8,20260908_145623
1788872121.8849308,8145919,2085355264,2085.355264,228,50,143,87,8,20260908_145623
1788872121.895171,8145959,2085365504,2085.365504,232,46,143,88,8,20260908_145623
1788872121.905155,8145998,2085375488,2085.375488,235,57,143,89,8,20260908_145623
1788872121.915139,8146037,2085385472,2085.385472,238,25,143,90,8,20260908_145623
1788872121.925123,8146076,2085395456,2085.395456,241,32,144,90,8,20260908_145623
1788872121.935107,8146115,2085405440,2085.40544,244,44,144,90,8,20260908_145623
1788872121.945091,8146154,2085415424,2085.415424,248,1,144,90,8,20260908_145623
1788872121.9550748,8146193,2085425408,2085.425408,251,0,144,92,8,20260908_145623
1788872121.9650588,8146232,2085435392,2085.435392,254,54,144,95,8,20260908_145623
