pair_name,target_id,source_id,direction,total_energy,residual_energy,relative_residual,explained_fraction,zero_direction,weight_r1
7-10,7,10,s1,0.00086389854322781,0.00025158038732502,0.539643586381988,0.708784799676785,0,0.024745063263261
7-10,10,7,s2,0.00104686911528322,0.000380929410119736,0.603220452894117,0.636125085210216,0,0.0258058075859578
7-8,7,8,s1,0.00145692884592052,0.00082960425988935,0.754599156996669,0.430580112259917,0,-0.025046448571228
7-8,8,7,s2,0.00182040337077355,0.000417297320739244,0.478783287753646,0.77076656336781,0,-0.0374580572111569
7-9,7,9,s1,0.00249652993850345,0.000399782843933738,0.40016922602936,0.839864590539063,0,0.0457902510865546
7-9,9,7,s2,0.00353870372011618,0.000486996272225723,0.370971646096359,0.862380037792558,0,0.0552422614299094
8-10,8,10,s1,0.000311086798875147,0.000130536724371755,0.64777706024473,0.580384880220696,0,0.0134368922933613
8-10,10,8,s2,0.000264050354981888,0.000103552239353017,0.626233605948337,0.607831470780943,0,0.0126687850889054
8-9,8,9,s1,0.000885936986555299,0.000273772603020392,0.555896034521554,0.690979598803211,0,0.024741955935918
8-9,9,8,s2,0.00109975785313069,0.000327567875840342,0.545760520563336,0.702145454194437,0,0.027788306484749
9-10,9,10,s1,0.00207921629252981,0.000546646065855123,0.512747177788327,0.737090331670106,0,-0.0391480552093547
9-10,10,9,s2,0.00169154318014198,0.000469346869610667,0.526751060378468,0.722533320390159,0,-0.0349599243496223
