time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1782217825.4689078,3478771,890565376,890.565376,203,0,100,8,20260623_143105
1782217825.4788918,3478810,890575360,890.57536,206,71,101,8,20260623_143105
1782217825.4888759,3478849,890585344,890.585344,209,21,101,8,20260623_143105
1782217825.4991157,3478889,890595584,890.595584,212,0,101,8,20260623_143105
1782217825.5090997,3478928,890605568,890.605568,215,129,99,8,20260623_143105
1782217825.5190837,3478967,890615552,890.615552,219,0,99,8,20260623_143105
1782217825.5290678,3479006,890625536,890.625536,222,67,100,8,20260623_143105
1782217825.5390518,3479045,890635520,890.63552,225,99,101,8,20260623_143105
1782217825.5490358,3479084,890645504,890.645504,228,0,102,8,20260623_143105
1782217825.5590198,3479123,890655488,890.655488,231,97,102,8,20260623_143105
1782217825.5690038,3479162,890665472,890.665472,235,74,102,8,20260623_143105
1782217825.5789878,3479201,890675456,890.675456,238,0,103,8,20260623_143105
1782217825.5889719,3479240,890685440,890.68544,241,127,103,8,20260623_143105
1782217825.5989559,3479279,890695424,890.695424,244,31,103,8,20260623_143105
1782217825.60894,3479318,890705408,890.705408,247,87,103,8,20260623_143105
1782217825.618924,3479357,890715392,890.715392,250,32,103,8,20260623_143105
1782217825.6291637,3479397,890725632,890.725632,254,0,103,8,20260623_143105
1782217825.6391478,3479436,890735616,890.735616,2,0,103,8,20260623_143105
1782217825.6491318,3479475,890745600,890.7456,5,33,103,8,20260623_143105
1782217825.6591158,3479514,890755584,890.755584,8,0,103,8,20260623_143105
1782217825.6690998,3479553,890765568,890.765568,11,1,102,8,20260623_143105
1782217825.6790838,3479592,890775552,890.775552,15,1,100,8,20260623_143105
1782217825.6890678,3479631,890785536,890.785536,18,0,100,8,20260623_143105
1782217825.6990519,3479670,890795520,890.79552,21,1,101,8,20260623_143105
1782217825.7090359,3479709,890805504,890.805504,24,0,101,8,20260623_143105
1782217825.71902,3479748,890815488,890.815488,27,0,102,8,20260623_143105
1782217825.729004,3479787,890825472,890.825472,31,0,101,8,20260623_143105
1782217825.7392437,3479827,890835712,890.835712,34,0,102,8,20260623_143105
1782217825.7492278,3479866,890845696,890.845696,37,0,102,8,20260623_143105
1782217825.7592118,3479905,890855680,890.85568,40,0,102,8,20260623_143105
1782217825.7691958,3479944,890865664,890.865664,43,149,102,8,20260623_143105
1782217825.7791798,3479983,890875648,890.875648,46,25,103,8,20260623_143105
1782217825.7891638,3480022,890885632,890.885632,50,144,102,8,20260623_143105
1782217825.7991478,3480061,890895616,890.895616,53,88,100,8,20260623_143105
1782217825.8091319,3480100,890905600,890.9056,56,162,99,8,20260623_143105
1782217825.8191159,3480139,890915584,890.915584,59,101,98,8,20260623_143105
1782217825.8291,3480178,890925568,890.925568,62,23,98,8,20260623_143105
1782217825.8393397,3480218,890935808,890.935808,66,110,101,8,20260623_143105
1782217825.8493237,3480257,890945792,890.945792,69,10,102,8,20260623_143105
1782217825.8593078,3480296,890955776,890.955776,72,0,103,8,20260623_143105
1782217825.8692918,3480335,890965760,890.96576,75,46,104,8,20260623_143105
1782217825.8792758,3480374,890975744,890.975744,78,0,106,8,20260623_143105
1782217825.8892598,3480413,890985728,890.985728,82,98,109,8,20260623_143105
1782217825.8992438,3480452,890995712,890.995712,85,5,113,8,20260623_143105
1782217825.9092278,3480491,891005696,891.005696,88,0,117,8,20260623_143105
1782217825.9192119,3480530,891015680,891.01568,91,125,123,8,20260623_143105
1782217825.929196,3480569,891025664,891.025664,94,37,124,8,20260623_143105
1782217825.93918,3480608,891035648,891.035648,97,0,122,8,20260623_143105
1782217825.9494197,3480648,891045888,891.045888,101,93,123,8,20260623_143105
1782217825.9594038,3480687,891055872,891.055872,104,1,127,8,20260623_143105
1782217825.9693878,3480726,891065856,891.065856,107,102,129,8,20260623_143105
1782217825.9793718,3480765,891075840,891.07584,110,43,130,8,20260623_143105
1782217825.9893558,3480804,891085824,891.085824,113,79,134,8,20260623_143105
1782217825.9993398,3480843,891095808,891.095808,117,106,138,8,20260623_143105
1782217826.0093238,3480882,891105792,891.105792,120,1,137,8,20260623_143105
1782217826.0193079,3480921,891115776,891.115776,123,0,136,8,20260623_143105
