phi,mean_self_profile,pair_11_12,pair_8_12,pair_9_12
0,0.492797089221473,0.488394301941928,0.521530819569415,0.468466146153077
0.0122958616578857,0.492629313873149,0.488209580314964,0.521429814084056,0.468248547220427
0.0245917233157714,0.492451455780184,0.488033131875418,0.521285691091023,0.468035544374109
0.0368875849736571,0.492266047993263,0.487867963834822,0.521099490654067,0.467830689490901
0.0491834466315427,0.492075534469189,0.487716774735132,0.52087268384401,0.467637144828426
0.0614793082894284,0.491882227427336,0.487581903329815,0.520607135150637,0.467457643801557
0.0737751699473141,0.491688267318907,0.48746528356081,0.520305057950338,0.467294460445574
0.0860710316051998,0.491495585881223,0.487368406193988,0.519968963693262,0.467149387756418
0.0983668932630855,0.491305872673966,0.487292287543279,0.519601605555992,0.467023724922626
0.110662754920971,0.491120545414258,0.48723744557635,0.519205917376132,0.46691827329029
0.122958616578857,0.490940724344304,0.48720388355498,0.518784948742964,0.466833340734969
0.135254478236743,0.49076721078078,0.487191081223742,0.518341797162964,0.466768753955635
0.147550339894628,0.490600469910691,0.48719799342362,0.517879538250002,0.466723878058451
0.159846201552514,0.490440617815842,0.487223055875246,0.517401154907387,0.466697642664893
0.1721420632104,0.49028741262874,0.487264197751803,0.516909466472591,0.466688573661825
0.184437924868285,0.490140249648255,0.487318860546452,0.516407058785648,0.466694829612664
0.196733786526171,0.489998160175029,0.487384022635334,0.515896216119428,0.466714241770325
0.209029648184057,0.489859813765646,0.487456228846573,0.515378855874681,0.466744356575683
0.221325509841942,0.489723523552039,0.487531624269647,0.514856466895835,0.466782479490634
0.233621371499828,0.489587254229455,0.487605991479323,0.514330052205844,0.466825719003197
0.245917233157714,0.489448632283124,0.487674790304924,0.513800076890983,0.466871029653465
0.258213094815599,0.48930495800125,0.487733199249675,0.513266421790588,0.466915252963486
0.270508956473485,0.48915321881022,0.487776157656547,0.512728343563547,0.466955155210567
0.282804818131371,0.488990103467229,0.487798407726409,0.512184441614212,0.466987461061066
0.295100679789256,0.488812016655605,0.487794535521027,0.511632632266751,0.467008882179038
0.307396541447142,0.488615093548841,0.487759010127018,0.511070130480129,0.467016140039377
0.319692403105028,0.488395213939934,0.487686220216157,0.510493439297418,0.467005982306226
0.331988264762914,0.488148015572648,0.487570507311468,0.509898347124341,0.466975192282134
0.344284126420799,0.487868906359626,0.487406195155664,0.509279932834202,0.466920591089011
0.356579988078685,0.487553075227981,0.487187614677173,0.508632578601105,0.466839032405663
0.368875849736571,0.487195501394816,0.486909124157243,0.507949990271684,0.466727389755521
0.381171711394456,0.486790961941777,0.486565124317426,0.507225224998768,0.466582536509138
0.393467573052342,0.486334037627787,0.486150068167931,0.506450725779478,0.466401318935954
0.405763434710228,0.485819116951094,0.485658465581549,0.505618362466139,0.466180522805595
0.418059296368113,0.485240398544132,0.485084882682916,0.504719478751926,0.465916834197555
0.430355158025999,0.484591892055903,0.484423936266199,0.503744944574983,0.465606795326528
0.442651019683885,0.48386741774513,0.483670283573801,0.502685213335465,0.465246756326123
0.45494688134177,0.483060605071776,0.482818607881937,0.501530383279808,0.464832824053584
0.467242742999656,0.482164890633299,0.481863600443854,0.500270262375909,0.464360809080134
0.479538604657542,0.481173515843808,0.480799939436054,0.498894435981787,0.463826172113584
0.491834466315427,0.480079524798012,0.479622266635269,0.497392336598642,0.463223971160127
0.504130327973313,0.478875762796294,0.478325162622515,0.495753314996911,0.462548810769457
0.516426189631199,0.477554876031625,0.476903121363948,0.493966712010484,0.461794794720443
0.528722051289085,0.476109312952533,0.475350525055287,0.49202193030935,0.460955483492962
