phi,a_shared,b_shared,wb_7_10_10to7,wb_7_10_7to10,wb_7_8_8to7,wb_7_8_7to8,wb_7_9_9to7,wb_7_9_7to9,wb_8_10_10to8,wb_8_10_8to10,wb_8_9_9to8,wb_8_9_8to9,wb_9_10_10to9,wb_9_10_9to10
0,-0.0275373229087173,1.32686272248074,0.0362903367372682,0.042136268818859,-0.0404661488613832,-0.0572717072189964,0.0723564687743618,0.0862373671380421,0.0374677645802512,0.0278221715352545,0.0439833466974426,0.0462548029171999,-0.046537517777068,-0.0496323471487518
0.0122958616578857,-0.0282866999478941,1.32243736677867,0.0361693011200267,0.0419957358350604,-0.0403311860656317,-0.0570806944851132,0.0721151453079271,0.0859497480664308,0.0373428020028725,0.0277293789626987,0.0438366533351183,0.0461005337886989,-0.0463823057372952,-0.0494668132267113
0.0245917233157714,-0.0287370542168118,1.31785371325946,0.0360439359809806,0.0418501758961267,-0.040191395563951,-0.0568828491029968,0.0718651895460268,0.0856518406758078,0.0372133694338017,0.0276332671401953,0.0436847126569604,0.0459407463543401,-0.0462215416631225,-0.0492953580499094
0.0368875849736571,-0.0288603288799335,1.3131297153641,0.0359147323554176,0.0417001591371612,-0.0400473248934771,-0.056678946001506,0.0716075805255798,0.0853448118219863,0.0370799738398023,0.0275342125224491,0.0435281197904118,0.0457760664760609,-0.04605585524183,-0.049118653180973
0.0491834466315427,-0.0286323433387302,1.30828455136152,0.0357822147782623,0.0415462945892882,-0.0398995589456783,-0.056469812977055,0.0713433640758149,0.0850299079665571,0.0369431567741589,0.0274326172468323,0.0433675104639753,0.0456071627136417,-0.0458859191195149,-0.0489374159981851
0.0614793082894284,-0.0280331199391191,1.30333854851752,0.0356469392100583,0.0413892277715363,-0.039748717653687,-0.0562563274204962,0.0710736486830493,0.0847084502483642,0.0368034922353694,0.0273289075433278,0.0432035584935352,0.045434743681212,-0.0457124462414407,-0.0487524068589629
0.0737751699473141,-0.0270471449788165,1.29831307827822,0.0355094901701858,0.0412296373622521,-0.039595452795645,-0.0560394117928982,0.0707995997748345,0.0843818276711182,0.0366615837073498,0.0272235315366962,0.0430369723078597,0.0452595543933174,-0.0455361861757705,-0.0485644251791124
0.0860710316051998,-0.0256635591278568,1.29323042358313,0.0353704771078102,0.0410682309854528,-0.0394404439480696,-0.0558200278983471,0.0705224324842736,0.0840514884796177,0.0365180604126398,0.027116956464245,0.0428684905502446,0.0450823716394165,-0.0453579204597925,-0.0483743044695696
0.0983668932630855,-0.0238762733546289,1.28811361990096,0.0352305300541339,0.0409057401627083,-0.0392843936378237,-0.0555991700225347,0.0702434029813868,0.0837189298281192,0.0363735728235935,0.0270096653426049,0.0426988768091075,0.0449039984423446,-0.0451784570245133,-0.0481829063902187
0.110662754920971,-0.0216840075003349,1.28298627203482,0.0350902946119296,0.0407429144955498,-0.0391280217551111,-0.0553778570254744,0.0699637984831322,0.0833856858738762,0.0362287874893499,0.0269021531264307,0.0425289135453771,0.0447252576720914,-0.0449986237694017,-0.0479911138973457
