phi,a_1_shared,b_1_from_agent7,b_1_from_agent8,b_1_from_agent10,a_2_shared,b_2_from_agent7,b_2_from_agent8,b_2_from_agent10,a_3_shared,b_3_from_agent7,b_3_from_agent8,b_3_from_agent10
0,-0.0107874066297642,0.0222043715412404,0.0777071552346196,-0.0731758620789156,0.00072506628757712,-0.0495073249604629,0.0173125093251149,0.0902074638221183,0.00321652128082314,-0.060744174766418,0.0429767789503013,0.0607879745479139
0.0122958616578857,-0.0101009995433385,0.0220588846932333,0.0778538188490462,-0.0729221756001239,0.000752438278447224,-0.047163372645005,0.0160768395361886,0.0903864258194957,0.00313402905860438,-0.0624560462610694,0.0414394947451613,0.0663702713048733
0.0245917233157714,-0.00923285004970896,0.0219232582034325,0.0779784099977861,-0.0726705258147762,0.000769307423203613,-0.0446655235660969,0.0147931170740763,0.0903769284151471,0.00299636019672739,-0.0639714941086947,0.0397435849471285,0.0713410081194916
0.0368875849736571,-0.00819441299718523,0.021798468348979,0.0780805456175118,-0.0724203293034686,0.000775410310335842,-0.0420203756212267,0.0134520141913479,0.0901903329320946,0.00280584918680001,-0.0652731050148352,0.037889072179159,0.0756857560385869
0.0491834466315427,-0.00700020957784292,0.0216853304759138,0.0781600245984328,-0.0721708300223425,0.000770629339537297,-0.0392362065343187,0.0120449327428544,0.08983836250086,0.0025657084572758,-0.0663458990310039,0.0358765817333477,0.0793950232596626
0.0614793082894284,-0.00566764670726918,0.0215844870894635,0.0782168417542106,-0.0719211140529024,0.000754994454174124,-0.0363229091949685,0.0105641506222756,0.0893329878770703,0.00227998028325317,-0.0671774604423601,0.0337074501757363,0.0824641967375991
0.0737751699473141,-0.00421678647824229,0.0214963981409643,0.0782511987477604,-0.0716701256853087,0.000728683012961924,-0.0332919065553426,0.00900295615107187,0.0886863165679077,0.00195347564057482,-0.0677580347712188,0.0313838257867253,0.0848934380888107
0.0860710316051998,-0.00267006839513173,0.0214213336679725,0.0782635118007396,-0.0714166846260351,0.000692017820695234,-0.0301560470754898,0.00735576862770318,0.0879104864893575,0.00159170089685169,-0.0680805913350602,0.0289087588714961,0.0866875359854299
0.0983668932630855,-0.00105198786203451,0.0213593689125574,0.0782544160615806,-0.071159504111637,0.000645463360429879,-0.0269294819633504,0.00561824343838027,0.0870175652689251,0.00120077341353461,-0.0681408512627033,0.0262862801519899,0.0878557177034518
0.110662754920971,0.000611264879731024,0.0213103820092567,0.078224766555636,-0.0708972097040662,0.00058962029107541,-0.0236275256953532,0.00378736034454533,0.0860194561873877,0.000787327298679763,-0.0679372813304773,0.0235214656573456,0.0884114229195127
0.122958616578857,0.00229220050181866,0.0212740542991488,0.0781756356906662,-0.07062835853951,0.000525218294649503,-0.0202665015239399,0.00186149379373242,0.0849278116203479,0.000358410697214494,-0.0674710544253024,0.0206204867597112,0.0883720432359742
0.135254478236743,0.0039624555626289,0.0212498732904593,0.0781083073407882,-0.0703514588021379,0.000453107376240146,-0.0168635738766461,-0.000159535653815839,0.0837539546981369,-7.86238677969991e-05,-0.0667459778675702,0.0175906442530757,0.0877586312487746
0.147550339894628,0.00559324071560283,0.0212371382495554,0.0780242675814226,-0.0700649891963505,0.000374247736801247,-0.0134365697248404,-0.00227442943381104,0.082508809753365,-0.000516234484966483,-0.0657683912279545,0.0144403856400185,0.0865955832533662
0.159846201552514,0.00715580572314857,0.0212349683696227,0.0779251921959956,-0.0697674181960805,0.000289698354088599,-0.0100037911465037,-0.0044803990089967,0.0812028419716048,-0.000946808476871321,-0.0645470356435659,0.0111793050705567,0.0849102999079953
0.1721420632104,0.0086219145003444,0.0212423134282659,0.0778129311215134,-0.069457222857274,0.000200604420172498,-0.00658382142456568,-0.00677317394218357,0.0798460065048234,-0.00136278290040209,-0.0630928969754997,0.0078181256639917,0.082732829338427
0.184437924868285,0.00996432316481306,0.0212579668102429,0.0776894900439456,-0.0691329069897407,0.000108183794918993,-0.00319532710869108,-0.00914702986315434,0.0784477071517594,-0.00175676514055289,-0.0614190254476595,0.00436866423409705,0.080095497272622
0.196733786526171,0.0111572539255475,0.0212805807380331,0.0775570093950394,-0.0687930184969343,1.37126435258325e-05,0.000143141477121986,-0.0115948359173054,0.0770167645569276,-0.00212165180884351,-0.0595403346622556,0.000843778725448567,0.0770325288372992
0.209029648184057,0.0121768576073441,0.0213086835214248,0.0774177410391488,-0.0684361657067086,-8.14895674230249e-05,0.00341334877695569,-0.0141081210269928,0.0755613937327263,-0.00245074417937392,-0.0574733830977197,-0.00274270105047459,0.073579666631095
0.221325509841942,0.013001657680602,0.0213406986082486,0.0772740229713969,-0.068061032532458,-0.000176075536881023,0.0065975691023547,-0.0166771580502227,0.0740891905694682,-0.00273785844295517,-0.055236141357773,-0.00637605852109649,0.0697737896122788
0.233621371499828,0.0136129688486663,0.0213749651921907,0.0771282523765477,-0.067666392322067,-0.000268685879022897,0.00967877583955816,-0.0192910646888403,0.0726071268682022,-0.00297742913209568,-0.0528477485545951,-0.0100407901878709,0.0656525372046422
0.245917233157714,0.013995283535015,0.0214097601106873,0.0769828574209519,-0.0672511202714824,-0.000357964976038437,0.0126408223915839,-0.0219379197827704,0.0711215533128487,-0.00316460416574882,-0.0503282612737323,-0.0137207188433157,0.0612539428359458
0.258213094815599,0.0141366200071619,0.0214433207465503,0.0768402681675552,-0.0668142043002177,-0.000442576757160748,0.0154686125894508,-0.0246048934309483,0.069638209693189,-0.00329533008120676,-0.0476983985835829,-0.0173991186108315,0.056616080882595
0.270508956473485,0.0140288263682577,0.0214738686315101,0.0767028870159789,-0.0663547543074249,-0.00052122023193208,0.0181482584438165,-0.027278389205857,0.0681622416000928,-0.00336642615960311,-0.0449792865187129,-0.021058850062857,0.05177673070612
0.282804818131371,0.0136678352345447,0.0214996334384996,0.076573059075955,-0.0658720097490189,-0.000592644612563464,0.0206672232731526,-0.0299441965792321,0.0666982227402918,-0.00337564630911362,-0.0421922053853271,-0.0246825035167988,0.0467730611362312
0.295100679789256,0.0130538645890876,0.0215188770424359,0.0764530428828663,-0.0653653454984396,-0.000655663868917856,0.0230144484350416,-0.0325876515533473,0.0652501819609439,-0.00332172774381789,-0.0393583431110361,-0.0282525484836049,0.0416413383869465
0.307396541447142,0.0121915610502106,0.0215299173265892,0.0763449818588046,-0.0648342759756908,-0.000709170569966746,0.0251804621006919,-0.0351938033968022,0.0638216340348633,-0.00320442568377197,-0.0364985576923352,-0.0317514871526337,0.0364166599921987
0.319692403105028,0.0110900826062176,0.0215311514134225,0.0762508769115472,-0.0642784575510217,-0.00075214887734385,0.0271574687464373,-0.0377475853169665,0.062415613235977,-0.00302453350042615,-0.0336331515852512,-0.0351620097398549,0.0311327169214909
0.331988264762914,0.00976311873454797,0.0215210780050284,0.0761725605473235,-0.0636976892507451,-0.000783686569640737,0.0289394182866735,-0.0402339868638529,0.0610347087313694,-0.00278388793823718,-0.03078166064123,-0.0384671495050962,0.0258215855908925
0.344284126420799,0.00822884673088655,0.0214983185289157,0.0761116728514737,-0.0630919118129616,-0.000802985990139957,0.0305220540369955,-0.0426382258524482,0.059681100830971,-0.0024853592552,-0.0279626599158052,-0.0416504352581231,0.020513551026475
0.356579988078685,0.00650982400852231,0.0214616367997652,0.0760696396644265,-0.0624612051601322,-0.000809373825535778,0.0319029389707025,-0.0449459176122695,0.0583565971679951,-0.0021328263390263,-0.0251935883765701,-0.0446960392223383,0.015236961972794
0.368875849736571,0.00463281707648711,0.0214099569267002,0.0760476532492445,-0.0618057843732946,-0.000802309638623603,0.0330814600126248,-0.0471432394235781,0.05706266793182,-0.0017311370687764,-0.022490594214433,-0.0475889182077818,0.0100181182748344
