frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s,x_m,y_m,speed_sg_m_s,speed_sg_cm_s,speed_butter_m_s,v_surge_m_s,v_surge_cm_s
600,10.01,1227.3296770262036,1092.490554539915,14194.5,1243.5981012658228,1047.7120253164558,-1.2223148486610915,detected,1225.0463584572337,1091.222473550227,21.914705111160856,-15.73148387931645,26.97654323953188,40.22467430701527,6.799929545968919,40.79538533873158,37.74064455740402,28.27043983042395,289.9836687171834,-7.980846962043478,7.3563680711827155,40.1266409475909,1.5457998213971404,1.3769368751422424,0.051476826925844266,5.147682692584427,0.03567247928129205,0.00928248337057756,0.9282483370577559
601,10.026683333333333,1226.5301970756516,1092.3890654799743,14160.0,1244.3092783505151,1047.955326460481,-1.1901815855970908,detected,1225.717222240575,1091.3381031201982,20.95702217482503,-13.247830864051757,24.79318053495014,40.1985564631783,7.0617571638459395,40.81411956620482,37.832587795451715,28.499220049936515,289.852661265692,-7.724342027929589,7.00946226432909,40.20770815066944,1.546646337212082,1.3770827799623953,0.051500466329596,5.1500466329596,0.035961160946292134,0.00884474733669286,0.884474733669286
602,10.043366666666667,1227.712987012987,1092.1175324675326,14122.5,1242.251497005988,1046.7574850299402,-1.260627601266837,detected,1226.3876502912217,1091.458100847594,19.999339238489203,-10.764177848787064,22.712135406792818,40.17243861934132,7.323584781722961,40.834540755098864,38.05522067016144,28.983078042255507,289.7259331715181,-7.4678370938157,6.665234531466251,40.286900691420534,1.547492303206589,1.3772341966531156,0.05152623439129195,5.1526234391291945,0.03657170730883976,0.008410390575982652,0.8410390575982652
603,10.06005,1228.6368646662584,1092.1941212492345,14176.5,1242.7402135231316,1046.249110320285,-1.2729651472175183,detected,1227.0576426091739,1091.582466732415,19.041656302153374,-8.28052483352237,20.764194331779837,40.14632077550435,7.585412399599983,40.85664637585539,38.47152101637484,29.69939875497595,289.6034844346617,-7.21133215970181,6.323706800850281,40.36429468451762,1.5483377193806611,1.377391125214404,0.05155412791906044,5.155412791906044,0.03747558202520625,0.007979440758170702,0.7979440758170703
604,10.076733333333332,1228.7955251709136,1091.597265382225,14114.5,1243.2389705882354,1046.2757352941176,-1.2622836124725465,detected,1227.727199194431,1091.7112007746607,18.083973365817545,-5.796871818257676,18.990361122761946,40.12020293166738,7.847240017477004,40.880433695963454,39.080885739503834,30.617400115866072,289.4853150551227,-6.954827225587922,5.9849003090578945,40.43996572032057,1.549182585734298,1.3775535656462596,0.051584143464938115,5.158414346493812,0.03863394336386886,0.007551924680199236,0.7551924680199236
605,10.093416666666666,1228.7065081351689,1091.6520650813518,14210.0,1240.0,1044.721875,-1.3346420419071892,detected,1228.3963200469937,1091.8443029743314,17.12629042943172,-3.313218803043128,17.44383107892538,40.09408508783041,8.109067635354025,40.90589978163212,39.76662381983889,31.701300263785395,289.37142503290124,-6.698322291474033,5.648835628837411,40.51398885549666,1.5500269022675,1.3777215179486832,0.0516162773269806,5.16162773269806,0.04000164071140113,0.007127868301372128,0.7127868301372128
606,10.1101,1228.5011933174223,1091.9140811455848,14187.5,1243.728125,1046.33125,-1.2484011689138224,detected,1229.0650051668617,1091.981773331427,18.504256781151526,-1.7040792889979457,18.582556477675077,40.06796724399344,8.370895253231046,40.933041499579495,40.29933465821589,32.91325850206137,289.2618143679972,-6.441817357360144,5.315532696792659,40.586438603992164,1.5508706689802674,1.3778949821216744,0.051650525551519874,5.165052555151988,0.04153092555465157,0.006707296778287268,0.6707296778287267
607,10.126783333333334,1229.014649681529,1091.8076433121018,14211.0,1241.375,1044.8323170731708,-1.3135040213477966,detected,1229.7332545540348,1092.1236118459476,17.46112914282412,-0.43406120920099056,17.466523411249156,40.041849400156465,8.632722871108067,40.9618555189357,40.643119145265636,34.215677879531356,289.15648306041066,-6.185312423246255,4.985010840894333,40.65738892834031,1.5517138858725992,1.3780739581652337,0.05168688393556556,5.168688393556556,0.043174356945780895,0.006290234499551209,0.6290234499551209
608,10.143466666666669,1229.0267412935325,1091.551616915423,14203.0,1244.442367601246,1046.1526479750778,-1.2434532192936243,detected,1230.4010682085134,1092.2698185178929,20.733044121920102,0.8193836561436001,20.749229097425303,40.015731556319494,8.89455048898509,40.992338313257136,40.795973186885135,35.57276255098964,289.05543111014157,-5.928807489132366,4.6572888078137,40.72691323129144,1.5525565529444965,1.37825844607936,0.05172534802934655,5.172534802934655,0.04488676662585443,0.005876705120269653,0.5876705120269653
609,10.16015,1229.9975108898568,1092.0603609209709,14198.0,1248.6225806451612,1048.0225806451613,-1.1706769931805536,detected,1231.0684461302974,1092.4203933472634,24.438816152832715,3.675621066975509,24.713678908247378,39.989613712482516,9.156378106862112,41.024486162649175,40.65871496496152,36.9514240267734,288.9586585171899,-5.672302555018477,4.332384790073663,40.795084347751164,1.553398670195959,1.378448445864055,0.0517659131389895,5.17659131389895,0.046626402557442784,0.005466731596307462,0.5466731596307461
