frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s
300,5.005,981.018042409732,1098.4268719279794,22345.5,1014.4867924528302,1046.8754716981132,-0.994962126788202,detected,987.8955104068466,1099.8411571776257,311.754232697916,-23.236716058299574,95.0,205.64273851411252,-55.07505031991476,95.0,90.24314496753756,95.0,301.92361543814155,70.08903257769627,155.48661402896403,145.4170207683157
301,5.021683333333334,986.1882527329998,1098.092688530665,22487.5,1022.2927756653992,1046.809885931559,-0.9573721977112666,detected,991.2832001035517,1098.9352736351918,296.63869363292764,-24.1365334393457,95.0,200.47350232690326,-53.52226874705345,95.0,88.51002632780475,95.0,303.0803153272258,68.57615012572133,154.26791378261157,138.76479800081654
302,5.038366666666667,991.36583561388,1096.8693085094922,23203.5,1026.5454545454545,1045.801652892562,-0.9675707447047128,detected,994.5846496236268,1098.0552956912377,281.5231545679393,-25.036350820391824,95.0,195.304266139694,-51.96948717419214,95.0,86.64469994070488,95.0,304.2117752688296,67.06326767374634,152.78742597109203,132.28978204926113
303,5.0550500000000005,995.9407144394232,1096.414776558353,23235.0,1036.0878661087866,1045.774058577406,-0.9004708900299458,detected,997.7998589670717,1097.2012233457629,266.4076155029509,-25.936168201437948,95.0,190.13502995248476,-50.416705601330825,95.0,84.70204978679166,95.0,305.31799526295305,65.55038522177138,151.05752493147344,125.99522999026912
304,5.071733333333333,999.9288814009292,1096.6495561925185,22851.5,1041.676229508197,1044.872950819672,-0.892227216774958,detected,1000.9288281338866,1096.3730565987673,251.29207643796252,-26.835985582484074,95.0,184.96579376527552,-48.86392402846952,95.0,82.81192583972178,95.0,306.3989753095961,64.03750276979642,149.09032075796114,119.88371111609257
305,5.088416666666666,1003.8424946067285,1096.137047402484,22868.0,1048.7222222222222,1044.0648148148148,-0.8594487907318719,detected,1003.9715571240713,1095.5707954502516,236.1765373729295,-27.7358029635825,95.0,179.79655757806626,-47.3111424556082,95.0,80.99177401896344,95.0,307.4547154087587,62.52462031782143,146.89764035427774,113.95713920471601
306,5.1051,1007.7261761860073,1095.7280895116292,22909.5,1033.151815181518,1042.1419141914191,-1.1277712748756037,detected,1006.9280459376258,1094.7944399002154,221.27291054707825,-29.63753661746432,95.0,174.627321390857,-45.75836088274689,95.0,79.32822980450631,95.0,308.485215560441,61.01173786584648,144.4910108487007,108.21680438241566
307,5.121783333333333,1011.3620125621565,1095.2785120241938,22926.0,1053.6764705882354,1043.2401960784314,-0.8880941346115288,detected,1009.7982945745504,1094.0439899486585,206.40420598519017,-31.46737055120002,95.0,169.45808520364776,-44.20557930988558,95.0,77.80601659626319,95.0,309.49047576464284,59.49885541387151,141.88164526440136,102.66340448317457
308,5.138466666666667,1014.749059508766,1094.9317907824598,22949.0,1051.003816793893,1042.6526717557251,-0.9644565977633356,detected,1012.5823030348447,1093.319445595581,194.04017285041527,-36.06425987629791,95.0,164.28884901643852,-42.652797737024265,95.0,76.4161227531894,95.0,310.4704960213643,57.985972961896536,139.0804303377925,97.29707581934865
309,5.15515,1017.7941545399837,1094.0841000877326,22986.5,1053.798353909465,1042.053497942387,-0.9654723945357142,detected,1015.2800713185089,1092.6208068409833,182.44590901176798,-40.7953804492754,95.0,159.11961282922925,-41.10001616416295,95.0,75.15457795274642,95.0,311.42527633060536,56.473090509921576,136.097916378178,92.11742328754504
310,5.171833333333334,1020.6601568729792,1093.255078074029,22991.0,1065.048309178744,1042.1014492753625,-0.8560918669990042,detected,1017.8915994255431,1091.948073684865,171.1952207846207,-43.4837189368659,95.0,153.95037664202,-39.547234591301645,95.0,73.96891458814665,95.0,312.354816692366,54.96020805794661,132.94430906305493,87.12354974280026
311,5.188516666666667,1023.4233719802568,1092.3633172666348,23029.0,1076.5263157894738,1041.7751196172248,-0.7611506407721289,detected,1020.416887355947,1091.301246127226,160.208176656643,-45.86768743610992,95.0,148.78114045481075,-37.99445301844033,95.0,72.86426828285101,95.0,313.2591171066463,53.44732560597163,129.62946306490338,82.31408458283092
