agent_id,energy_ratio,nrmse,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,self_phase,signal_index,total_energy_ratio,total_nrmse
7,0.862116189782072,0.693855479260817,7-10,1,0.0263164062373044,0.00612905513032692,0.000786551908249403,0,0.993084392961424,0.993870944869673,0.862116189782072,0.693855479260817,phi1,1,0.999154902525595,0.0698920408541644
7,0.97851182502789,0.64141414970958,7-10,2,0.0263164062373044,0.00612905513032692,0.000786551908249403,0,0.993084392961424,0.993870944869673,0.97851182502789,0.64141414970958,phi1,1,0.999868297790946,0.0646096273588549
7,0.98806944892668,0.636876518589662,7-10,3,0.0263164062373044,0.00612905513032692,0.000786551908249403,0,0.993084392961424,0.993870944869673,0.98806944892668,0.636876518589662,phi1,1,0.999926876994736,0.0641525519172192
7,0.993894942389892,0.634066272547022,7-10,4,0.0263164062373044,0.00612905513032692,0.000786551908249403,0,0.993084392961424,0.993870944869673,0.993894942389892,0.634066272547022,phi1,1,0.999962581765334,0.0638694759207139
7,0.996742071531528,0.632738119163322,7-10,5,0.0263164062373044,0.00612905513032692,0.000786551908249403,0,0.993084392961424,0.993870944869673,0.996742071531528,0.632738119163322,phi1,1,0.999980031976806,0.0637356910716657
10,0.876476027494555,0.679073224528826,7-10,1,0.0270964208369935,0.00688682333208308,0.00106439316385951,0,0.992048783504058,0.993113176667917,0.876476027494555,0.679073224528826,phi2,2,0.999149312224078,0.0716305779178745
10,0.963132904861227,0.637231015886327,7-10,2,0.0270964208369935,0.00688682333208308,0.00106439316385951,0,0.992048783504058,0.993113176667917,0.963132904861227,0.637231015886327,phi2,2,0.999746102829012,0.067216942571698
10,0.984089404807803,0.62676188653343,7-10,3,0.0270964208369935,0.00688682333208308,0.00106439316385951,0,0.992048783504058,0.993113176667917,0.984089404807803,0.62676188653343,phi2,2,0.999890426541803,0.0661126289884827
10,0.990164781636195,0.623682007228707,7-10,4,0.0270964208369935,0.00688682333208308,0.00106439316385951,0,0.992048783504058,0.993113176667917,0.990164781636195,0.623682007228707,phi2,2,0.999932266588696,0.0657877545470443
10,0.995765904165734,0.62095812679624,7-10,5,0.0270964208369935,0.00688682333208308,0.00106439316385951,0,0.992048783504058,0.993113176667917,0.995765904165734,0.62095812679624,phi2,2,0.999970840530019,0.0655004318806379
7,0.949916293506276,0.607891368309328,7-8,1,0.0250128494802739,0.00683768179286877,0.00340739990119333,0,0.989754918305938,0.993162318207131,0.949916293506276,0.607891368309328,phi1,1,0.999657543551989,0.0620272589175104
7,0.976677219922948,0.593387285940792,7-8,2,0.0250128494802739,0.00683768179286877,0.00340739990119333,0,0.989754918305938,0.993162318207131,0.976677219922948,0.593387285940792,phi1,1,0.999840526251308,0.0605473095065882
7,0.98990825317384,0.585911974690241,7-8,3,0.0250128494802739,0.00683768179286877,0.00340739990119333,0,0.989754918305938,0.993162318207131,0.98990825317384,0.585911974690241,phi1,1,0.999930995846469,0.0597845530494328
7,0.995667535899694,0.582689610458428,7-8,4,0.0250128494802739,0.00683768179286877,0.00340739990119333,0,0.989754918305938,0.993162318207131,0.995667535899694,0.582689610458428,phi1,1,0.999970375989103,0.0594557534793895
7,0.997833458664478,0.581473939865628,7-8,5,0.0250128494802739,0.00683768179286877,0.00340739990119333,0,0.989754918305938,0.993162318207131,0.997833458664478,0.581473939865628,phi1,1,0.999985185879757,0.0593317104043452
8,0.949950750270811,0.493751868952175,7-8,1,0.0228961083195885,0.0122949112732581,0.0093480996042805,0,0.978356989122462,0.987705088726742,0.949950750270811,0.493751868952175,phi2,2,0.999384648915287,0.0610778388828147
8,0.971498133642191,0.476017158215282,7-8,2,0.0228961083195885,0.0122949112732581,0.0093480996042805,0,0.978356989122462,0.987705088726742,0.971498133642191,0.476017158215282,phi2,2,0.999649572082009,0.0588840288475838
8,0.985109697224856,0.464461650856228,7-8,3,0.0228961083195885,0.0122949112732581,0.0093480996042805,0,0.978356989122462,0.987705088726742,0.985109697224856,0.464461650856228,phi2,2,0.999816925048548,0.0574545954396996
