phi,a_1_shared,b_1_7_10_10to7,b_1_7_10_7to10,b_1_7_8_8to7,b_1_7_8_7to8,b_1_7_9_9to7,b_1_7_9_7to9,b_1_8_10_10to8,b_1_8_10_8to10,b_1_8_9_9to8,b_1_8_9_8to9,b_1_9_10_10to9,b_1_9_10_9to10,a_2_shared,b_2_7_10_10to7,b_2_7_10_7to10,b_2_7_8_8to7,b_2_7_8_7to8,b_2_7_9_9to7,b_2_7_9_7to9,b_2_8_10_10to8,b_2_8_10_8to10,b_2_8_9_9to8,b_2_8_9_8to9,b_2_9_10_10to9,b_2_9_10_9to10,a_3_shared,b_3_7_10_10to7,b_3_7_10_7to10,b_3_7_8_8to7,b_3_7_8_7to8,b_3_7_9_9to7,b_3_7_9_7to9,b_3_8_10_10to8,b_3_8_10_8to10,b_3_8_9_9to8,b_3_8_9_8to9,b_3_9_10_10to9,b_3_9_10_9to10
0,-0.00838791337132537,-0.0992759435328352,-0.0928179194147655,0.106055372208836,0.149275637443886,-0.147440943314084,-0.158739719758265,-0.114377668403103,-0.0737654721078718,-0.101804760088666,-0.097019301152907,0.111386869020294,0.123713978520032,0.000535622926461856,-0.0755527442627201,0.0214180829407645,0.0427732460474076,-0.0818175514506901,-0.00745626310880765,-0.0456137925038021,0.022824590718778,-0.045077778931621,0.018624394703413,0.0337999187468485,-0.0361166997168033,-0.0535049207304428,-0.00681954117500732,-0.000287885439846252,-0.0178471784419577,0.0412462389103218,0.033465906799355,0.0253218719012389,0.0890198416508251,0.0643130224970189,0.0350197274119904,0.00735038741338205,0.00575669358023244,0.0122376396829654,0.0807022660121379
0.0122958616578857,-0.00858056397186643,-0.0995122900713439,-0.0918493388137854,0.105956738795336,0.149180229921808,-0.147935803580403,-0.157387969551457,-0.112691369462521,-0.0721796132321066,-0.1016903816987,-0.0964792367894729,0.111672845896456,0.123874257820217,0.000912031744148981,-0.0767288331298029,0.020825359550599,0.0427947353321831,-0.0800173653317426,-0.00780023231064593,-0.046442734233998,0.0206804139361258,-0.0453812118942462,0.0177393752857466,0.0330892910212122,-0.0363432571073324,-0.0526259025322186,-0.00752088352695516,-0.000765383041991086,-0.0176437707653905,0.0406874611212647,0.0325290948616009,0.0236824913757713,0.0881068181189642,0.0653450833525283,0.0346050425797415,0.00860780995911064,0.00677204010035268,0.0109511959539753,0.0791075455633945
0.0245917233157714,-0.00868417760822222,-0.0997205874966393,-0.0908404437487917,0.105854074792259,0.148965638426868,-0.148429538841679,-0.156096913313705,-0.110974812859783,-0.07066458744162,-0.10155050712772,-0.095938106063373,0.111934026599504,0.123986767293568,0.00123914835179241,-0.0778352014550945,0.0202587534997575,0.0428878728612688,-0.0781287044670543,-0.00804493225346241,-0.0471329657651603,0.0185772221684248,-0.0454936614945483,0.0168636879176783,0.0323513160432605,-0.0365095121616457,-0.0517078938377877,-0.00822846473010555,-0.00129044114462848,-0.0174467063672985,0.0400934138029067,0.0317201299504811,0.0219337853785188,0.0871222616240066,0.0662065515740868,0.0339804489546247,0.00989733653200167,0.00777620588506938,0.00968327571080121,0.0776181241777065
0.0368875849736571,-0.00868947521442754,-0.0999008805874051,-0.0897942644509779,0.105749298098395,0.148631526298597,-0.14892243883424,-0.154871545062318,-0.109233081198379,-0.0692247207103853,-0.101387083960274,-0.0953970720310309,0.112170411328567,0.12404908030949,0.0015020807616732,-0.0788730801104311,0.0197234806552983,0.0430566282274747,-0.0761670212990227,-0.00819505703930168,-0.0476833121606172,0.0165236859355477,-0.0454202497664129,0.0159998105866187,0.0315874157490553,-0.0366176752478777,-0.0507596397049202,-0.00893388327138545,-0.0018638072440729,-0.017257090965065,0.0394721019012593,0.0310372007029844,0.0200863606230009,0.086065047528045,0.0668880807944692,0.0331537223234143,0.0112080581718616,0.00876167847239051,0.0084416147620011,0.076233414756433
0.0491834466315427,-0.00858827777935803,-0.100053317376463,-0.0887144548944153,0.10564405487995,0.148178693760304,-0.14941468382622,-0.153716298979394,-0.107471562841602,-0.0678637442251042,-0.10120224248346,-0.0948573687597542,0.112382122775253,0.124059280160066,0.00168698189011417,-0.0798439902308534,0.0192249326714275,0.0433041435260499,-0.0741480775868142,-0.00825552149892358,-0.0480932000788471,0.0145283145401262,-0.0451671287237334,0.0151503676003673,0.0307996887824425,-0.0366702336072986,-0.0497893794904394,-0.0096285056533511,-0.00248573499684964,-0.0170763092993052,0.0388317353397774,0.0304772687219489,0.0181517888333691,0.0849340961362526,0.067381596028475,0.0321343887719515,0.0125286730828219,0.00972107849413849,0.00723336113550441,0.0749516625982298
0.0614793082894284,-0.00837361548389109,-0.100178149022642,-0.0876052731322377,0.105539711300021,0.147609056993639,-0.149906348975584,-0.152635029548323,-0.105695916971712,-0.0665847750888649,-0.100998286066507,-0.0943203100959414,0.112569412542666,0.124015985229578,0.00178127758529123,-0.0807497279366234,0.0187685909359468,0.043632703306968,-0.072087780838907,-0.00823144320138475,-0.0483626808356108,0.01259937382217,-0.0447414262954758,0.0143181020577678,0.0299908764525185,-0.0366699063759437,-0.0488047803188093,-0.0103034677121323,-0.00315598348895792,-0.0169060044760632,0.0381806431344076,0.0300361360915363,0.0161425043695959,0.0837284290886124,0.0676803825379559,0.0309336156610602,0.013847611114562,0.010647241367686,0.00606502877257487,0.0737700286108162
0.0737751699473141,-0.00803981783542297,-0.10027572765089,-0.0864715522269502,0.105437348492598,0.146925612991624,-0.150397408952827,-0.15163099698837,-0.103912032640217,-0.0653903012283783,-0.100777678130147,-0.0937872960125398,0.112732664717044,0.123918366638119,0.00177387253306382,-0.0815923464190151,0.018359936861755,0.0440437143466426,-0.0700020193656823,-0.00812812359282557,-0.0484924490329901,0.0107448038272087,-0.044151186452193,0.013505844821701,0.0291643187879825,-0.0366195984382507,-0.0478128793580426,-0.0109496785460645,-0.00387382179579576,-0.0167480512324237,0.0375271851821248,0.029708523290805,0.014071691402132,0.0824472269024299,0.067779162537559,0.0295640849562982,0.0151531632318839,0.0115332968610913,0.00494245955735594,0.0726846828320119
0.0860710316051998,-0.0075825831011271,-0.100346502194852,-0.0853186620509451,0.105337760772823,0.146132390887503,-0.150887742757284,-0.150706858069023,-0.102125982248985,-0.0642821706328647,-0.100543025783084,-0.0932598163887754,0.112872396543815,0.123766158176086,0.00165533078494887,-0.0823741356224095,0.0180043598279951,0.0445376953980887,-0.0679064979899911,-0.00795102815728724,-0.0484838562429462,0.00897213739051179,-0.0434053040154701,0.012716480375388,0.0283239013885885,-0.0365223537672531,-0.0468200352534773,-0.011557828764143,-0.00463803870673284,-0.0166045235317682,0.0368796627899729,0.0294881564353822,0.0119531619522734,0.0810898866891063,0.0676741588285567,0.0280398505002515,0.0164336143753713,0.0123727455328249,0.00387079388106433,0.0716909069029907
0.0983668932630855,-0.00699902562215289,-0.100391012311495,-0.0841524623644006,0.105241457036456,0.145234390635685,-0.151377138662958,-0.149864662322893,-0.100343970000751,-0.0632615850239673,-0.100297060259705,-0.092739452118456,0.112989256211675,0.123559658452465,0.00141802807506085,-0.0830975997914649,0.0177070641162062,0.0451142769504277,-0.0658165764516522,-0.00770576551283048,-0.0483389192950963,0.0072884206522332,-0.0425134546704275,0.0119529099989666,0.0274739939051379,-0.0363813089025083,-0.0458318889595383,-0.0121184047080553,-0.00544695742962467,-0.016477656981867,0.0362462290342169,0.0293678626967748,0.0098012262335834,0.0796560790626369,0.0673631445852676,0.0263761810095893,0.0176773780519792,0.0131595310883467,0.00285444982993326,0.0707832040487687
0.110662754920971,-0.00628769989762273,-0.100409880471527,-0.0829792477038684,0.105148665264164,0.144237510085043,-0.151865299237614,-0.149105853613225,-0.0985722759491208,-0.0623290980258545,-0.100042614348853,-0.0922278734877098,0.113084017799434,0.123299725286295,0.00105627355763618,-0.0837654331840153,0.0174729762076564,0.0457722109014173,-0.0637471125122899,-0.00739806538071512,-0.0480603227896211,0.00570013651683454,-0.0414860207263015,0.011218012753555,0.0266193810976933,-0.036199647204218,-0.0448533340997131,-0.0126217101972471,-0.0062984550351852,-0.0163698066488769,0.0356348000474827,0.0293396726834399,0.00763055682971468,0.0781458032659629,0.0668454786654982,0.0245893907490175,0.0188731309525125,0.0138881077497146,0.00189711097733244,0.0699554150521446
