phi,a_shared,b_shared,wb_7_10_10to7,wb_7_10_7to10,wb_7_8_8to7,wb_7_8_7to8,wb_7_9_9to7,wb_7_9_7to9,wb_8_10_10to8,wb_8_10_8to10,wb_8_9_9to8,wb_8_9_8to9,wb_9_10_10to9,wb_9_10_9to10
0,-0.0391319867514013,1.35080879673143,0.0334258491316888,0.0348587118938706,-0.0338329630568962,-0.0505986731893001,0.061853873972259,0.0746217326908592,0.0181506723106052,0.0171131063419934,0.0334216517265795,0.0375366888458681,-0.0528815373517241,-0.0472241733445353
0.0122958616578857,-0.0382584201857542,1.35281407163608,0.0334754697860644,0.0349104596322168,-0.0338831880716665,-0.0506737868914023,0.0619456960136402,0.0747325086113803,0.0181776169735175,0.0171385107388045,0.0334712661499096,0.0375924120395045,-0.052960039964401,-0.0472942776035018
0.0245917233157714,-0.0367685079606957,1.35473651759131,0.0335230408328469,0.0349600699026319,-0.0339313385154152,-0.0507457979819788,0.0620337252966307,0.0748387088734242,0.0182034486727578,0.0171628657934564,0.0335188312230231,0.0376458335569089,-0.0530352999847935,-0.047361486168663
0.0368875849736571,-0.0346688403879126,1.35657598122178,0.0335685584767534,0.0350075387471413,-0.0339774105466346,-0.050814700715887,0.0621179547981347,0.0749403250041897,0.018228165347438,0.0171861695628697,0.0335643431511141,0.0376969491360401,-0.0531073114085549,-0.0474257936780283
0.0491834466315427,-0.0319748778445857,1.35833050245321,0.0336119742156218,0.035052815584445,-0.0340213550724246,-0.0508804216725519,0.0621982947658584,0.0750372487247405,0.0182517406602511,0.0172083972152846,0.0336077534381107,0.037745704309753,-0.0531759975025888,-0.0474871316075488
0.0614793082894284,-0.0287106579882426,1.35999642998476,0.033653197697782,0.0350958061897762,-0.0340630806406669,-0.0509428240813382,0.0622745780058199,0.0751292783289614,0.018274125549061,0.0172295024931554,0.0336489717436886,0.0377919976145809,-0.0532412153255686,-0.0475453723080236
0.0737751699473141,-0.0249083521790147,1.36156855626981,0.0336921000621634,0.0351363761781891,-0.0341024568208129,-0.0510017128776669,0.0623465660631523,0.0752161261402012,0.0182952500406249,0.0172494194231934,0.0336878692229591,0.0378356843416227,-0.0533027610121719,-0.0476003337240171
0.0860710316051998,-0.0206076776813378,1.36304026969777,0.0337285177040438,0.0351743549317328,-0.034139318015498,-0.05105684040345,0.0624139561905462,0.0752974269181387,0.0183150252954431,0.0172680642443247,0.0337242822917441,0.0378765807654167,-0.0533603757307022,-0.047651784714123
0.0983668932630855,-0.0158551745712278,1.36440372148097,0.0337622564046754,0.0352095399061028,-0.0341734676404652,-0.0511079126583497,0.0624763889900432,0.0753727470779931,0.0183333458502011,0.0172853375219451,0.0337580167556847,0.0379144687814454,-0.0534137522163861,-0.0476994508853179
0.110662754920971,-0.0107033584931185,1.3656500046004,0.0337930957593097,0.0352417012484804,-0.0342046826065212,-0.0511545960027386,0.0625334566070069,0.0754415945758924,0.0183500920222439,0.0173011264149451,0.0337888522377093,0.0379491008787349,-0.053462541776752,-0.0477430208488914
0.122958616578857,-0.00520976245667892,1.36676934205361,0.0338207938354023,0.0352705866554218,-0.034232718034477,-0.0511965242090996,0.06258471135004,0.075503429308111,0.0183651324390427,0.0173153070605818,0.0338165468356541,0.0379802053709446,-0.0535063616611683,-0.0477821528015774
0.135254478236743,0.000564117293590849,1.36775128157806,0.0338450919910555,0.0352959263978507,-0.0342573121322761,-0.0512333057559843,0.0626296746074164,0.075557673868029,0.0183783266546713,0.0173277470413874,0.0338408419400998,0.0380074918073995,-0.0535448026838837,-0.0478164813330681
