agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
7,0.845898938938133,7,0.674087682769678,10,2,phi_{10},7-10,1,0.0204996707262856,0.00443722425415556,0.00568333924695136,0,0.989879436498893,0.995562775745845,0.845898938938133,0.674087682769678,10,7,1,phi_{7},1,10,7,0.999316219034265,0.0557955833100112
7,0.924632175794557,7,0.634531396624344,10,2,phi_{10},7-10,2,0.0204996707262856,0.00443722425415556,0.00568333924695136,0,0.989879436498893,0.995562775745845,0.924632175794557,0.634531396624344,10,7,1,phi_{7},1,10,7,0.999665576062453,0.0525214305321585
7,0.943097705413575,7,0.625045501228579,10,2,phi_{10},7-10,3,0.0204996707262856,0.00443722425415556,0.00568333924695136,0,0.989879436498893,0.995562775745845,0.943097705413575,0.625045501228579,10,7,1,phi_{7},1,10,7,0.999747511758344,0.0517362640317861
7,0.956887044251634,7,0.617749940721153,10,2,phi_{10},7-10,4,0.0204996707262856,0.00443722425415556,0.00568333924695136,0,0.989879436498893,0.995562775745845,0.956887044251634,0.617749940721153,10,7,1,phi_{7},1,10,7,0.999808698147085,0.0511323959230962
7,0.966091390907896,7,0.612891690567781,10,2,phi_{10},7-10,5,0.0204996707262856,0.00443722425415556,0.00568333924695136,0,0.989879436498893,0.995562775745845,0.966091390907896,0.612891690567781,10,7,1,phi_{7},1,10,7,0.999849539897312,0.0507302688584691
10,0.879880745710435,10,0.590188815856291,7,1,phi_{7},7-10,1,0.0193380957525448,0.00589161399477169,0.00738087605857093,0,0.986727509946658,0.994108386005229,0.879880745710435,0.590188815856291,7,10,2,phi_{10},2,7,10,0.999292303720386,0.0534593154989752
10,0.941726968002797,10,0.55089678813714,7,1,phi_{7},7-10,2,0.0193380957525448,0.00589161399477169,0.00738087605857093,0,0.986727509946658,0.994108386005229,0.941726968002797,0.55089678813714,7,10,2,phi_{10},2,7,10,0.999656677789168,0.0499002427920738
10,0.960154322377597,10,0.538308465912255,7,1,phi_{7},7-10,3,0.0193380957525448,0.00589161399477169,0.00738087605857093,0,0.986727509946658,0.994108386005229,0.960154322377597,0.538308465912255,7,10,2,phi_{10},2,7,10,0.999765244648089,0.048759992297075
10,0.969605486938158,10,0.531829177045452,7,1,phi_{7},7-10,4,0.0193380957525448,0.00589161399477169,0.00738087605857093,0,0.986727509946658,0.994108386005229,0.969605486938158,0.531829177045452,7,10,2,phi_{10},2,7,10,0.999820927261481,0.0481730981736463
10,0.97713747375381,10,0.526531962709361,7,1,phi_{7},7-10,5,0.0193380957525448,0.00589161399477169,0.00738087605857093,0,0.986727509946658,0.994108386005229,0.97713747375381,0.526531962709361,7,10,2,phi_{10},2,7,10,0.999865302820413,0.047693276386363
7,0.8374660577483,7,0.56965032751061,8,2,phi_{8},7-8,1,0.0175263322661073,0.00752864907687895,0.000381826472100673,0,0.99208952445102,0.992471350923121,0.8374660577483,0.56965032751061,8,7,1,phi_{7},1,8,7,0.998776338985705,0.0544885561567142
7,0.889747983353247,7,0.531672975753212,8,2,phi_{8},7-8,2,0.0175263322661073,0.00752864907687895,0.000381826472100673,0,0.99208952445102,0.992471350923121,0.889747983353247,0.531672975753212,8,7,1,phi_{7},1,8,7,0.999169951256648,0.050855922304015
7,0.919404697439421,7,0.507674330350208,8,2,phi_{8},7-8,3,0.0175263322661073,0.00752864907687895,0.000381826472100673,0,0.99208952445102,0.992471350923121,0.919404697439421,0.507674330350208,8,7,1,phi_{7},1,8,7,0.999393226249776,0.0485603885799476
7,0.948177429322855,7,0.483840581214814,8,2,phi_{8},7-8,4,0.0175263322661073,0.00752864907687895,0.000381826472100673,0,0.99208952445102,0.992471350923121,0.948177429322855,0.483840581214814,8,7,1,phi_{7},1,8,7,0.99960984605111,0.0462806276187555
7,0.968474739298775,7,0.466383795727563,8,2,phi_{8},7-8,5,0.0175263322661073,0.00752864907687895,0.000381826472100673,0,0.99208952445102,0.992471350923121,0.968474739298775,0.466383795727563,8,7,1,phi_{7},1,8,7,0.999762657375123,0.0446108400483796
8,0.872919476315291,8,0.410634462567662,7,1,phi_{7},7-8,1,0.0171616456613393,0.0319821877184478,0.0526645724846994,0,0.915353239796853,0.968017812281553,0.872919476315291,0.410634462567662,7,8,2,phi_{8},2,7,8,0.995935686836158,0.0771636802198287
8,0.933046386814986,8,0.334418614344379,7,1,phi_{7},7-8,2,0.0171616456613393,0.0319821877184478,0.0526645724846994,0,0.915353239796853,0.968017812281553,0.933046386814986,0.334418614344379,7,8,2,phi_{8},2,7,8,0.997858676974689,0.0628417080618893
8,0.958473364077381,8,0.296159796009983,7,1,phi_{7},7-8,3,0.0171616456613393,0.0319821877184478,0.0526645724846994,0,0.915353239796853,0.968017812281553,0.958473364077381,0.296159796009983,7,8,2,phi_{8},2,7,8,0.998671887334608,0.0556523669503713
8,0.975522388383713,8,0.26730113358515,7,1,phi_{7},7-8,4,0.0171616456613393,0.0319821877184478,0.0526645724846994,0,0.915353239796853,0.968017812281553,0.975522388383713,0.26730113358515,7,8,2,phi_{8},2,7,8,0.999217152430389,0.0502294402310756
