mode_l,singular_value_sigma,energy_share_eta,cum_energy_share
1,0.0950852959561193,0.709722327181834,0.709722327181834
2,0.0518458056694362,0.211003178825653,0.920725506007487
3,0.0295641029172872,0.0686105899558262,0.989336095963313
4,0.0116554016141533,0.0106639040366868,1
