Rank,Objective,RelativeResidual,ExplainedFraction,ExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercentagePoints,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.00440760539898319,0.50392104396443,0.746063581449799,74.6063581449799,0.746063581449799,74.6063581449799,0.1899968,0,0,0,baseline_retained:common_weight_rank_1
2,0.00341779203289959,0.443745496410273,0.8030899344156,80.30899344156,0.0570263529658014,5.70263529658014,2.015895,7,143,1,optimized_start_7:converged;weight_solver=normal_equations
3,0.00255517629370941,0.383682133752478,0.852788020239146,85.2788020239146,0.0496980858235454,4.96980858235454,2.7767122,17,98,1,optimized_start_17:converged;weight_solver=normal_equations
4,0.00218988779949455,0.355199277632723,0.873833473169192,87.3833473169192,0.021045452930046,2.1045452930046,19.5420279,17,672,1,optimized_start_17:converged;weight_solver=normal_equations
5,0.00182131987741826,0.323932300709746,0.895067864556891,89.5067864556891,0.0212343913876989,2.12343913876989,31.9461168,14,1000,0,optimized_start_14:max_iter;weight_solver=normal_equations
6,0.00150973128426593,0.294924579663615,0.91301949231024,91.301949231024,0.0179516277533494,1.79516277533494,34.8052564,10,1000,0,optimized_start_10:max_iter;weight_solver=normal_equations
7,0.00133271208964104,0.277095396410295,0.923218141288221,92.3218141288221,0.0101986489779812,1.01986489779812,39.3925323,5,1000,0,optimized_start_5:max_iter;weight_solver=normal_equations
8,0.00121929185231358,0.265042169461071,0.929752648407369,92.9752648407369,0.0065345071191476,0.65345071191476,42.2999122,2,1000,0,optimized_start_2:max_iter;weight_solver=normal_equations
9,0.00110979494975273,0.252861385926892,0.936061119507131,93.6061119507131,0.0063084710997624,0.63084710997624,45.9533721,1,1000,0,optimized_start_1:max_iter;weight_solver=normal_equations
10,0.00101837498881177,0.242222791107046,0.941328119468313,94.1328119468313,0.00526699996118141,0.526699996118141,48.700704,2,1000,0,optimized_start_2:max_iter;weight_solver=normal_equations
