pair_name,target_id,source_id,direction,total_energy,residual_energy,relative_residual,explained_fraction,zero_direction,weight_r1
11-12,11,12,s1,0.0017738815289457,0.00048799417522259,0.524499421291729,0.724900357064642,0,0.035859271516905
11-12,12,11,s2,0.00234970092938203,0.000291855405969686,0.352433819597428,0.875790402803967,0,0.0453634822672637
8-11,8,11,s1,0.000527680545298923,0.000165514142033686,0.560056719466924,0.686336470979947,0,0.01903067006874
8-11,11,8,s2,0.000813828357258802,0.000383118501278047,0.686120117522732,0.529239184330593,0,0.0207535504427738
8-12,8,12,s1,0.00123563758011385,0.000267858876452559,0.465594098906592,0.783222135063359,0,-0.0311091418020699
8-12,12,8,s2,0.00233372852817632,0.000614894046049649,0.513304387374369,0.736518605902224,0,-0.0414588287597066
8-9,8,9,s1,0.000188250264935206,0.000111572997644121,0.769859995278471,0.407315587669833,0,0.00875655567509768
8-9,9,8,s2,0.000192296314756302,9.61431595065358e-05,0.707088402910075,0.500025990470079,0,0.00980577152751204
9-11,9,11,s1,0.00103476298401746,0.000452313810328914,0.66114920761558,0.56288172526929,0,-0.0241339837923321
9-11,11,9,s2,0.00161892107038361,0.000554338788957851,0.585160222825173,0.657587513623194,0,-0.0326279371310194
9-12,9,12,s1,0.000483471771510046,0.000189756965437024,0.626488786953419,0.607511799821634,0,0.0171381097578765
9-12,12,9,s2,0.000686363525515435,0.000135384398639999,0.444127036529357,0.802751175423651,0,0.0234729445718989
