Rank,Objective,RelativeResidual,TotalExplainedFraction,TotalExplainedPercent,FundamentalExplainedFraction,FundamentalExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercent,CeilingExplainedFraction,CeilingExplainedPercent,OrthogonalityError,MaxAbsW,NormW,CancellationIndex,GramRCond,MaxAtomSimilarity,DesignRank,ValidationExplainedFraction,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.013559302839706,0.596182620781075,0.644566282678609,64.4566282678609,0.837422714223046,83.7422714223046,0.644566282678609,64.4566282678609,0.769702411614944,76.9702411614944,7.27564501957227e-16,0.0465533586453305,0.15680978535472,1,1,0,1,NaN,0.3536929,17,7,1,optimized_start_17:converged;weight_solver=normal_equations
2,0.0121762507596809,0.564959639730513,0.680820605475569,68.0820605475568,0.884524454129113,88.4524454129113,0.0362543227969594,3.62543227969594,0.769702411614944,76.9702411614944,4.0925503235094e-16,0.049874458452498,0.145050769729879,0.810081374973822,0.211383152945541,0.651005295175929,2,NaN,8.2433579,4,127,1,optimized_start_4:converged;weight_solver=normal_equations
3,0.0112056860156661,0.541975751476507,0.706262284811476,70.6262284811476,0.917578370749339,91.7578370749339,0.0254416793359071,2.54416793359071,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.501998751399,1.51412051041849,85.0895316086793,0.000178591068271288,0.991471631016572,3,NaN,29.0356903,16,1000,0,optimized_start_16:max_iter;weight_solver=normal_equations
4,0.0104749908676267,0.524007445785299,0.725416196761567,72.5416196761567,0.942463198523106,94.2463198523106,0.0191539119500912,1.91539119500912,0.769702411614944,76.9702411614944,1.3641834411698e-16,1.90182134834616,5.4347834661716,1067.32948267196,1.08063197514853e-05,0.992446852499412,4,NaN,30.3747029,1,1000,0,optimized_start_1:max_iter;weight_solver=normal_equations
5,0.00990964371188849,0.509670681397382,0.740235796523929,74.0235796523929,0.961716873110494,96.1716873110494,0.0148195997623617,1.48195997623617,0.769702411614944,76.9702411614944,1.81891125489307e-16,0.118353410490729,0.49632511024568,8.72335759006541,0.00400337449141528,0.817332414126167,5,NaN,34.8228397,14,468,0,optimized_start_14:objective_increase_rejected:2.793e-02;weight_solver=normal_equations
6,0.00947939389664059,0.498483647960617,0.751514052715876,75.1514052715876,0.976369622045351,97.6369622045351,0.0112782561919473,1.12782561919473,0.769702411614944,76.9702411614944,4.54727813723267e-17,0.295119471409784,1.34246629482836,62.8623972223725,0.000362488850619867,0.970024378215291,6,NaN,32.6729839,17,1000,0,optimized_start_17:max_iter;weight_solver=normal_equations
7,0.00921875756919008,0.491582969478262,0.758346184118934,75.8346184118934,0.985245950480808,98.5245950480808,0.00683213140305794,0.683213140305794,0.769702411614944,76.9702411614944,4.54727813723267e-17,0.142996097961937,0.515429131621113,9.18315001632262,0.00203304085383228,0.943004854715543,7,NaN,29.1884188,3,1000,0,optimized_start_3:max_iter;weight_solver=normal_equations
8,0.00909331371407169,0.4882269162648,0.761634478234564,76.1634478234564,0.98951811341808,98.951811341808,0.00328829411563036,0.328829411563036,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.310891647017285,0.662299494233454,15.0967517676574,0.000156819853493524,0.934831082309645,8,NaN,34.993293,16,1000,0,optimized_start_16:max_iter;weight_solver=normal_equations
9,0.00901799052758616,0.48620063189765,0.763608945542326,76.3608945542326,0.99208334808276,99.2083348082759,0.00197446730776196,0.197446730776196,0.769702411614944,76.9702411614944,4.54727813723267e-17,0.588569806494989,1.10015791813877,41.5489749048465,6.79045171331598e-05,0.931440662050411,9,NaN,33.5727907,2,1000,0,optimized_start_2:max_iter;weight_solver=normal_equations
10,0.00895615116036554,0.484530744324468,0.765229957804377,76.5229957804377,0.994189372745785,99.4189372745785,0.00162101226205114,0.162101226205114,0.769702411614944,76.9702411614944,4.54727813723267e-17,0.188024232947204,0.614552353197044,12.937401946894,0.000114056688273981,0.920939987117756,10,NaN,40.5987593,20,1000,0,optimized_start_20:max_iter;weight_solver=normal_equations
