CompRank,CompIndex,DeltaRad,DeltaDeg,ComponentEnergyFraction,DropOneMetric,MaxDirectionShare,EffectiveDirections,DominantInteractionIndex,DominantPairName,DominantSourceID,DominantTargetID
8,2,0.148957516755335,8.53463703682992,4.62229492894643,4.62229492894642,0.548127659490711,2.82596407802284,9,7-11,11,7
8,3,0.884140044126243,50.6574930269441,0.913890764390404,0.913890764390403,0.219562789517636,8.66714581593889,7,7-10,10,7
8,4,0.416950353371508,23.8894955146757,2.11507225781366,2.11507225781367,0.77257667194006,1.66106785827971,9,7-11,11,7
8,5,0.87721448171556,50.2606875300575,0.162554727808478,0.162554727808478,0.198935027169791,9.35552952609457,9,7-11,11,7
8,6,0.797619393808277,45.7002249229974,0.628033767309638,0.628033767309635,0.270997505572046,5.94269742235463,9,7-11,11,7
8,7,0.181601652484901,10.4050082399863,2.53725951582669,2.53725951582669,0.32838537349211,5.86635225318668,9,7-11,11,7
8,8,0.524126308271815,30.0302253957477,0.406935067077618,0.406935067077616,0.231371112897083,9.03637476963338,9,7-11,11,7
9,1,2.64201464298555,151.376288454835,0.390998363226995,0.390998363226993,0.647218697527298,2.33574499120615,10,7-11,7,11
9,2,0.153436316795531,8.79125337641617,15.9567410268503,15.9567410268504,0.569079609348998,2.79243845519328,10,7-11,7,11
9,3,0.961516003995163,55.0908089632069,0.699360643853223,0.699360643853219,0.489151819238262,3.64618051007835,9,7-11,11,7
9,4,0.430514953985877,24.6666898806596,5.46703478030437,5.46703478030437,0.42603036230495,3.78519179149467,10,7-11,7,11
9,5,0.839002719064777,48.071314802412,0.107831909660558,0.107831909660557,0.180011162728285,8.4658587489704,9,7-11,11,7
9,6,0.819287380374082,46.9417091037642,0.908011897318858,0.908011897318857,0.435926013280368,4.3817108822746,9,7-11,11,7
9,7,0.175758244066417,10.0702055996359,7.17853077722411,7.17853077722412,0.496285706111182,3.65563395235141,10,7-11,7,11
9,8,0.524608326262283,30.0578429922509,0.854754261068164,0.854754261068165,0.284494056929805,8.28446935042889,10,7-11,7,11
9,9,0.470783454898042,26.9739050302454,0.163905255947267,0.163905255947267,0.244895072392338,6.81204815940185,22,8-9,8,9
10,1,0.704911116226628,40.3884318916416,1.62111971748777,1.62111971748777,0.568699568524311,2.93360029246733,10,7-11,7,11
10,2,0.769145501602254,44.0687910732818,3.19491620606699,3.194916206067,0.24017510040265,7.44387642018973,8,7-10,7,10
10,3,1.45711187814298,83.4863608959735,0.170968909893145,0.170968909893145,0.487311821998332,3.11177795998596,9,7-11,11,7
10,4,0.336231408994972,19.2646406751489,0.520916098974371,0.52091609897437,0.220817833545883,8.2205371356456,8,7-10,7,10
10,5,0.954157342961873,54.6691887431319,0.988276861397059,0.988276861397059,0.679523482241082,2.10365069863289,10,7-11,7,11
10,6,0.232591936538748,13.3265363124449,0.515746009168625,0.515746009168624,0.25411265276489,6.20107958584096,8,7-10,7,10
10,7,0.797184399503964,45.6753015852481,1.74594112507083,1.74594112507082,0.530785829136243,3.30528239796627,10,7-11,7,11
10,8,0.91435262438836,52.3885463641636,0.54932467206663,0.549324672066629,0.409037330248745,4.96565900610963,10,7-11,7,11
10,9,0.710385120391073,40.7020692273014,0.479904670023857,0.479904670023856,0.652603802469169,2.23450625011383,10,7-11,7,11
10,10,2.79674763846116,160.241836047005,0.112973275770716,0.112973275770716,0.234821385222291,9.24216171939569,10,7-11,7,11
