state_type,total_energy,mean_amplitude,phase_rad_agent_7,phase_deg_agent_7,phase_rad_agent_8,phase_deg_agent_8,phase_rad_agent_9,phase_deg_agent_9,phase_rad_agent_10,phase_deg_agent_10
MAX_VIBRATION,0.0482626473688244,0.153520052335083,0,0,0,0,-3.14159265358979,-180,-3.14159265358979,-180
MIN_VIBRATION,0.00475747094808355,0.0373007432175086,0,0,-3.14159262578901,-179.999998407132,-3.14159261827647,-179.999997976696,4.23989110487355e-09,2.42927865904314e-07
