target_agent_id,max_input_amp,min_input_amp,sender_8_phase_for_max_deg,sender_8_phase_for_min_deg,sender_9_phase_for_max_deg,sender_9_phase_for_min_deg,sender_11_phase_for_max_deg,sender_11_phase_for_min_deg,sender_12_phase_for_max_deg,sender_12_phase_for_min_deg
8,0.0824962011293824,0.0059415131386364,0,0,0,-1.1919407760809,0,-1.19194097140289,-180,-1.19194084116635
9,0.0715165306908072,4.61002480878013e-13,0,0,0,-28.7372116727506,-180,-31.4201432722182,0,-48.7713100004228
11,0.121098120621916,1.05949372253782e-11,0,0,-180,81.1804016934453,0,-95.2472009307605,0,114.861874371136
12,0.152549365633287,1.30899556763473e-13,0,0,-180,-84.678932430756,-180,30.4169552166778,-180,-137.478211402821
