state_type,total_energy,mean_amplitude,phase_rad_agent_8,phase_deg_agent_8,phase_rad_agent_9,phase_deg_agent_9,phase_rad_agent_11,phase_deg_agent_11,phase_rad_agent_12,phase_deg_agent_12
MAX_VIBRATION,0.0249281505680536,0.106915054518848,0,0,-3.14159265358979,-180,-3.14159265358979,-180,0,0
MIN_VIBRATION,0.00122951970504306,0.0195514178839484,0,0,5.67942670670618e-09,3.25407180348149e-07,-4.85753748336037e-09,-2.78316396623149e-07,2.19906270970682e-09,1.25997012150803e-07
