mode_l,singular_value_sigma,max_amplitude,min_amplitude,amplitude_ratio,suppression_percent,max_phase_deg_agent_8,min_phase_deg_agent_8,max_phase_deg_agent_9,min_phase_deg_agent_9,max_phase_deg_agent_11,min_phase_deg_agent_11,max_phase_deg_agent_12,min_phase_deg_agent_12
1,0.0794936993312693,2.80095387015448,5.10740995152929e-13,1.82345379049302e-13,99.9999999999818,0,0,-180,42.3090440619184,-180,-99.7863330343728,0,-136.83886744167
2,0.0442059579357636,2.53784811469189,2.69140273873181e-13,1.06050583687454e-13,99.9999999999894,0,0,0,97.2244139912168,-180,-167.734813153902,-180,24.3288465438662
3,0.027949068166671,2.77406925341352,3.47379960432854e-13,1.2522396836539e-13,99.9999999999875,0,0,-180,88.5512329846851,0,155.691095071539,-180,-106.185859226401
4,0.00481876126619975,2.61479996764611,3.46355832771142e-14,1.32459781649354e-14,99.9999999999987,0,0,0,139.599947684089,0,-142.816429865579,0,-74.6269471617703
