frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s,x_m,y_m,speed_sg_m_s,speed_sg_cm_s,speed_butter_m_s,v_surge_m_s,v_surge_cm_s
300,10.01,1234.6791366906475,1002.2071942446044,14396.0,1249.857142857143,959.0,-1.2329778814267192,detected,1234.5787674171474,1005.215888571934,9.584975266891423,88.90711994951774,89.42229995132564,36.20390805181059,17.574852359905897,40.24423429134223,50.297193209335816,88.73549730673444,286.4908672996639,-78.44247718084927,-6.574978505682406,39.7035017516876,1.5578280976872525,1.2684112158636391,0.05078136819096812,5.0781368190968115,0.11196908177505925,-0.008296502846286948,-0.8296502846286947
301,10.043366666666667,1235.6874051593322,1003.113808801214,14364.0,1243.68,958.88,-1.3920353877310647,detected,1235.790483645339,1005.7935043278545,26.547061925589798,73.64508537349404,78.28374733334068,36.4264352963356,17.04747067229564,40.21817306543031,49.88712255735549,76.87560455978323,283.9821226184965,-71.93182938263519,-7.741050234589043,39.46615747683669,1.559357077155002,1.2691400685524978,0.050748483363319004,5.0748483363319,0.09700391742559399,-0.009767886731342641,-0.9767886731342641
302,10.076733333333332,1233.882911392405,1011.3132911392404,15286.0,1225.1304347826087,959.391304347826,-1.737796084671431,detected,1237.009624865923,1006.3535231147985,43.50914858430133,58.38305079747761,72.8122697829951,36.6489625408606,16.52008898468538,40.20024621048143,49.36404281678402,65.91297053792918,281.69061655219616,-65.42118158442109,-8.751329875423503,39.236131572758886,1.5608954256983256,1.269846716864099,0.05072586272615954,5.072586272615954,0.08317094074186648,-0.011042687539966565,-1.1042687539966565
303,10.1101,1238.948755490483,1015.7159590043924,14786.0,1243.2093023255811,958.9767441860464,-1.4958469972222437,detected,1238.236191078899,1006.8959449327658,42.680621680112836,42.546827044361635,60.26498119591294,36.87148978538562,15.99270729707512,40.190464611443794,48.962301560198796,56.36184491129556,279.6163491007629,-58.91053378620703,-9.60859866226525,39.02496992223352,1.562443143317223,1.2705311607984429,0.05071352001444012,5.071352001444012,0.0711190472066821,-0.012124414715792113,-1.2124414715792113
304,10.143466666666669,1240.3072378138847,1015.3737075332348,14830.0,1256.5,959.25,-1.2899054533451084,detected,1239.4701822842676,1007.4207697817566,43.82379194702753,13.557822971687074,45.873078208770345,37.094017029910624,15.46532560946486,40.188834215762824,48.09850433646813,48.7293381110785,277.75932026419673,-52.39988598799294,-10.315582706783765,38.84238855994276,1.5640002300116942,1.271193400355529,0.05071146273282376,5.071146273282376,0.06148812379946814,-0.013016508147361218,-1.3016508147361219
305,10.176833333333333,1240.4980392156865,1007.486274509804,13876.0,1249.032258064516,959.548387096774,-1.3946155177774735,detected,1240.7115984820284,1007.9279976617707,38.07159325337989,13.265326915145124,40.316437231189894,37.31654427443563,14.9379439218546,40.19535601532082,46.96451668224151,43.397578175816314,276.11953004249756,-45.88923818977886,-10.874766989255036,38.696331714101746,1.5655666857817394,1.2718334355353575,0.05071969213289693,5.071969213289694,0.05476035101049378,-0.013722103456473234,-1.3722103456473234
306,10.2102,1242.8673050615596,1014.1149110807114,14562.0,1266.642857142857,961.0,-1.1499193637036982,detected,1241.9604396721816,1008.4176285728083,39.27951747053203,3.9853314617321303,39.48117728206319,37.53907151896064,14.410562234244342,40.21002604342195,46.13510772010995,40.42913668951344,274.6969784356655,-39.378590391564785,-11.288244819158615,38.5930268742348,1.5671425106273587,1.2724512663379286,0.050738203209365236,5.073820320936524,0.05101468351989078,-0.014243842043102355,-1.4243842043102355
307,10.243566666666666,1245.086519114688,1008.450704225352,13862.0,1254.3921568627452,960.1960784313726,-1.380290455802096,detected,1243.216705854727,1008.8896625148693,34.75056855157936,7.860682582359459,35.62853274159106,37.761598763485644,13.883180546634081,40.23283538684441,45.6979666356184,39.441645026389565,273.4916654437005,-32.867942593350705,-11.557601090407834,38.53703284244809,1.5687277045485515,1.2730468927632421,0.05076698471526109,5.076698471526109,0.0497686372572739,-0.014583723773385281,-1.4583723773385282
308,10.276933333333334,1244.9384057971015,1009.2789855072464,14072.0,1259.8367346938776,960.4489795918367,-1.2746617157874929,detected,1244.4803970296648,1009.3440994879537,18.945284539802742,7.97066292345653,20.553716786349213,37.984126008010655,13.355798859023823,40.26377021287417,45.942221798678645,39.73933249319726,272.50359106660267,-26.357294795136617,-11.683827830897332,38.53127767117362,1.5703222675453186,1.2736203148112981,0.05080601919605574,5.0806019196055745,0.05014426813021736,-0.014743000417536067,-1.4743000417536067
309,10.3103,1242.224032586558,1009.315682281059,13834.0,1242.809523809524,959.3333333333334,-1.5590829028013895,detected,1245.7515131969947,1009.7809394920615,19.836326518385704,4.095311802828746,20.254664364200174,38.20665325253566,12.828417171413562,40.30281181112941,46.63298490314632,40.60888756491394,271.73275530437184,-19.846646996922534,-11.6672708275003,38.5770842770818,1.571926199617659,1.2741715324820966,0.05085528304243459,5.085528304243459,0.05124149850462328,-0.014722108299684922,-1.4722108299684922
