agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
11,0.88193992378858,11,0.733888370731207,12,2,phi_{12},11-12,1,0.0403310859090044,0.010599063102092,0.00329065237805903,0,0.986110284519849,0.989400936897908,0.88193992378858,0.733888370731207,12,11,1,phi_{11},1,12,11,0.998748673802397,0.104479586629922
11,0.91571916763589,11,0.721781364781786,12,2,phi_{12},11-12,2,0.0403310859090044,0.010599063102092,0.00329065237805903,0,0.986110284519849,0.989400936897908,0.91571916763589,0.721781364781786,12,11,1,phi_{11},1,12,11,0.999106702139476,0.10275597984261
11,0.938539324656535,11,0.713451224018561,12,2,phi_{12},11-12,3,0.0403310859090044,0.010599063102092,0.00329065237805903,0,0.986110284519849,0.989400936897908,0.938539324656535,0.713451224018561,12,11,1,phi_{11},1,12,11,0.999348574423737,0.101570064248058
11,0.955548971393861,11,0.707256700723067,12,2,phi_{12},11-12,4,0.0403310859090044,0.010599063102092,0.00329065237805903,0,0.986110284519849,0.989400936897908,0.955548971393861,0.707256700723067,12,11,1,phi_{11},1,12,11,0.999528860742851,0.100688184579304
11,0.96890199573969,11,0.702256634028573,12,2,phi_{12},11-12,5,0.0403310859090044,0.010599063102092,0.00329065237805903,0,0.986110284519849,0.989400936897908,0.96890199573969,0.702256634028573,12,11,1,phi_{11},1,12,11,0.999670390290496,0.0999763530226294
12,0.943784084348333,12,0.433590437626057,11,1,phi_{11},11-12,1,0.0193573540273814,0.0131225339777767,0.000746093904564346,0,0.986131372117659,0.986877466022223,0.943784084348333,0.433590437626057,11,12,2,phi_{12},2,11,12,0.999262304736769,0.0532434434544046
12,0.974893282969447,12,0.400675928499523,11,1,phi_{11},11-12,2,0.0193573540273814,0.0131225339777767,0.000746093904564346,0,0.986131372117659,0.986877466022223,0.974893282969447,0.400675928499523,11,12,2,phi_{12},2,11,12,0.999670536252696,0.0492016527380246
12,0.984714404735402,12,0.389897050822535,11,1,phi_{11},11-12,3,0.0193573540273814,0.0131225339777767,0.000746093904564346,0,0.986131372117659,0.986877466022223,0.984714404735402,0.389897050822535,11,12,2,phi_{12},2,11,12,0.99979941425677,0.0478780429111133
12,0.989838871183829,12,0.384121431724284,11,1,phi_{11},11-12,4,0.0193573540273814,0.0131225339777767,0.000746093904564346,0,0.986131372117659,0.986877466022223,0.989838871183829,0.384121431724284,11,12,2,phi_{12},2,11,12,0.999866660241857,0.0471688163641544
12,0.993084619787385,12,0.38042112853955,11,1,phi_{11},11-12,5,0.0193573540273814,0.0131225339777767,0.000746093904564346,0,0.986131372117659,0.986877466022223,0.993084619787385,0.38042112853955,11,12,2,phi_{12},2,11,12,0.999909252688191,0.0467144316123614
