agent_id,max_phase_deg,max_phase_rad,min_phase_deg,min_phase_rad
8,0,0,0,0
9,1.26232099669529e-07,2.20316576093893e-09,179.999999513986,3.14159264510725
11,-179.999999730335,-3.14159264888324,179.999999804854,3.14159265018385
12,-179.999999740484,-3.14159264906038,-5.12559236358759e-08,-8.94584628596817e-10
