frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s,x_m,y_m,speed_sg_m_s,speed_sg_cm_s,speed_butter_m_s,v_surge_m_s,v_surge_cm_s
300,5.005,614.8630454140695,1865.9878895814782,35718.0,1170.39837398374,1102.1761517615178,-0.941969314456957,detected,595.7446871517384,1893.1498454017576,108.38327028869247,231.1933032945651,95.0,-29.30945580429682,475.3535726811523,95.0,94.87391174855618,95.0,310.05409172224245,-32.338949943382914,-382.7142795129121,283.4604796390356,0.7517283118633924,2.3888326124943315,0.11987381703470032,11.987381703470032,0.11987381703470032,-0.48292022651471567,-48.29202265147157
301,5.021683333333334,,,,,,,lost,595.5948460415254,1900.4975239304285,108.38327028869367,231.19330329456483,95.0,11.346485549003534,405.487010176508,95.0,94.87876129668864,95.0,309.49857017835234,-34.25703933415357,-305.6731478090665,266.66905494393956,0.7515392379072877,2.398104131142497,0.11987381703470032,11.987381703470032,0.11987381703470032,-0.3857074420303679,-38.57074420303679
302,5.038366666666667,,,,,,,lost,596.1232815528901,1906.6795953079804,108.38327028869486,231.19330329456454,95.0,52.00242690230389,335.62044767186376,95.0,94.8832516190335,95.0,308.91104850979286,-36.17512872492422,-228.49026168064955,251.27184007823084,0.7522060335052242,2.405904852123635,0.11987381703470032,11.987381703470032,0.11987381703470032,-0.28831578760965243,-28.831578760965243
303,5.0550500000000005,,,,,,,lost,597.3299936858324,1911.696059534413,108.38327028869607,231.19330329456426,95.0,92.65836825560424,265.75388516721944,95.0,94.88742120406802,95.0,308.291526716564,-38.093218115694874,-151.1647660050694,237.4024309224643,0.7537286986572018,2.4122347754377453,0.11987381703470032,11.987381703470032,0.11987381703470032,-0.19074418423352607,-19.074418423352608
304,5.071733333333333,,,,,,,lost,599.2149824403522,1915.5469166097266,108.38327028869728,231.193303294564,95.0,133.3143096089046,195.88732266257517,95.0,94.89130323151394,95.0,307.6400047986658,-40.01130750646553,-73.70119923708648,225.19476361013815,0.7561072333632205,2.417093901084829,0.11987381703470032,11.987381703470032,0.11987381703470032,-0.09299835865878421,-9.299835865878421
305,5.088416666666666,,,,,,,lost,601.7782478164495,1918.232166533921,108.38327028866934,231.19330329447212,95.0,173.97025096220494,126.0207601579309,95.0,94.89492645713015,95.0,306.9564827560983,-41.92939689723618,3.8901258556415286,214.78302337815853,0.7593416376232802,2.4204822290648846,0.11987381703470032,11.987381703470032,0.11987381703470032,0.004908676158538207,0.49086761585382066
306,5.1051,,,,,,,lost,605.0197898141244,1919.7518093069962,108.38327028866934,231.19330329446984,95.0,214.6261923155053,56.154197653286616,95.0,94.89831592625498,95.0,306.2409605888614,-43.847486288006834,81.59274194508268,206.30152884508584,0.763431911437381,2.4223997593779134,0.11987381703470032,11.987381703470032,0.11987381703470032,0.10295614125562484,10.295614125562484
307,5.121783333333333,,,,,,,lost,608.9396084333769,1920.1058449289524,108.38327028866865,231.1933032944744,95.0,255.2821336688056,-13.712364851357663,95.0,94.90149355355952,95.0,305.4934382969551,-45.765575678777495,159.38364817835554,199.8845902356479,0.7683780548055229,2.4228464920239148,0.11987381703470032,11.987381703470032,0.11987381703470032,0.2011150134742657,20.111501347426568
308,5.138466666666667,,,,,,,lost,613.5377036742069,1919.2942733997893,108.38327028866911,220.6845167810843,95.0,295.938075022106,-83.57892735600194,95.0,94.90447859739105,95.0,304.71391588037955,-47.68366506954815,237.2329334276193,195.66634008713976,0.774180067727706,2.4218224270028887,0.11987381703470032,11.987381703470032,0.11987381703470032,0.2993475500663966,29.93475500663966
309,5.15515,,,,,,,lost,618.8140755366145,1917.3170947195072,108.38327028866843,201.76870105698208,95.0,336.5940163754064,-153.4454898606462,95.0,94.90728805040897,95.0,303.9023933391345,-49.6017544603188,315.10340282923056,193.78053499704416,0.78083795020393,2.4193275643148358,0.11987381703470032,11.987381703470032,0.11987381703470032,0.3976068174501332,39.76068174501332
310,5.171833333333334,,,,,,,lost,624.7687240205996,1914.1743088881058,108.3832702886682,176.54761342485153,95.0,377.2499577287067,-223.3120523652905,95.0,94.90993696325442,95.0,303.0588706732202,-51.519843851089455,392.9502088374933,194.3603270023994,0.7883517022341952,2.415361903959755,0.11987381703470032,11.987381703470032,0.11987381703470032,0.4958362256624521,49.58362256624521
311,5.188516666666667,,,,,,,lost,631.4016491261623,1909.8659159055853,108.38327028866865,147.1230111873615,95.0,417.90589908200707,-293.1786148699348,95.0,94.91243871427513,95.0,302.1833478826365,-53.43793324186011,470.7204881753433,197.53800322105283,0.7967213238185014,2.409925445937647,0.11987381703470032,11.987381703470032,0.11987381703470032,0.5939690702527991,59.39690702527991
312,5.2052000000000005,,,,,,,lost,638.7128508533026,1904.3919157719456,108.38327028866797,115.59665164719308,95.0,458.56184043530743,-363.04517737457905,95.0,94.91480523551094,95.0,301.27582496738347,-55.35602263263076,548.3530062275734,203.44469243393596,0.8059468149568487,2.403018190248512,0.11987381703470032,11.987381703470032,0.11987381703470032,0.6919280835679159,69.19280835679159
313,5.221883333333333,,,,,,,lost,646.7023292020203,1897.7523084871868,105.15090671698886,84.07029210702831,95.0,499.2177817886078,-432.9117398792233,95.0,94.9170472029975,95.0,300.3363019274611,-57.274112023401415,625.7778105912868,212.21003734689344,0.8160281756492371,2.3946401368923493,0.11987381703470032,11.987381703470032,0.11987381703470032,0.7896249975915292,78.96249975915292
314,5.238566666666666,,,,,,,lost,655.3700841723157,1889.9470940513088,101.61216435746064,54.64568986953964,95.0,539.873723141908,-502.7783023838676,95.0,94.91917419779243,95.0,299.3647787628693,-59.19220141417207,702.9158956726665,223.96183134141944,0.8269654058956666,2.3847912858691593,0.11987381703470032,11.987381703470032,0.11987381703470032,0.8869601207226075,88.69601207226076
315,5.25525,,,,,,,lost,664.7161157641888,1880.9762724643117,96.72541976733282,29.42460223740636,95.0,580.5296644952084,-572.644864888512,95.0,94.92119484284761,95.0,298.3612554736082,-61.11029080494272,779.678880398269,238.82561860697206,0.8387585056961373,2.3734716371789424,0.11987381703470032,11.987381703470032,0.11987381703470032,0.9838219311019168,98.38219311019168
316,5.271933333333333,,,,,,,lost,674.7404239776392,1870.8398437261956,91.24463061533925,10.508786513306404,91.8477937139045,621.1856058485089,-642.5114273931562,91.8477937139045,94.92311691985134,91.8477937139045,297.3257320596777,-63.028380195713375,855.9687012922201,256.92425664440486,0.851407475050649,2.360681190821698,0.11589626967054195,11.589626967054196,0.11589626967054195,1.0800866893277226,108.00866893277225
317,5.288616666666667,645.6023472557819,1931.5581636175355,20631.5,1181.3523489932886,1103.241610738255,-0.9966783362175287,detected,685.4430088126674,1859.5378078369602,99.35748821160882,-8.36735125631094e-11,95.0,661.8415472018092,-712.3779898978004,95.0,94.92494746937868,95.0,296.2582085210779,-64.94646958648403,931.6773233571014,278.3774402415947,0.8649123139592018,2.3464199467974263,0.11987381703470032,11.987381703470032,0.11987381703470032,1.175618073636721,117.5618073636721
318,5.3053,646.2241563055062,1931.9108348134992,16554.0,,,,detected,696.8238702692729,1847.0701647966055,189.31459769448975,-42.268639430752955,95.0,702.4974885551096,-782.2445524024447,95.0,94.92669287706755,95.0,295.1586848578087,-66.86455897725467,1006.6864713850931,303.30118614962146,0.8792730224217955,2.330687905106127,0.11987381703470032,11.987381703470032,0.11987381703470032,1.2702668408644708,127.02668408644709
