time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788722915.7760468,2658470,680568320,680.56832,244,1,127,48,12,20260906_212943
1788722915.7857747,2658508,680578048,680.578048,248,1,127,49,12,20260906_212943
1788722915.7957587,2658547,680588032,680.588032,251,1,127,49,12,20260906_212943
1788722915.8059988,2658587,680598272,680.598272,254,1,127,49,12,20260906_212943
1788722915.8159828,2658626,680608256,680.608256,2,1,127,49,12,20260906_212943
1788722915.8259668,2658665,680618240,680.61824,9,1,127,49,12,20260906_212943
1788722915.8359506,2658704,680628224,680.628224,12,1,127,49,12,20260906_212943
1788722915.8459346,2658743,680638208,680.638208,15,1,127,49,12,20260906_212943
1788722915.8559186,2658782,680648192,680.648192,18,1,127,49,12,20260906_212943
1788722915.865903,2658821,680658176,680.658176,21,7,127,49,12,20260906_212943
1788722915.875887,2658860,680668160,680.66816,25,1,127,49,12,20260906_212943
1788722915.8858707,2658899,680678144,680.678144,28,80,127,49,12,20260906_212943
1788722915.8958547,2658938,680688128,680.688128,31,1,127,49,12,20260906_212943
1788722915.9058387,2658977,680698112,680.698112,34,8,127,49,12,20260906_212943
1788722915.9158227,2659016,680708096,680.708096,37,25,127,49,12,20260906_212943
1788722915.9258068,2659055,680718080,680.71808,41,0,127,49,12,20260906_212943
1788722915.9360466,2659095,680728320,680.72832,44,33,127,50,12,20260906_212943
1788722915.9460306,2659134,680738304,680.738304,47,9,127,52,12,20260906_212943
1788722915.9560146,2659173,680748288,680.748288,50,45,127,55,12,20260906_212943
1788722915.9659986,2659212,680758272,680.758272,53,40,126,57,12,20260906_212943
1788722915.975983,2659251,680768256,680.768256,57,48,126,60,12,20260906_212943
1788722915.9859667,2659290,680778240,680.77824,60,110,126,62,12,20260906_212943
1788722915.9959507,2659329,680788224,680.788224,63,32,126,63,12,20260906_212943
1788722916.0059347,2659368,680798208,680.798208,66,127,126,62,12,20260906_212943
1788722916.0159187,2659407,680808192,680.808192,69,48,126,60,12,20260906_212943
1788722916.0259027,2659446,680818176,680.818176,72,122,126,58,12,20260906_212943
1788722916.0358868,2659485,680828160,680.82816,76,65,126,60,12,20260906_212943
1788722916.0458708,2659524,680838144,680.838144,79,63,126,62,12,20260906_212943
1788722916.0558548,2659563,680848128,680.848128,82,35,126,64,12,20260906_212943
1788722916.0660946,2659603,680858368,680.858368,85,49,126,66,12,20260906_212943
1788722916.076079,2659642,680868352,680.868352,88,47,126,67,12,20260906_212943
1788722916.086063,2659681,680878336,680.878336,92,94,126,67,12,20260906_212943
1788722916.0960467,2659720,680888320,680.88832,95,24,126,68,12,20260906_212943
1788722916.1060307,2659759,680898304,680.898304,98,91,126,69,12,20260906_212943
