frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s
300,5.005,981.0180424097321,1098.4268719279794,22345.5,1014.4867924528302,1046.8754716981132,-0.994962126788202,detected,987.8955104068467,1099.8411571776257,309.90271667938407,-20.030972865991476,310.5494061807568,205.642944157055,-55.075105395021,212.89031851132714,167.8552224866391,317.61114013607715,301.92361543814155,70.08910266679888,155.4867695157334,145.41716618548
301,5.021683333333334,986.1882527329998,1098.092688530665,22487.5,1022.2927756653992,1046.809885931559,-0.9573721977112666,detected,991.2832001035518,1098.9352736351918,310.1236724519894,-46.680222332284735,313.61717965076525,200.47370280060443,-53.5223222693765,207.49540837255188,163.35800919970677,303.2482824128476,303.0803153272258,68.57621870193995,154.26806805067943,138.7649367657515
302,5.038366666666667,991.3658356138801,1096.8693085094922,23203.5,1026.5454545454545,1045.801652892562,-0.9675707447047127,detected,994.5846496236269,1098.0552956912375,292.28156962308367,-50.287072097266666,296.5759692919324,195.30446144415384,-51.969539143732,202.1006325047076,158.35409372155155,288.6686782510496,304.2117752688296,67.06333473708102,152.7875787586705,132.28991433917375
303,5.0550500000000005,995.9407144394233,1096.414776558353,23235.0,1036.0878661087866,1045.7740585774059,-0.9004708900299458,detected,997.7998589670718,1097.2012233457626,256.6347388725997,-6.585983525690755,256.71923257755367,190.13522008770323,-50.416756018087504,196.70600195516838,153.325609884464,273.93708943397,305.31799526295305,65.55045077222209,151.0576759891491,125.99535598562338
304,5.071733333333333,999.9288814009292,1096.6495561925183,22851.5,1041.6762295081967,1044.872950819672,-0.892227216774958,detected,1000.9288281338866,1096.3730565987673,236.81658843072242,-8.323551124948363,236.96281999355045,184.96597873125262,-48.863972892443,191.31152901705534,149.02167613952977,259.1206731910316,306.3989753095961,64.03756680736315,149.09046984843053,119.88383099992184
305,5.088416666666666,1003.8424946067285,1096.1370474024839,22868.0,1048.7222222222222,1044.0648148148148,-0.8594487907318719,detected,1003.9715571240713,1095.5707954502516,233.685158393948,-27.616384042631122,235.31132127714267,179.79673737480203,-47.311189766798506,185.91722740987063,145.00975259265815,244.2885240262232,307.4547154087587,62.52468284250422,146.89778725206446,113.95725316196754
306,5.1051,1007.7261761860073,1095.7280895116292,22909.5,1033.151815181518,1042.1419141914191,-1.1277712748756035,detected,1006.9280459376258,1094.7944399002151,225.36017848435563,-25.730331017684446,226.82429318920018,174.62749601835145,-45.75840664115401,180.523112492491,140.9664561065612,229.5112015825167,308.485215560441,61.01179887764529,144.49115533985548,108.21691259932675
307,5.121783333333333,1011.3620125621565,1095.2785120241938,22926.0,1053.6764705882354,1043.2401960784314,-0.8880941346115288,detected,1009.7982945745503,1094.0439899486585,210.47602365909938,-23.8650967783035,211.82469020296844,169.45825466190087,-44.20562351550951,175.1292015154886,137.1500381476633,214.86024419106212,309.49047576464284,59.49891491278636,141.8817871461878,102.66350714668026
308,5.138466666666667,1014.7490595087659,1094.9317907824598,22949.0,1051.003816793893,1042.6526717557251,-0.9644565977633357,detected,1012.5823030348446,1093.319445595581,192.7714878469656,-35.79656153230265,196.0669282267378,164.28901330545028,-42.65284038986501,169.73551392151768,134.46115879773504,200.40766579123473,310.4704960213643,57.98603094792744,139.0805694183612,97.29717311652037
309,5.15515,1017.7941545399835,1094.0841000877326,22986.5,1053.798353909465,1042.053497942387,-0.9654723945357142,detected,1015.2800713185088,1092.6208068409833,177.15576516124216,-50.25113012280243,184.14489188811078,159.1197719489997,-41.10005726422052,164.34207170479468,131.6298878502227,186.22543172618904,311.42527633060536,56.473146983068496,136.09805247622973,92.11751540505908
310,5.171833333333334,1020.6601568729793,1093.255078074029,22991.0,1065.048309178744,1042.1014492753623,-0.8560918669990042,detected,1017.8915994255428,1091.9480736848648,168.7078153928043,-51.57191272021461,176.4142544020578,153.95053059254911,-39.54727413857601,158.94889984368902,129.1107421664162,172.38490668864026,312.354816692366,54.96026301820958,132.94444200749612,87.12363686643587
311,5.188516666666667,1023.4233719802568,1092.3633172666348,23029.0,1076.5263157894738,1041.7751196172248,-0.7611506407721289,detected,1020.4168873559469,1091.301246127226,151.43395448240787,-50.261599676666606,159.55710881135153,148.7812892360985,-37.99449101293151,153.55602682437225,126.70824382272745,158.95626585028856,313.2591171066463,53.44737905335064,129.6295926944952,82.31416689699662
312,5.2052000000000005,1025.713003154209,1091.5780160314841,23038.0,1079.892857142857,1041.188775510204,-0.7491641839458605,detected,1022.8559351097207,1090.6803241680668,146.87654215485912,-49.024444225520966,154.84222540053256,143.61204787964795,-36.441707887287016,148.16348527869022,123.799052525745,146.0078581748431,314.13817757344617,51.93449508849171,126.16300357016199,77.68728917965886
313,5.221883333333333,1028.3241526034906,1090.7275349776432,23110.0,1082.3147208121827,1040.502538071066,-0.7492813524874173,detected,1025.2087426868643,1090.085307807387,143.72096492724023,-47.43251180193206,151.34582562944192,138.44280652319733,-34.88892476164252,142.77131276640625,121.60033137100038,133.60550979555543,314.99199809276564,50.42161112363278,122.55381500307642,73.24076854617735
314,5.238566666666666,1030.508492683948,1089.9953512210263,23088.5,1085.6432432432432,1039.7567567567567,-0.7389667145267488,detected,1027.475310087378,1089.5161970451866,133.0129631448447,-46.39464087626952,140.87196692958406,133.27356516674675,-33.336141635998025,137.37955274141206,119.34784163704487,121.81175658435075,315.8205786646047,48.90872715877385,118.81080721396413,68.97197692249125
315,5.25525,1032.7623518070902,1089.179500460405,23168.0,1089.8177083333333,1039.3541666666667,-0.7178553282258744,detected,1029.6556373112614,1088.9729918814658,126.50300579561335,-47.446672804158005,135.1080946335556,128.10432381029617,-31.78335851035352,131.98825575440748,116.98747165896002,110.68500125319733,316.6239192889634,47.39584319391492,114.94240022877531,64.87791832926598
316,5.271933333333333,1034.7294763106615,1088.4122139051276,23178.5,1092.9020618556701,1038.5463917525774,-0.7086620049836397,detected,1031.7497243585149,1088.4556923162245,120.85351908591281,-47.693165530326,129.92386660560933,122.93508245384557,-30.230575384709024,126.59748096239666,114.89795166870209,100.27860583397933,317.40201996584165,45.88295922905599,110.95665517642112,60.955252916259525
317,5.288616666666667,1036.7948308939235,1087.5881385038765,23195.5,1097.928205128205,1037.9948717948719,-0.6815514809791031,detected,1033.7575712291382,1087.9642983494625,110.3133706600171,-46.2176849620985,119.60398885334095,117.76584109739498,-28.67779225906453,121.20729804030344,112.81269170016296,90.6399616820229,318.15488069523957,44.370075264197055,106.86127684238474,57.2003200152425
318,5.3053,1038.4102657783508,1086.8700838168922,23265.0,1096.820809248555,1036.1445086705203,-0.715097843049516,detected,1035.6791779231314,1087.4988099811803,93.59143822945855,-44.64373337173623,103.69387753973342,112.5965997409444,-27.125009133420026,115.81778962538769,111.71879802467478,81.80963453280707,318.882501477157,42.857191299338126,102.66361739271161,53.609160201904686
319,5.321983333333334,1039.9176652161798,1086.0985259337062,23325.5,1101.3523316062176,1036.5284974093265,-0.6789183096867765,detected,1037.5145444404943,1087.0592272113774,90.87360422902726,-38.57436638671626,98.72179945539135,107.4273583844938,-25.572226007775527,110.4290544759993,110.16024194071468,73.82076869235665,319.58488231159413,41.3443073344792,98.37068118628507,50.177536362494735
320,5.338666666666667,1041.4424150394593,1085.5829857917888,23378.5,1103.3879781420765,1036.0054644808743,-0.6749483167962708,detected,1039.2636707812273,1086.645550040054,81.90813367350215,-30.211603885422132,87.30225295607183,102.2581170280432,-24.01944288213103,105.0412116004425,108.31610090454285,66.6990491625349,320.2620231985508,39.83142336962027,93.9891305967855,46.90095376588127
321,5.3553500000000005,1042.6506666097523,1085.090465417396,23427.0,1102.4922279792745,1035.3626943005181,-0.6933540472843465,detected,1040.92655694533,1086.2577784672103,73.88204437429212,-29.31976954034024,79.48713963166327,97.08887567159262,-22.466659756486532,99.65440572191328,107.61901762183425,60.46363190016494,320.91392413802714,38.31853940476133,89.52529276928337,43.774679146303264
322,5.372033333333333,1043.9076125867482,1084.6046828147928,23511.5,1101.942857142857,1035.0228571428572,-0.7070082165730139,detected,1042.5032029328027,1085.895912492846,70.39368242938455,-27.795522755698126,75.68263744896564,91.91963431514202,-20.91387663084203,94.26881461204185,107.55030996575441,55.129473043880886,321.54058513002303,36.8056554399024,84.98516724000513,40.79375880631585
