mode_l,component_d,reconstruction_fraction,raw_relative_error,offdiag_relative_error,receiver_l1,receiver_l2,receiver_nnz,sender_l1,sender_l2,sender_nnz
1,0.0696792258753162,0.534843475472009,0.682023844545036,0.675023781497723,1.50000000000001,1,4,1.5,1,3
2,0.056785318636126,0.890059215947175,0.331573195618742,0.301351276022529,1.5,1,4,1.5,1,3
3,0.0219658579387873,0.943210824109398,0.238304796197227,0.206502637032046,1.49999999999999,1,4,1.5,1,4
4,0.0178912609639676,0.97847242040175,0.146722798495155,0.110122634803101,1.50000000000001,1,3,1.5,1,3
