phi,a_phi
0,-0.0458555271236061
0.0122958616578857,-0.046376520046975
0.0245917233157714,-0.0462317082824023
0.0368875849736571,-0.0454074236535342
0.0491834466315427,-0.0438992794926204
0.0614793082894284,-0.041712104982435
0.0737751699473141,-0.0388597208610662
0.0860710316051998,-0.0353645610644899
0.0983668932630855,-0.0312571473689834
0.110662754920971,-0.026575426453005
0.122958616578857,-0.0213639809895483
0.135254478236743,-0.0156731283713727
0.147550339894628,-0.00955792243249052
0.159846201552514,-0.00307707503325893
0.1721420632104,0.00370818439902867
0.184437924868285,0.0107352923548677
0.196733786526171,0.0179415581164384
0.209029648184057,0.0252653740859702
0.221325509841942,0.0326474096567274
0.233621371499828,0.0400317690569577
0.245917233157714,0.0473670942515348
0.258213094815599,0.0546075949406017
0.270508956473485,0.0617139889325601
0.282804818131371,0.0686543376691602
0.295100679789256,0.075404763418036
0.307396541447142,0.0819500365940221
0.319692403105028,0.0882840237930086
0.331988264762914,0.0944099893863127
0.344284126420799,0.100340745892871
0.356579988078685,0.106098650782754
0.368875849736571,0.111715449829454
0.381171711394456,0.117231969580697
0.393467573052342,0.122697663919121
0.405763434710228,0.128170021996928
0.418059296368113,0.133713847015995
0.430355158025999,0.13940041735253
0.442651019683885,0.145306543361335
0.45494688134177,0.151513534810501
0.467242742999656,0.158106095267917
0.479538604657542,0.165171160865177
0.491834466315427,0.172796701685599
0.504130327973313,0.18107050454897
0.516426189631199,0.190078956188667
0.528722051289085,0.199905845734468
0.54101791294697,0.210631205028791
0.553313774604856,0.222330204622293
0.565609636262742,0.235072122328502
0.577905497920627,0.248919399982592
0.590201359578513,0.263926802567023
0.602497221236399,0.280140692160933
0.614793082894284,0.297598427268627
0.62708894455217,0.316327896016351
0.639384806210056,0.33634718950909
0.651680667867941,0.357664419345971
0.663976529525827,0.380277680941071
0.676272391183713,0.404175161923691
0.688568252841599,0.429335392536847
0.700864114499484,0.455727632652576
0.71315997615737,0.483312387814586
0.725455837815256,0.512042044638284
0.737751699473141,0.541861613978687
0.750047561131027,0.572709568548833
0.762343422788913,0.604518760163016
0.774639284446798,0.637217400514482
0.786935146104684,0.670730088396663
0.79923100776257,0.704978865556653
0.811526869420455,0.739884282941206
0.823822731078341,0.775366458966036
0.836118592736227,0.81134611161106
0.848414454394112,0.847745546614778
0.860710316051998,0.884489584803241
0.873006177709884,0.921506412630871
0.88530203936777,0.958728341315715
0.897597901025655,0.996092461499787
0.909893762683541,1.03354118213171
0.922189624341426,1.07102264422601
0.934485485999312,1.10849100226993
0.946781347657198,1.14590656829163
0.959077209315084,1.1832358159363
0.971373070972969,1.2204512442835
0.983668932630855,1.25753110354041
0.995964794288741,1.29445898712447
1.00826065594663,1.3312232969659
1.02055651760451,1.36781659107982
1.0328523792624,1.40423482454222
1.04514824092028,1.44047649692068
1.05744410257817,1.47654172092847
1.06973996423605,1.51243122856039
1.08203582589394,1.54814533220694
1.09433168755183,1.58368285920822
1.10662754920971,1.61904007898415
1.1189234108676,1.65420964225118
1.13121927252548,1.68917955189944
1.14351513418337,1.72393218485658
1.15581099584125,1.75844338370576
1.16810685749914,1.79268163596481
1.18040271915703,1.82660735778021
1.19269858081491,1.86017229736199
1.2049944424728,1.89331907180286
1.21729030413068,1.92598084901199
1.22958616578857,1.95808118437905
1.24188202744645,1.98953401949851
1.25417788910434,2.02024384786202
1.26647375076223,2.05010604990484
1.27876961242011,2.07900739720745
1.291065474078,2.10682672304643
1.30336133573588,2.13343575389771
1.31565719739377,2.1587000939607
1.32795305905165,2.18248035233186
1.34024892070954,2.20463340014902
1.35254478236743,2.22501374288815
1.36484064402531,2.24347499105627
1.3771365056832,2.25987141081727
1.38943236734108,2.27405953463906
1.40172822899897,2.2858998108836
1.41402409065685,2.29525827039427
1.42631995231474,2.30200818758338
1.43861581397263,2.30603171329484
1.45091167563051,2.30722145681872
1.4632075372884,2.30548199486577
1.47550339894628,2.30073128606515
1.48779926060417,2.29290197061895
