pair_name,target_id,source_id,direction,total_energy,joint_r1_energy_ratio,joint_r1_cum_r2,joint_r2_energy_ratio,joint_r2_cum_r2,joint_r3_energy_ratio,joint_r3_cum_r2,indiv_r1_energy_ratio,indiv_r1_cum_r2,indiv_r2_energy_ratio,indiv_r2_cum_r2,indiv_r3_energy_ratio,indiv_r3_cum_r2,weight_r1
7-10,7,10,s1,3.39371740553265e-05,0.290946323342599,0.2909463233426,0.413450829521347,0.704397152863948,0.0879378726151708,0.792335025479119,0.46750870119656,0.46750870119656,0.339735910738048,0.807244611934608,0.0779181111184359,0.885162723053044,0.00101949045544127
7-10,10,7,s2,0.000112527684756514,0.237495344086533,0.237495344086533,0.459184591367174,0.696679935453709,0.144384943041937,0.841064878495646,0.546157533997425,0.546157533997425,0.250802107843047,0.796959641840472,0.112382711733989,0.909342353574461,0.0011867730433697
7-8,7,8,s1,0.000579080220679741,0.634837219142444,0.634837219142444,0.285535639008606,0.920372858151051,0.0289061231563011,0.949278981307352,0.934335314582043,0.934335314582043,0.0268200387965904,0.961155353378634,0.0175002246901799,0.978655578068814,0.0115794219198437
7-8,8,7,s2,0.000870164088036806,0.835821068269469,0.835821068269469,0.063238834131186,0.899059902400656,0.0378021130054996,0.936862015406155,0.870832160424507,0.870832160424507,0.0665760354913877,0.937408195915895,0.0331776015394486,0.970585797455343,0.0163637111981593
7-9,7,9,s1,0.000200281686873454,0.189898968152407,0.189898968152407,0.636560596626463,0.826459564778873,0.0704043299285334,0.896863894707406,0.81958167086265,0.81958167086265,0.0977911737587821,0.917372844621432,0.0372341898017377,0.95460703442317,-0.00281372876230552
7-9,9,7,s2,0.000192312609480523,0.662676793011046,0.662676793011046,0.18207192301809,0.844748716029137,0.0961656015376978,0.940914317566835,0.816378351353449,0.816378351353449,0.11799261428102,0.934370965634469,0.0461792484757614,0.98055021411023,-0.00683831899376276
8-10,8,10,s1,0.000114144491449978,0.482576528415247,0.482576528415247,0.0955730869044476,0.578149615319695,0.21339405455336,0.791543669873054,0.689793805881384,0.689793805881384,0.135500973501556,0.82529477938294,0.0758930052437282,0.901187784626668,-0.00404962229492728
8-10,10,8,s2,0.000228612204606616,0.182879482828634,0.182879482828634,0.566506797905641,0.749386280734277,0.0552862212481146,0.804672501982392,0.775296191204579,0.775296191204579,0.143978112641253,0.919274303845832,0.0410201861647116,0.960294490010544,-0.0034973580065888
8-9,8,9,s1,0.00130085158930081,0.914561869539539,0.91456186953954,0.0400460038461594,0.954607873385699,0.0162877686584785,0.970895642044178,0.954218743365742,0.954218743365742,0.0254794892307973,0.979698232596539,0.0114067033835749,0.991104935980114,-0.0211752035892849
8-9,9,8,s2,0.00161003510432305,0.938827423765367,0.938827423765367,0.0216909258071621,0.96051834957253,0.0154553500138856,0.975973699586415,0.9559377990954,0.9559377990954,0.0217084832539561,0.977646282349356,0.0135084351807048,0.991154717530061,-0.0240947027273411
9-10,9,10,s1,0.000836655445937319,0.847765839683265,0.847765839683265,0.0579243665803763,0.905690206263642,0.048507922614686,0.954198128878328,0.854277950881602,0.854277950881602,0.0896747994677802,0.943952750349382,0.0308377820497693,0.974790532399152,0.0155011411154457
9-10,10,9,s2,0.000605289807016446,0.718220231713495,0.718220231713495,0.196635967207349,0.914856198920845,0.0447477062771232,0.959603905197968,0.926077925642313,0.926077925642313,0.0439925168043336,0.970070442446647,0.0143386999132899,0.984409142359936,0.0127714268492642
