time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1783961971.632687,694806,177870336,177.870336,64,1,126,9,20260713_190049
1783961971.6419032,694842,177879552,177.879552,67,1,126,9,20260713_190049
1783961971.6518872,694881,177889536,177.889536,70,1,126,9,20260713_190049
1783961971.6618712,694920,177899520,177.89952,73,1,126,9,20260713_190049
1783961971.6718552,694959,177909504,177.909504,77,124,126,9,20260713_190049
1783961971.6818392,694998,177919488,177.919488,80,4,126,9,20260713_190049
1783961971.6918232,695037,177929472,177.929472,83,172,126,9,20260713_190049
1783961971.702063,695077,177939712,177.939712,86,125,124,9,20260713_190049
1783961971.712047,695116,177949696,177.949696,89,0,124,9,20260713_190049
1783961971.7220314,695155,177959680,177.95968,93,0,123,9,20260713_190049
1783961971.7320154,695194,177969664,177.969664,96,3,123,9,20260713_190049
1783961971.7419994,695233,177979648,177.979648,99,108,124,9,20260713_190049
1783961971.7519832,695272,177989632,177.989632,102,98,125,9,20260713_190049
1783961971.7619672,695311,177999616,177.999616,105,0,125,9,20260713_190049
1783961971.7719512,695350,178009600,178.0096,109,82,126,9,20260713_190049
1783961971.7819352,695389,178019584,178.019584,112,0,126,9,20260713_190049
1783961971.7921753,695429,178029824,178.029824,115,154,126,9,20260713_190049
1783961971.8021593,695468,178039808,178.039808,118,5,126,9,20260713_190049
1783961971.812143,695507,178049792,178.049792,121,0,126,9,20260713_190049
1783961971.822127,695546,178059776,178.059776,124,0,127,9,20260713_190049
1783961971.8321114,695585,178069760,178.06976,128,0,127,9,20260713_190049
1783961971.8420954,695624,178079744,178.079744,131,0,127,9,20260713_190049
1783961971.8520794,695663,178089728,178.089728,134,94,127,9,20260713_190049
1783961971.8620632,695702,178099712,178.099712,137,0,127,9,20260713_190049
1783961971.8720472,695741,178109696,178.109696,141,0,127,9,20260713_190049
1783961971.8820312,695780,178119680,178.11968,144,0,127,9,20260713_190049
1783961971.8922713,695820,178129920,178.12992,147,1,127,9,20260713_190049
1783961971.9022553,695859,178139904,178.139904,150,1,127,9,20260713_190049
1783961971.9122393,695898,178149888,178.149888,153,0,128,9,20260713_190049
