time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1782142782.3155017,8600777,2201798912,2201.798912,163,0,121,9,20260622_173948
1782142782.3254857,8600816,2201808896,2201.808896,166,1,121,9,20260622_173948
1782142782.3354695,8600855,2201818880,2201.81888,169,0,121,9,20260622_173948
1782142782.3454535,8600894,2201828864,2201.828864,173,176,121,9,20260622_173948
1782142782.3554378,8600933,2201838848,2201.838848,176,172,121,9,20260622_173948
1782142782.3654215,8600972,2201848832,2201.848832,179,112,115,9,20260622_173948
1782142782.3754056,8601011,2201858816,2201.858816,182,20,111,9,20260622_173948
1782142782.3853896,8601050,2201868800,2201.8688,185,25,107,9,20260622_173948
1782142782.3953736,8601089,2201878784,2201.878784,188,32,105,9,20260622_173948
1782142782.4053576,8601128,2201888768,2201.888768,192,0,105,9,20260622_173948
1782142782.4153416,8601167,2201898752,2201.898752,195,0,106,9,20260622_173948
1782142782.4255817,8601207,2201908992,2201.908992,201,0,109,9,20260622_173948
1782142782.4355657,8601246,2201918976,2201.918976,205,143,111,9,20260622_173948
1782142782.4455495,8601285,2201928960,2201.92896,208,219,115,9,20260622_173948
1782142782.4555335,8601324,2201938944,2201.938944,211,132,118,9,20260622_173948
1782142782.4655178,8601363,2201948928,2201.948928,214,62,123,9,20260622_173948
1782142782.4755015,8601402,2201958912,2201.958912,217,0,129,9,20260622_173948
1782142782.4854856,8601441,2201968896,2201.968896,220,67,136,9,20260622_173948
1782142782.4954696,8601480,2201978880,2201.97888,224,0,140,9,20260622_173948
1782142782.5054536,8601519,2201988864,2201.988864,227,119,143,9,20260622_173948
1782142782.5154376,8601558,2201998848,2201.998848,230,0,145,9,20260622_173948
1782142782.5254216,8601597,2202008832,2202.008832,233,60,146,9,20260622_173948
1782142782.5356617,8601637,2202019072,2202.019072,236,0,147,9,20260622_173948
1782142782.5456457,8601676,2202029056,2202.029056,240,0,147,9,20260622_173948
1782142782.5556295,8601715,2202039040,2202.03904,243,0,147,9,20260622_173948
1782142782.5656135,8601754,2202049024,2202.049024,246,2,146,9,20260622_173948
1782142782.5755975,8601793,2202059008,2202.059008,249,0,145,9,20260622_173948
1782142782.5855815,8601832,2202068992,2202.068992,252,43,144,9,20260622_173948
1782142782.5955656,8601871,2202078976,2202.078976,1,0,142,9,20260622_173948
1782142782.6055496,8601910,2202088960,2202.08896,4,0,137,9,20260622_173948
1782142782.6155336,8601949,2202098944,2202.098944,7,2,132,9,20260622_173948
1782142782.6255176,8601988,2202108928,2202.108928,10,0,126,9,20260622_173948
1782142782.6357577,8602028,2202119168,2202.119168,13,1,121,9,20260622_173948
1782142782.6457417,8602067,2202129152,2202.129152,17,0,116,9,20260622_173948
1782142782.6557257,8602106,2202139136,2202.139136,20,1,112,9,20260622_173948
1782142782.6657095,8602145,2202149120,2202.14912,23,92,108,9,20260622_173948
1782142782.6756938,8602184,2202159104,2202.159104,26,0,106,9,20260622_173948
1782142782.6856775,8602223,2202169088,2202.169088,29,132,106,9,20260622_173948
1782142782.6956615,8602262,2202179072,2202.179072,32,0,106,9,20260622_173948
1782142782.7056456,8602301,2202189056,2202.189056,36,167,106,9,20260622_173948
1782142782.7156296,8602340,2202199040,2202.19904,39,0,106,9,20260622_173948
1782142782.7256136,8602379,2202209024,2202.209024,42,203,106,9,20260622_173948
1782142782.7358537,8602419,2202219264,2202.219264,45,45,106,9,20260622_173948
1782142782.7458377,8602458,2202229248,2202.229248,48,154,106,9,20260622_173948
1782142782.7558217,8602497,2202239232,2202.239232,52,94,106,9,20260622_173948
1782142782.7658055,8602536,2202249216,2202.249216,55,101,106,9,20260622_173948
1782142782.7757895,8602575,2202259200,2202.2592,58,0,106,9,20260622_173948
1782142782.7857738,8602614,2202269184,2202.269184,61,118,106,9,20260622_173948
1782142782.7957575,8602653,2202279168,2202.279168,64,0,106,9,20260622_173948
1782142782.8057415,8602692,2202289152,2202.289152,68,119,106,9,20260622_173948
1782142782.8157256,8602731,2202299136,2202.299136,71,0,106,9,20260622_173948
1782142782.8257096,8602770,2202309120,2202.30912,74,127,106,9,20260622_173948
1782142782.8359497,8602810,2202319360,2202.31936,77,1,106,9,20260622_173948
1782142782.8459337,8602849,2202329344,2202.329344,80,145,106,9,20260622_173948
1782142782.8559177,8602888,2202339328,2202.339328,83,55,106,9,20260622_173948
1782142782.8659017,8602927,2202349312,2202.349312,87,14,106,9,20260622_173948
1782142782.8758855,8602966,2202359296,2202.359296,90,45,106,9,20260622_173948
1782142782.8858695,8603005,2202369280,2202.36928,93,72,107,9,20260622_173948
1782142782.8958538,8603044,2202379264,2202.379264,96,0,107,9,20260622_173948
1782142782.9058375,8603083,2202389248,2202.389248,99,153,106,9,20260622_173948
