frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s
300,5.005,1075.482407734937,1221.6209055535903,14135.0,1070.958904109589,1171.0753424657537,-1.6600521319004202,detected,1073.3729163269793,1221.337257155497,28.528250310227357,-6.954991509492218,29.363803783912196,59.5265389949251,-6.722983083042575,59.904985988223174,47.599111151612085,31.325021780635307,270.0324168429388,-77.33592203461828,6.756660968677817,59.522725733988025
301,5.021683333333334,1075.532910218926,1221.261843637833,14023.0,1073.5664335664335,1171.055944055944,-1.6099445537867685,detected,1074.3602579827598,1221.2287118148686,30.384743293487492,-7.255934200041824,31.239097396155184,58.83597870003808,-6.2894323514914445,59.171186813307386,47.47809252959563,33.153571226302645,268.7617799773071,-74.98802541731365,5.016557391365175,58.958150419042674
302,5.038366666666667,1076.1246812094469,1221.613287783353,14050.5,1073.1461038961038,1171.3668831168832,-1.6300064477116938,detected,1075.336078779433,1221.1273995528445,32.24123627674763,-7.55687689059143,33.11500724735874,58.14541840515107,-5.855881619940314,58.43955022976165,47.29650846182138,34.9531030842678,267.53031389274486,-72.64012880000904,3.344909403551922,58.34374527007043
303,5.0550500000000005,1076.7696961087238,1221.6848622604207,14078.5,1074.9041533546326,1171.5718849840257,-1.608005884002758,detected,1076.3003787169991,1221.033320369425,34.097729260007775,-7.857819581141037,34.99143422694409,57.45485811026405,-5.422330888389185,57.710158488205124,47.07963137067768,36.706579388309514,266.3380185892521,-70.29223218270441,1.7416105557724908,57.68387283639835
304,5.071733333333333,1077.2412613891847,1221.485492841084,14085.0,1075.0328467153286,1171.9452554744526,-1.6153450344158975,detected,1077.2531577954578,1220.94647426461,35.954222243267914,-8.158762271690641,36.86829937662251,56.764297815377034,-4.988780156838055,56.98309779159149,46.83636001529627,38.397848232003774,265.18489406682875,-67.94433556539978,0.2063463938620096,56.98272418103419
305,5.088416666666666,1078.0432918786507,1220.880382042585,14152.0,1071.8757763975154,1171.7670807453417,-1.695719693547198,detected,1078.1944160148093,1220.8668612383995,37.81071522647699,-8.459704962293017,38.74553902047026,56.07373752049003,-4.5552294252869245,56.258458516331665,46.554741822951314,40.01174730775489,264.07094032547496,-65.59643894809516,-1.261388731709907,56.244315740360165
306,5.1051,1078.7614908143871,1220.6190610262547,14207.0,1073.5625,1171.96875,-1.677256786276076,detected,1079.1241533750538,1220.7944812907933,40.9703271714402,-8.963318727808655,41.93934657515704,55.38317722560301,-4.121678693735794,55.53633544677707,46.2588276915231,41.534216529279,262.99615736519064,-63.24854233079053,-2.6622754771346244,55.472487271987326
307,5.121783333333333,1079.4168245060214,1220.6253595229743,14255.0,1069.8964401294495,1172.252427184466,-1.7651248464602445,detected,1080.0423698761908,1220.7293344217917,43.58997988463034,-10.726346688878039,44.890320333369004,54.692616930716,-3.688127962184665,54.81682802384219,45.95749790649616,42.95241561794326,261.9605451859758,-60.900645713485915,-3.997153967689096,54.670900804304274
308,5.138466666666667,1080.1656027255497,1220.3908326647363,14333.5,1073.184523809524,1172.2142857142858,-1.714700849708433,detected,1080.9490655182208,1220.6714206313943,45.70792729990717,-9.375423430115006,46.65954546014726,54.002056635828986,-3.2545772306335348,54.10004060857477,45.650368196808444,44.25484214797171,260.9641037878304,-58.55274909618129,-5.26700893480392,53.84304050413697
309,5.15515,1080.710942707785,1220.5445742553416,14251.5,1073.660766961652,1172.2477876106195,-1.715748599370725,detected,1081.8442403011436,1220.6207399196016,48.162187970198374,-6.608796996566525,48.613501702907065,53.311496340941964,-2.821026499082405,53.38608276150998,45.34065823853229,45.4314454990953,260.00683317075453,-56.20485247887665,-6.472955544858287,52.992213382091165
