mode_l,singular_value_sigma,energy_share_eta,cum_energy_share
1,0.112064355436428,0.722328634499269,0.722328634499269
2,0.0591654995224204,0.201343172547435,0.923671807046704
3,0.0288933467505321,0.048017056701706,0.97168886374841
4,0.0221859858535117,0.0283111362515898,1
