phi,a_phi
0,-0.0286196815426413
0.0122958616578857,-0.0292615763018675
0.0245917233157714,-0.0296101127093275
0.0368875849736571,-0.0296385613769571
0.0491834466315427,-0.029323982464168
0.0614793082894284,-0.0286475373960248
0.0737751699473141,-0.0275947360226876
0.0860710316051998,-0.0261556144734116
0.0983668932630855,-0.0243248399203811
0.110662754920971,-0.022101739500142
0.122958616578857,-0.0194902517292144
0.135254478236743,-0.0164987998804054
0.147550339894628,-0.0131400879413639
0.159846201552514,-0.00943082094042701
0.1721420632104,-0.00539135257981382
0.184437924868285,-0.00104526424567177
0.196733786526171,0.00358111944855308
0.209029648184057,0.00845927240098367
0.221325509841942,0.0135590589048729
0.233621371499828,0.0188493676760334
0.245917233157714,0.0242987792636955
0.258213094815599,0.0298762574408877
0.270508956473485,0.0355518546540596
0.282804818131371,0.0412974212315922
0.295100679789256,0.047087307814391
0.307396541447142,0.0528990503842388
0.319692403105028,0.0587140273302013
0.331988264762914,0.0645180782111139
0.344284126420799,0.0703020742418402
0.356579988078685,0.076062431049095
0.368875849736571,0.0818015549035419
0.381171711394456,0.0875282144307624
0.393467573052342,0.0932578307247244
0.405763434710228,0.0990126798217341
0.418059296368113,0.104822002626974
0.430355158025999,0.110722018604452
0.442651019683885,0.116755840827931
0.45494688134177,0.122973291327488
0.467242742999656,0.129430617035106
0.479538604657542,0.136190108013851
0.491834466315427,0.143319621029117
0.504130327973313,0.150892012867333
0.516426189631199,0.158984489107918
0.528722051289085,0.167677875289093
0.54101791294697,0.177055818559089
0.553313774604856,0.187203928954173
0.565609636262742,0.198208870377715
0.577905497920627,0.210157412155976
0.590201359578513,0.223135452703713
0.602497221236399,0.237227027335538
0.614793082894284,0.252513312598641
0.62708894455217,0.269071639672973
0.639384806210056,0.286974529382267
0.651680667867941,0.306288761182278
0.663976529525827,0.327074488142349
0.676272391183713,0.349384409416641
0.688568252841599,0.373263011018374
0.700864114499484,0.398745884872581
0.71315997615737,0.425859135141384
0.725455837815256,0.45461887970343
0.737751699473141,0.485030853441111
0.750047561131027,0.517090118662312
0.762343422788913,0.550780886575957
0.774639284446798,0.586076452272439
0.786935146104684,0.622939244151487
0.79923100776257,0.661320987212904
0.811526869420455,0.701162978101315
0.823822731078341,0.742396468296826
0.836118592736227,0.78494315039075
0.848414454394112,0.828715741000515
0.860710316051998,0.873618652580842
0.873006177709884,0.919548745198218
0.88530203936777,0.966396148270438
0.897597901025655,1.01404514134836
0.909893762683541,1.06237508224699
0.922189624341426,1.11126137022946
0.934485485999312,1.16057643151992
0.946781347657198,1.21019071417614
0.959077209315084,1.25997367929531
0.971373070972969,1.30979477565692
0.983668932630855,1.35952438522509
0.995964794288741,1.40903472743456
1.00826065594663,1.45820071086308
1.02055651760451,1.50690072173915
1.0328523792624,1.55501733973597
1.04514824092028,1.60243797264592
1.05744410257817,1.64905540279851
1.06973996423605,1.6947682394603
1.08203582589394,1.73948127291801
1.09433168755183,1.78310572747383
1.10662754920971,1.82555941215365
1.1189234108676,1.86676676951975
1.13121927252548,1.90665882456719
1.14351513418337,1.9451730372428
1.15581099584125,1.98225306363485
1.16810685749914,2.01784843231618
1.18040271915703,2.05191414366275
1.19269858081491,2.08441020119232
1.2049944424728,2.11530108505473
1.21729030413068,2.14455517873929
1.22958616578857,2.1721441608315
1.24188202744645,2.1980423742364
1.25417788910434,2.22222618568137
1.26647375076223,2.24467334850807
1.27876961242011,2.26536238175784
1.291065474078,2.28427197834565
1.30336133573588,2.30138045470576
1.31565719739377,2.31666525368295
1.32795305905165,2.33010251164275
1.34024892070954,2.34166669979439
1.35254478236743,2.35133034857289
1.36484064402531,2.35906386262866
1.3771365056832,2.36483543254141
1.38943236734108,2.36861104783092
1.40172822899897,2.3703546142014
1.41402409065685,2.37002817625384
1.42631995231474,2.36759224515449
1.43861581397263,2.36300622898554
1.45091167563051,2.35622896174993
1.4632075372884,2.34721932528396
1.47550339894628,2.3359369566739
1.48779926060417,2.3223430322019
1.50009512226205,2.30640111738612
1.51239098391994,2.28807807135337
1.52468684557783,2.26734499261045
1.53698270723571,2.24417819228225
1.5492785688936,2.21856018007724
1.56157443055148,2.19048064763803
1.57387029220937,2.15993743354852
1.58616615386725,2.12693745410708
1.59846201552514,2.09149758404319
1.61075787718303,2.05364547165482
1.62305373884091,2.01342027337394
1.6353496004988,1.97087329352368
1.64764546215668,1.92606851600484
1.65994132381457,1.87908301583017
1.67223718547245,1.83000723979872
1.68453304713034,1.77894514715186
1.69682890878822,1.72601420275817
1.70912477044611,1.67134521721398
1.721420632104,1.61508203019582
1.73371649376188,1.55738103543464
1.74601235541977,1.49841054777177
1.75830821707765,1.43835001487508
1.77060407873554,1.3773890783118
1.78289994039342,1.31572649076177
1.79519580205131,1.25356889818421
1.8074916637092,1.19112949769145
1.81978752536708,1.12862658370947
1.83208338702497,1.06628199668901
1.84437924868285,1.00431949014999
1.85667511034074,0.942963033171998
1.86897097199862,0.882435066565861
1.88126683365651,0.822954731858234
1.8935626953144,0.76473609287803
1.90585855697228,0.70798637014009
1.91815441863017,0.652904208369426
1.93045028028805,0.599677997394578
1.94274614194594,0.548484266260574
1.95504200360382,0.499486169773364
1.96733786526171,0.452832085795027
1.9796337269196,0.408654340472362
1.99192958857748,0.367068077214111
2.00422545023537,0.328170283650433
2.01652131189325,0.292038989031965
2.02881717355114,0.25873264257707
2.04111303520902,0.228289681179314
2.05340889686691,0.200728292669814
2.0657047585248,0.176046378519075
2.07800062018268,0.154221717490599
2.09029648184057,0.135212329354327
2.10259234349845,0.118957035363672
2.11488820515634,0.105376209826653
2.12718406681422,0.0943727147909737
2.13947992847211,0.0858330076449312
2.15177579012999,0.0796284093403219
2.16407165178788,0.0756165189975355
2.17636751344577,0.0736427588826931
2.18866337510365,0.0735420321753296
2.20095923676154,0.0751404745936591
2.21325509841942,0.0782572798307168
2.22555096007731,0.0827065778934491
2.2378468217352,0.0882993448394646
2.25014268339308,0.0948453220805199
2.26243854505097,0.10215492337213
2.27473440670885,0.110041107835463
2.28703026836674,0.118321197857743
2.29932613002462,0.126818621483921
2.31162199168251,0.135364559934953
2.3239178533404,0.143799482152882
2.33621371499828,0.151974549762943
2.34850957665617,0.159752877538165
2.36080543831405,0.167010636329527
2.37310129997194,0.173637987459636
2.38539716162982,0.179539839742773
2.39769302328771,0.184636422560206
2.40998888494559,0.188863670756624
2.42228474660348,0.192173419500383
2.43458060826137,0.194533409635506
2.44687646991925,0.195927106415417
2.45917233157714,0.196353336816239
2.47146819323502,0.195825752850824
2.48376405489291,0.194372130414518
2.49605991655079,0.192033515162634
2.50835577820868,0.188863228722441
2.52065163986657,0.184925750156108
2.53294750152445,0.180295488995249
