phi,a_phi
0,-0.0187679406738595
0.0122958616578857,-0.0195011760888644
0.0245917233157714,-0.0198673778120173
0.0368875849736571,-0.0198478274705561
0.0491834466315427,-0.0194285409178617
0.0614793082894284,-0.0186003508708889
0.0737751699473141,-0.0173589154128533
0.0860710316051998,-0.0157046533699457
0.0983668932630855,-0.0136426086229834
0.110662754920971,-0.0111822464194169
0.122958616578857,-0.0083371856935387
0.135254478236743,-0.00512487226982626
0.147550339894628,-0.0015661986040323
0.159846201552514,0.00231492360150073
0.1721420632104,0.00649203099673359
0.184437924868285,0.0109366090241735
0.196733786526171,0.0156186174854402
0.209029648184057,0.0205070332993797
0.221325509841942,0.0255704024210438
0.233621371499828,0.0307773929182174
0.245917233157714,0.0360973413503437
0.258213094815599,0.0415007848593173
0.270508956473485,0.046959971756559
0.282804818131371,0.0524493438682764
0.295100679789256,0.0579459844715199
0.307396541447142,0.0634300263068823
0.319692403105028,0.0688850148776106
0.331988264762914,0.0742982230266301
0.344284126420799,0.0796609136089324
0.356579988078685,0.0849685479327749
0.368875849736571,0.0902209385147327
0.381171711394456,0.0954223455662768
0.393467573052342,0.10058151748888
0.405763434710228,0.105711676486672
0.418059296368113,0.110830451197052
0.430355158025999,0.115959758977876
0.442651019683885,0.121125641163432
0.45494688134177,0.126358055200075
0.467242742999656,0.131690628087323
0.479538604657542,0.137160375973946
0.491834466315427,0.142807395085486
0.504130327973313,0.148674529385666
0.516426189631199,0.154807020496991
0.528722051289085,0.161252145425265
0.54101791294697,0.168058847549844
0.553313774604856,0.175277366159682
0.565609636262742,0.182958869539191
0.577905497920627,0.191155096244307
0.590201359578513,0.199918008765872
0.602497221236399,0.209299463263869
0.614793082894284,0.219350898482829
0.62708894455217,0.230123046337462
0.639384806210056,0.241665666000679
0.651680667867941,0.254027302646838
0.663976529525827,0.267255071314581
0.676272391183713,0.281394465669831
0.688568252841599,0.296489190783802
0.700864114499484,0.312581018406618
0.71315997615737,0.329709662626938
0.725455837815256,0.347912673273931
0.737751699473141,0.367225343950966
0.750047561131027,0.387680631200272
0.762343422788913,0.409309080993235
0.774639284446798,0.432138758528747
0.786935146104684,0.456195177207645
0.79923100776257,0.481501222638326
0.811526869420455,0.508077067618969
0.823822731078341,0.535940074235454
0.836118592736227,0.565104679509062
0.848414454394112,0.595582261420664
0.860710316051998,0.627380982622804
0.873006177709884,0.660505609720403
0.88530203936777,0.694957306645922
0.897597901025655,0.730733401365098
0.909893762683541,0.767827125913027
0.922189624341426,0.806227330564348
0.934485485999312,0.845918173771539
0.946781347657198,0.886878790347111
0.959077209315084,0.929082941203528
0.971373070972969,0.972498648783239
0.983668932630855,1.01708782309486
0.995964794288741,1.06280588400481
1.00826065594663,1.1096013861015
1.02055651760451,1.15741565303797
1.0328523792624,1.20618242875415
1.04514824092028,1.25582755337165
1.05744410257817,1.30626867182948
1.06973996423605,1.35741498348105
1.08203582589394,1.40916704089306
1.09433168755183,1.46141660597089
1.10662754920971,1.51404657127907
