mode_l,singular_value_sigma,energy_share_eta,cum_energy_share
1,0.135599322081143,0.747771167995699,0.747771167995699
2,0.052638355351364,0.11268297448088,0.860454142476579
3,0.0452691425206073,0.0833409057016049,0.943795048178184
4,0.034846534799209,0.0493824774916949,0.993177525669879
5,0.0105226928612463,0.00450305724448455,0.997680582914363
6,0.00755201052139586,0.00231941708563684,1
