phi,rank1_a,rank1_b,rank2_a,rank2_b,rank3_a,rank3_b,rank4_a,rank4_b,rank5_a,rank5_b
0,-0.00227409785902285,-0.266939349330741,0.000692760683031399,-0.0551823832325698,0.0131548195240271,0.104972031826003,-0.0151282982442042,-0.020909362955993,-0.0198024689423451,-0.0317095389181755
0.0122958616578857,-0.00189363292636988,-0.266145306807698,-4.61341766842252e-05,-0.0536676675084926,0.0121345543245584,0.102475000105455,-0.0146581309566946,-0.0233961645751302,-0.0216812055264191,-0.0308488618075898
0.0245917233157714,-0.00152067402533854,-0.265389462170134,-0.000790251519556939,-0.0521304557475418,0.0109196454813983,0.0998127540919783,-0.0139648963723699,-0.0257443811761222,-0.0232353987936047,-0.0294602515417681
0.0368875849736571,-0.00116079343883436,-0.264681413046642,-0.00151982241141732,-0.050556831036666,0.00952982420529984,0.0970224797514191,-0.01306193054653,-0.0279571011749791,-0.0244378380729841,-0.0275498054803297
0.0491834466315427,-0.000818417579990627,-0.264029580911014,-0.00221413406157543,-0.0489332005492753,0.00798761751699855,0.094142058635482,-0.0119661108598698,-0.0300377561672968,-0.0252667147036442,-0.0251306534250593
0.0614793082894284,-0.00049668469640304,-0.263441145258418,-0.00285177173640701,-0.0472464764677651,0.00631795805629494,0.0912095750047785,-0.01069758127132,-0.0319899614437645,-0.0257060376182925,-0.0222229260040108
0.0737751699473141,-0.000197325488977411,-0.262921991839691,-0.00341086924660156,-0.0454842507590847,0.00454775250856911,0.0882628203639801,-0.0092794241182302,-0.0338173623715703,-0.0257459686512235,-0.018853620663377
0.0860710316051998,7.94314448823892e-05,-0.262476675401212,-0.00386936467582761,-0.043634961604078,0.00270541556647365,0.085338802448553,-0.00773728355648449,-0.035523489487153,-0.0253830719748585,-0.0150563658976345
0.0983668932630855,0.000334927871477015,-0.262108397199954,-0.00420525801197605,-0.0416880493936847,0.00082037691019889,0.0824732656436234,-0.00609894650767294,-0.0371116249777747,-0.0246204732333537,-0.0108710859002456
0.110662754920971,0.000572116867796441,-0.261818997383787,-0.00439686738252344,-0.0396341003445939,-0.00107743086179579,0.0797002296532968,-0.00439388766660347,-0.0385846830164893,-0.0234679251742202,-0.00634356934765032
0.122958616578857,0.000795575904729681,-0.261608962148586,-0.00442308068126851,-0.0374649759515981,-0.00295809509539047,0.0770515529755679,-0.00265278570944297,-0.0399451061605922,-0.0219417778627134,-0.00152494751471892
0.135254478236743,0.0010114919845104,-0.261477445408208,-0.00426359950244651,-0.0351739266813455,-0.00479224828559143,0.0745565273776795,-0.000907018321315468,-0.041194779731564,-0.020064852881346,0.00352891166282455
0.147550339894628,0.00122761921368829,-0.261422304543418,-0.003899172467131,-0.0327556885198104,-0.0065515871098323,0.0722415091147488,0.000811855975428212,-0.0423349657695011,-0.0178662222501836,0.00875808563641863
0.159846201552514,0.00145320964329587,-0.261440149633412,-0.00331181523246177,-0.0302065612106721,-0.00820937684717936,0.0701295920973865,0.00247262097077086,-0.0433662578022464,-0.0153808941342493,0.0140993462445748
0.1721420632104,0.00169891863807089,-0.261526405420742,-0.00248501471268376,-0.0275244672608042,-0.00974093294446594,0.0682403275998835,0.00404492255885181,-0.0442885572945416,-0.01264940871405,0.0194869654205606
0.184437924868285,0.00197668643973953,-0.261675385119108,-0.00140391530793102,-0.0247089910389164,-0.0111240718235826,0.0665894944184997,0.00549977685084528,-0.0451010722515632,-0.00971734886583961,0.0248535664258831
0.196733786526171,0.00229959795915527,-0.261880375045297,-5.54852274923844e-05,-0.0217613975506388,-0.0123395234819,0.0651889226496278,0.0068100584307488,-0.0458023380504928,-0.00663477151215253,0.0301310086526173
0.209029648184057,0.00268172316284992,-0.262133728943085,0.00157133869595117,-0.0186846307344897,-0.0133712990131634,0.0640463734712026,0.00795096084602448,-0.0463902601698348,-0.00345556664351069,0.0352512934382491
0.221325509841942,0.00313794070634604,-0.262426970769345,0.00348552898099804,-0.015483291384679,-0.0142070068604228,0.0631654764894251,0.00890042181854334,-0.0468621780856235,-0.000236752063141006,0.0401474779230066
0.233621371499828,0.00368374770526166,-0.262750904632132,0.00569386920865049,-0.0121635950650708,-0.0148381123952103,0.0625457253689879,0.00963950617272324,-0.0472149492130496,0.00296228714665892,0.0447545837589417
0.245917233157714,0.00433505872252528,-0.263095730507733,0.00820088008156291,-0.00873331063039699,-0.0152601362863062,0.0621825316111402,0.0101527400998316,-0.0474450513978388,0.00608060460850234,0.0490104874566702
0.258213094815599,0.00510799718353611,-0.263451164319395,0.0110087701087782,-0.00520168021267359,-0.0154727880637432,0.0620673354929274,0.0104283911011549,-0.0475487021101823,0.00905653355602493,0.0528567793310403
0.270508956473485,0.00601868250940559,-0.263806560934658,0.0141174108655222,-0.00157932175954143,-0.0154800322847717,0.0621877723455166,0.0104586887675522,-0.0475219921710495,0.0118285515728333,0.0562395783794516
0.282804818131371,0.00708301628100385,-0.264151038631242,0.0175243364610655,0.00212188457600863,-0.0152900857529979,0.0625278915422035,0.0102399824468366,-0.047361031551811,0.0143361576611553,0.0591102909913894
0.295100679789256,0.00831647071385497,-0.264473603592843,0.0212247665467577,0.00588892470108011,-0.0149153453138011,0.0630684247995761,0.00977283281023369,-0.0470621045382412,0.0165207498765644,0.0614263021373736
0.307396541447142,0.0097338826373468,-0.264763273025582,0.0252116519151556,0.00970779183722635,-0.0143722468319785,0.0637870996798736,0.00906203534059956,-0.0466218313435418,0.0183264916620368,0.0631515886094733
0.319692403105028,0.0113492560335094,-0.265009195532541,0.029475741483342,0.0135636389479358,-0.0136810570347136,0.0646589935295405,0.00811657481301451,-0.0460373330957616,0.0197011550707722,0.0642572449706284
0.331988264762914,0.0131755760038739,-0.265200767446767,0.0340056692222563,0.0174409403990074,-0.0128656009578585,0.0656569225080908,0.00694951090710414,-0.0453063970158651,0.0205969292824127,0.0647219141005979
0.344284126420799,0.0152246368015374,-0.265327743901308,0.0387880593917826,0.021323660813589,-0.0119529287499061,0.066751859861345,0.00557779616386204,-0.0444276385459517,0.0209711831891174,0.0645321155844614
0.356579988078685,0.017506886294128,-0.265380343506795,0.0438076482706143,0.0251954290131748,-0.0109729265502325,0.0679133771813372,0.00402202856162459,-0.0434006571841259,0.0207871713518636,0.0636824666552847
0.368875849736571,0.0200312889170897,-0.265349345611403,0.0490474204320946,0.029039714893525,-0.00995787705135048,0.0691101020778204,0.00230614202003786,-0.0422261828338239,0.020014673296754,0.062175791954167
0.381171711394456,0.0228052088413532,-0.265226179232951,0.0544887575133125,0.0328400070705393,-0.00894197616518911,0.0703101854680108,0.000457039131561425,-0.0409062095806814,0.0186305569274539,0.0600231199853586
0.393467573052342,0.025834314721159,-0.265003002876767,0.0601115973551386,0.0365799891454344,-0.0079608129282386,0.0714817715752026,-0.00149582864793906,-0.0394441139681122,0.0166192577627363,0.0572435657973941
0.405763434710228,0.0291225070130671,-0.264672774583793,0.0658946013554525,0.0402437124806128,-0.00705082038860098,0.0725934637147709,-0.00352092725906008,-0.0378447550516113,0.0139731667553538,0.0538641010884617
0.418059296368113,0.0326718684726696,-0.264229311689377,0.0718153278758339,0.0438157634464608,-0.0062487057100584,0.0736147790379389,-0.0055851458863235,-0.0361145537685463,0.0106929205963984,0.0499192145904688
0.430355158025999,0.0364826380480024,-0.263667339912306,0.0778504095722267,0.0472814231937017,-0.0055908680964084,0.0745165855979934,-0.00765433485659117,-0.0342615494612179,0.0067875896429166,0.0454504672064798
0.442651019683885,0.0405532080048485,-0.262982531533878,0.0839757325807953,0.0506268181242637,-0.00511281337762441,0.0752715153973214,-0.00969386748737641,-0.0322954317318612,0.00227475990961606,0.0405059479358842
0.45494688134177,0.0448801437456274,-0.262171532566334,0.0901666155791837,0.0538390593739771,-0.00484857420393061,0.0758543474621327,-0.0116692173381092,-0.0302275461839942,-0.00281949307910476,0.0351396380971119
0.467242742999656,0.0494582254266846,-0.261231978946803,0.0963979868580501,0.0569063697806054,-0.004830144762719,0.0762423554690239,-0.0135465419974735,-0.0280708730094326,-0.00846073939069529,0.0294106927264676
0.479538604657542,0.0542805101445064,-0.260162501925252,0.102644557675135,0.0598181969883023,-0.00508693876651736,0.0764156150062477,-0.0152932643515369,-0.0258399778082425,-0.0146064381474021,0.0233826492727685
0.491834466315427,0.0593384131551603,-0.258962722941141,0.108880990320948,0.0625653115319234,-0.00564527916013445,0.0763572661841067,-0.016878642224194,-0.0235509344733036,-0.0212062873547737,0.0171225748018599
0.504130327973313,0.0646218063180577,-0.257633238401868,0.115082059497985,0.0651398889489076,-0.006527927565877,0.076053728003565,-0.0182743173651131,-0.0212212204251159,-0.0282026767170238,0.0107001638558464
0.516426189631199,0.0701191317192363,-0.256175594885328,0.12122280580046,0.0675355751797315,-0.00775366093352696,0.0754948616393292,-0.0194548349805516,-0.0188695849388926,-0.0355312387167788,0.00418679986452315
0.528722051289085,0.0758175282343733,-0.25459225538763,0.127278680275256,0.0697475347372282,-0.00933690219462964,0.0746740805818176,-0.0203981253567094,-0.016515891757622,-0.0431214919497182,-0.00234540643081172
0.54101791294697,0.0817029686404963,-0.252886557324242,0.13322567924316,0.0717724813472903,-0.0112874109483642,0.0735884063995585,-0.0210859396093251,-0.0141809376244502,-0.0508975694912996,-0.0088245877172361
0.553313774604856,0.0877604047798872,-0.251062663067572,0.139040468758908,0.0736086909856055,-0.0136100393402366,0.0722384697171051,-0.0215042322006791,-0.0118862487883438,-0.0587790239490774,-0.0151800860310525
0.565609636262742,0.0939739182211727,-0.249125503865613,0.144700498285304,0.0752559974541091,-0.016304557347873,0.0706284568407817,-0.0216434835878355,-0.00965385793168008,-0.0666816998348409,-0.021343399925985
0.577905497920627,0.100326873851412,-0.247080718034333,0.150184103347305,0.0767157708538781,-0.0193655506743555,0.0687660032926687,-0.0214989571939332,-0.00750606433067661,-0.0745186629892616,-0.0272490992118883
0.590201359578513,0.10680207386863,-0.244934584350635,0.155470597113138,0.0779908795154756,-0.0227823933839094,0.06666203631953,-0.0210708858160587,-0.00546518038332501,-0.0822011760197499,-0.0328356940482468
0.602497221236399,0.113381909725356,-0.242693951592954,0.160540351018312,0.0790856361406807,-0.0265392963132123,0.0643305692155544,-0.0203645835857471,-0.00355326791922428,-0.0896397080798435,-0.0380464458357701
0.614793082894284,0.120048509698227,-0.240366165183091,0.165374864702061,0.08000572908872,-0.030615431170579,0.0617884510240285,-0.0193904806672071,-0.00179186793650756,-0.0967449668339083,-0.0428301081968451
0.62708894455217,0.126783879923607,-0.237958991875986,0.169956825662081,0.0807581399034051,-0.0349851291115472,0.0590550758522863,-0.01816407899868,-0.000201727588748807,-0.103428940120486,-0.0471415873592011
0.639384806210056,0.133570036940982,-0.235480543424421,0.174270159150455,0.0813510483230723,-0.0396181514697553,0.0561520566362675,-0.0167058285377861,0.00119747163408103,-0.109605934655516,-0.0509425124418423
0.651680667867941,0.140389130020273,-0.232939200113878,0.178300068929922,0.0817937261413342,-0.0444800292430886,0.0531028687165898,-0.0150409246455781,0.00238738052441491,-0.115193599105005,-0.0542017074706272
