pair_name,target_id,source_id,direction,total_energy,joint_r1_energy_ratio,joint_r1_cum_r2,joint_r2_energy_ratio,joint_r2_cum_r2,joint_r3_energy_ratio,joint_r3_cum_r2,indiv_r1_energy_ratio,indiv_r1_cum_r2,indiv_r2_energy_ratio,indiv_r2_cum_r2,indiv_r3_energy_ratio,indiv_r3_cum_r2
7-10,7,10,s1,0.00114040498422885,0.673537369355358,0.673537369355359,0.214749671274278,0.888287040629637,0.0234812616903638,0.911768302320001,0.846898780907487,0.846898780907487,0.112961861924658,0.959860642832146,0.0123049470373884,0.972165589869534
7-10,10,7,s2,0.00130052532856216,0.791752684202829,0.79175268420283,0.0803287787520163,0.872081462954846,0.0282952412377422,0.900376704192588,0.847218333734573,0.847218333734573,0.0839465442434617,0.931164877978034,0.0263070367037751,0.95747191468181
7-8,7,8,s1,0.00132607158108459,0.759758755524718,0.759758755524718,0.111403914286119,0.871162669810837,0.026089606035761,0.897252275846598,0.930038321286165,0.930038321286165,0.026746254261995,0.95678457554816,0.015242653858327,0.972027229406487
7-8,8,7,s2,0.00223967578658915,0.863472864129913,0.863472864129913,0.030156239384548,0.893629103514461,0.0258181480693219,0.919447251583783,0.912975721011311,0.912975721011311,0.0231978632856528,0.936173584296964,0.0178466671698334,0.954020251466798
7-9,7,9,s1,0.00396360924320864,0.779094482903739,0.77909448290374,0.119015986028508,0.898110468932248,0.00781472953067058,0.905925198462919,0.825368275463811,0.825368275463811,0.132928022217648,0.958296297681458,0.0113480562459037,0.969644353927362
7-9,9,7,s2,0.00471379894654088,0.909566396038916,0.909566396038916,0.0260295748499152,0.935595970888832,0.0246236060197583,0.96021957690859,0.930056182734114,0.930056182734114,0.0347962131515828,0.964852395885697,0.0133978359699345,0.978250231855631
8-10,8,10,s1,0.0012931532631084,0.735999195354508,0.735999195354508,0.099418534308581,0.835417729663089,0.0301827612453491,0.865600490908438,0.830756372263189,0.830756372263189,0.0890364817004505,0.919792853963639,0.0339830560451662,0.953775910008805
8-10,10,8,s2,0.000780776984836853,0.723755474134845,0.723755474134846,0.0959305186097114,0.819685992744557,0.0110440274602097,0.830730020204767,0.772785742661949,0.772785742661949,0.107964459326664,0.880750201988614,0.0426715391236081,0.923421741112222
8-9,8,9,s1,0.00126418276976114,0.87925274695056,0.87925274695056,0.0421900721880358,0.921442819138596,0.00739977126901968,0.928842590407615,0.91129396413941,0.91129396413941,0.0473173478120573,0.958611311951467,0.0109480642429752,0.969559376194443
8-9,9,8,s2,0.00145079361364312,0.84129192991225,0.841291929912251,0.0991017765097772,0.940393706422028,0.00686521193677833,0.947258918358807,0.866126801435667,0.866126801435667,0.0994865354262666,0.965613336861934,0.0111507009327942,0.976764037794728
9-10,9,10,s1,0.00149146278330317,0.842444499707874,0.842444499707874,0.0665091094320624,0.908953609139936,0.0270188510165754,0.935972460156512,0.865253235738652,0.865253235738652,0.0918739758561566,0.957127211594809,0.014409294949304,0.971536506544113
9-10,10,9,s2,0.00192289817032128,0.749123722276213,0.749123722276214,0.0161658284991632,0.765289550775377,0.116029341078126,0.881318891853503,0.862193961681396,0.862193961681396,0.0652054120641386,0.927399373745535,0.0267576880014216,0.954157061746956
