time_sec,order_param_mode1_Z1,order_param_mode2_Z2,order_param_mode3_Z3,order_param_mode4_Z4,relative_phase_rad_agent_8,abs_phase_unwrapped_rad_agent_8,power_w_agent_8,relative_phase_rad_agent_9,abs_phase_unwrapped_rad_agent_9,power_w_agent_9,relative_phase_rad_agent_11,abs_phase_unwrapped_rad_agent_11,power_w_agent_11,relative_phase_rad_agent_12,abs_phase_unwrapped_rad_agent_12,power_w_agent_12,total_power_w
0.0,0.5132308602346731,1.277609270268993,0.5595421427353323,1.3383651322149202,0,43.883036303118416,0.1253100895522388,1.0984709350302657,44.98150723814868,0.9997669309389626,1.30244217276211,45.18547847588052,0.8856173464514282,1.477733581706629,45.36076988482505,0.9080156652975452,2.918710032240175
0.009999990463256836,0.5060588469392419,1.2749568988195477,0.5488232981460869,1.348029056437218,0,43.98136876146428,0.2606713153118731,1.0738873614141191,45.055256122878404,0.9729479415416946,1.2862592282921086,45.26762798975639,0.7989160378259623,1.451818919728172,45.43318768119246,0.6830014435389988,2.7155367382185287
0.019999980926513672,0.5095259964761502,1.2738263440811015,0.539202101100564,1.3516696335305818,0,44.06148436165506,0.10264574826276954,1.0675206459530566,45.12900500760812,0.20462699398223325,1.2871735850160857,45.34865794667115,1.0158416763678697,1.4277413586079812,45.48922572026304,1.2376586111376446,2.560773029750517
0.029999971389770508,0.5044392267509266,1.2713653863855905,0.546330681355229,1.3530313771030866,0,44.13523279296136,0.016,1.0675221109465571,45.202754903907916,0.4050164537313433,1.2696039099047438,45.404836702866106,0.6722987868946414,1.4203516262430982,45.55558441920446,0.5769880599866272,1.6703033006126118
0.039999961853027344,0.5002971517109742,1.2676271516430104,0.5375027133527587,1.3615854719942244,0,44.22727457075468,0.13525112236125705,1.0492289502480707,45.27650352100275,0.6763086180958522,1.2513110168411388,45.47858558759582,1.4394345209666635,1.3848275114438606,45.61210208219854,0.9943670447761196,3.2453613061998925
0.04999995231628418,0.49639797730326046,1.2646255905232926,0.5266050788911978,1.3700358589499908,0,44.30727425502698,0.056492883752029814,1.0287790365013092,45.33605329152829,0.6374882032667877,1.2371327453468044,45.54440700037378,0.5971308210345323,1.3539940995097468,45.66126835453672,0.6862068965517242,1.977318804605074
0.059999942779541016,0.4810650593896876,1.2592259348637194,0.511496110059153,1.3861090083378513,0,44.3993945707611,0.05192893304040501,0.9851132426349151,45.38450781339601,0.624,1.202148610312213,45.60154318107331,1.0262878976024454,1.311038880166165,45.71043345092727,0.686836592879146,2.3890534235219967
0.06999993324279785,0.47104834960811653,1.2536764827061835,0.4980182482214803,1.399423650464479,0,44.49588491841567,0.028894621653084984,0.9508904587372482,45.44677537715292,0.6062057503104404,1.1713988254947632,45.66728374391043,0.3693571172720109,1.2637141102192828,45.75959902863495,1.1958620689655173,2.2003195582010537
0.07999992370605469,0.4564124711490235,1.2502422656942642,0.5004380615162525,1.4064649586239855,0,44.575719867224905,0.27157741904670935,0.9311171071080244,45.50683697433293,1.1452089024739707,1.1407290100810943,45.71644887730599,0.5389981851179673,1.250434205203476,45.82615407242838,0.39644474161811066,2.3522292482567577
0.08999991416931152,0.43620634400228514,1.2446909453834745,0.49209288571594817,1.4206734557104606,0,44.66733022014284,0.20499754029850747,0.8886726773432226,45.55600289748606,0.8591857866080809,1.0982845803163037,45.76561480045914,0.8673561944789379,1.2151443474045778,45.88247456754742,0.8293926831598051,2.7609322045453313
0.09999990463256836,0.4180597728477601,1.2386067507737075,0.4764881767630497,1.4366761502403043,0,44.765662704858144,0.9958177476358775,0.8395061157810669,45.605168820639214,0.6738786894641322,1.0572431790034305,45.82290588386158,0.2509225331932372,1.1659786201186462,45.931641324976795,0.564467008955224,2.4850859792484705
0.1099998950958252,0.4033648100105583,1.233388756654626,0.4571477257334628,1.4515732712680485,0,44.86399626472969,1.0313292417910447,0.7903384790626701,45.65433474379236,0.5710214920240712,1.0244940746419158,45.88849033937161,0.6124351896074125,1.1168113213320878,45.98080758606178,0.17162938198490782,2.386415305407436
0.11999988555908203,0.38508898757679355,1.2303318415390212,0.4548015232699662,1.4598443772449166,0,44.94435000058651,0.9162796828732449,0.7591506663589979,45.70350066694551,0.11159805138981756,0.9933062619382381,45.93765626252475,1.0601616200210144,1.1031702912543522,46.04752029184086,1.0499753558123985,3.1380147100964755
0.13000011444091797,0.3682890365975335,1.2246419923983711,0.4538394874126515,1.4692327574763737,0,45.036117518905996,1.2291424887169569,0.7304354565967802,45.766552975502776,0.18102638805970148,0.9507054452768278,45.98682296418282,0.7991216180719727,1.0675667782763272,46.103684297182326,0.5526823956442831,2.7619728904929137
0.1400001049041748,0.3608821978436368,1.2209181035880343,0.44816055328883386,1.4758980798437231,0,45.116391462652125,0.7907387525074028,0.7099870876219928,45.826378550274114,0.1747666443786417,0.9272581340245258,46.04364959667665,1.4415709795338658,1.0355772571588062,46.15196871981093,0.5664953667054715,2.973571743125382
