time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788887721.372528,9802582,2509460992,2509.460992,246,1,124,46,12,20260908_191617
1788887721.382512,9802621,2509470976,2509.470976,249,1,124,46,12,20260908_191617
1788887721.392496,9802660,2509480960,2509.48096,252,1,124,45,12,20260908_191617
1788887721.40248,9802699,2509490944,2509.490944,0,78,124,45,12,20260908_191617
1788887721.412464,9802738,2509500928,2509.500928,3,220,124,43,12,20260908_191617
1788887721.422448,9802777,2509510912,2509.510912,7,146,125,43,12,20260908_191617
1788887721.432432,9802816,2509520896,2509.520896,10,107,127,43,12,20260908_191617
1788887721.442416,9802855,2509530880,2509.53088,13,83,131,42,12,20260908_191617
1788887721.452656,9802895,2509541120,2509.54112,16,63,132,38,12,20260908_191617
1788887721.46264,9802934,2509551104,2509.551104,19,53,131,38,12,20260908_191617
1788887721.472624,9802973,2509561088,2509.561088,23,40,132,39,12,20260908_191617
1788887721.482608,9803012,2509571072,2509.571072,26,46,132,41,12,20260908_191617
1788887721.492592,9803051,2509581056,2509.581056,29,45,132,43,12,20260908_191617
1788887721.502576,9803090,2509591040,2509.59104,32,42,133,43,12,20260908_191617
1788887721.51256,9803129,2509601024,2509.601024,35,45,133,44,12,20260908_191617
1788887721.522544,9803168,2509611008,2509.611008,39,32,133,45,12,20260908_191617
1788887721.532528,9803207,2509620992,2509.620992,42,0,133,46,12,20260908_191617
1788887721.542512,9803246,2509630976,2509.630976,45,3,132,46,12,20260908_191617
1788887721.552496,9803285,2509640960,2509.64096,48,0,130,47,12,20260908_191617
1788887721.56248,9803324,2509650944,2509.650944,51,71,127,47,12,20260908_191617
1788887721.572464,9803363,2509660928,2509.660928,54,103,124,46,12,20260908_191617
1788887721.582704,9803403,2509671168,2509.671168,57,141,121,45,12,20260908_191617
1788887721.592688,9803442,2509681152,2509.681152,61,47,119,45,12,20260908_191617
1788887721.602672,9803481,2509691136,2509.691136,64,41,118,45,12,20260908_191617
1788887721.612656,9803520,2509701120,2509.70112,67,58,118,44,12,20260908_191617
1788887721.62264,9803559,2509711104,2509.711104,70,36,119,43,12,20260908_191617
1788887721.632624,9803598,2509721088,2509.721088,73,116,119,43,12,20260908_191617
1788887721.642608,9803637,2509731072,2509.731072,77,35,119,43,12,20260908_191617
1788887721.652592,9803676,2509741056,2509.741056,80,84,119,43,12,20260908_191617
1788887721.662576,9803715,2509751040,2509.75104,83,35,119,42,12,20260908_191617
1788887721.67256,9803754,2509761024,2509.761024,86,29,119,42,12,20260908_191617
1788887721.682544,9803793,2509771008,2509.771008,89,36,120,41,12,20260908_191617
1788887721.692528,9803832,2509780992,2509.780992,93,63,120,40,12,20260908_191617
1788887721.702512,9803871,2509790976,2509.790976,96,42,120,39,12,20260908_191617
1788887721.712752,9803911,2509801216,2509.801216,99,79,120,37,12,20260908_191617
1788887721.722736,9803950,2509811200,2509.8112,102,25,121,36,12,20260908_191617
1788887721.73272,9803989,2509821184,2509.821184,105,117,121,35,12,20260908_191617
1788887721.742704,9804028,2509831168,2509.831168,109,52,121,35,12,20260908_191617
1788887721.752688,9804067,2509841152,2509.841152,112,0,121,36,12,20260908_191617
1788887721.762672,9804106,2509851136,2509.851136,115,31,121,37,12,20260908_191617
1788887721.772656,9804145,2509861120,2509.86112,118,8,121,37,12,20260908_191617
1788887721.78264,9804184,2509871104,2509.871104,121,42,121,36,12,20260908_191617
1788887721.792624,9804223,2509881088,2509.881088,124,61,122,34,12,20260908_191617
1788887721.802608,9804262,2509891072,2509.891072,128,2,122,33,12,20260908_191617
1788887721.812592,9804301,2509901056,2509.901056,131,107,122,32,12,20260908_191617
1788887721.822576,9804340,2509911040,2509.91104,134,32,122,31,12,20260908_191617
1788887721.83256,9804379,2509921024,2509.921024,137,1,122,30,12,20260908_191617
1788887721.8428,9804419,2509931264,2509.931264,140,5,122,29,12,20260908_191617
1788887721.852784,9804458,2509941248,2509.941248,143,2,122,28,12,20260908_191617
1788887721.862768,9804497,2509951232,2509.951232,147,1,122,27,12,20260908_191617
1788887721.872752,9804536,2509961216,2509.961216,150,15,122,27,12,20260908_191617
1788887721.882736,9804575,2509971200,2509.9712,153,1,122,26,12,20260908_191617
1788887721.89272,9804614,2509981184,2509.981184,156,36,122,26,12,20260908_191617
1788887721.902704,9804653,2509991168,2509.991168,159,1,122,26,12,20260908_191617
1788887721.912688,9804692,2510001152,2510.001152,163,42,123,26,12,20260908_191617
1788887721.922672,9804731,2510011136,2510.011136,166,71,123,26,12,20260908_191617
1788887721.932656,9804770,2510021120,2510.02112,169,21,123,26,12,20260908_191617
1788887721.94264,9804809,2510031104,2510.031104,172,54,123,27,12,20260908_191617
1788887721.952624,9804848,2510041088,2510.041088,175,51,123,27,12,20260908_191617
1788887721.962864,9804888,2510051328,2510.051328,179,46,123,27,12,20260908_191617
1788887721.972848,9804927,2510061312,2510.061312,182,33,123,27,12,20260908_191617
1788887721.982832,9804966,2510071296,2510.071296,188,45,123,27,12,20260908_191617
1788887721.992816,9805005,2510081280,2510.08128,191,91,124,27,12,20260908_191617
1788887722.0028,9805044,2510091264,2510.091264,195,31,124,26,12,20260908_191617
1788887722.012784,9805083,2510101248,2510.101248,198,113,124,26,12,20260908_191617
1788887722.022768,9805122,2510111232,2510.111232,201,23,124,27,12,20260908_191617
1788887722.032752,9805161,2510121216,2510.121216,204,110,124,27,12,20260908_191617
1788887722.042736,9805200,2510131200,2510.1312,207,54,125,28,12,20260908_191617
1788887722.05272,9805239,2510141184,2510.141184,211,49,125,29,12,20260908_191617
1788887722.062704,9805278,2510151168,2510.151168,214,45,125,30,12,20260908_191617
1788887722.072688,9805317,2510161152,2510.161152,217,28,126,31,12,20260908_191617
1788887722.082672,9805356,2510171136,2510.171136,220,26,126,31,12,20260908_191617
1788887722.092912,9805396,2510181376,2510.181376,223,70,126,31,12,20260908_191617
1788887722.102896,9805435,2510191360,2510.19136,226,15,126,32,12,20260908_191617
1788887722.11288,9805474,2510201344,2510.201344,230,115,126,32,12,20260908_191617
1788887722.122864,9805513,2510211328,2510.211328,233,20,127,32,12,20260908_191617
1788887722.132848,9805552,2510221312,2510.221312,236,0,127,33,12,20260908_191617
1788887722.142832,9805591,2510231296,2510.231296,239,37,127,34,12,20260908_191617
1788887722.152816,9805630,2510241280,2510.24128,242,12,128,36,12,20260908_191617
1788887722.1628,9805669,2510251264,2510.251264,246,44,128,37,12,20260908_191617
1788887722.172784,9805708,2510261248,2510.261248,249,82,128,39,12,20260908_191617
1788887722.182768,9805747,2510271232,2510.271232,252,10,128,40,12,20260908_191617
1788887722.192752,9805786,2510281216,2510.281216,0,31,129,42,12,20260908_191617
1788887722.202736,9805825,2510291200,2510.2912,3,12,129,43,12,20260908_191617
1788887722.21272,9805864,2510301184,2510.301184,7,0,128,44,12,20260908_191617
1788887722.22296,9805904,2510311424,2510.311424,10,16,129,45,12,20260908_191617
1788887722.232944,9805943,2510321408,2510.321408,13,11,129,46,12,20260908_191617
1788887722.242928,9805982,2510331392,2510.331392,16,1,129,47,12,20260908_191617
1788887722.252912,9806021,2510341376,2510.341376,19,1,129,48,12,20260908_191617
1788887722.262896,9806060,2510351360,2510.35136,22,1,129,48,12,20260908_191617
1788887722.27288,9806099,2510361344,2510.361344,26,23,129,49,12,20260908_191617
1788887722.282864,9806138,2510371328,2510.371328,29,2,129,50,12,20260908_191617
1788887722.292848,9806177,2510381312,2510.381312,32,20,129,51,12,20260908_191617
1788887722.302832,9806216,2510391296,2510.391296,35,1,129,51,12,20260908_191617
1788887722.312816,9806255,2510401280,2510.40128,38,0,130,52,12,20260908_191617
1788887722.3228,9806294,2510411264,2510.411264,42,22,130,51,12,20260908_191617
1788887722.332784,9806333,2510421248,2510.421248,45,5,130,52,12,20260908_191617
1788887722.343024,9806373,2510431488,2510.431488,48,41,130,52,12,20260908_191617
1788887722.353008,9806412,2510441472,2510.441472,51,59,130,50,12,20260908_191617
1788887722.362992,9806451,2510451456,2510.451456,54,30,130,49,12,20260908_191617
1788887722.372976,9806490,2510461440,2510.46144,58,89,130,48,12,20260908_191617
