frame,time_sec,x,y,area,blue_x,blue_y,theta_rad,status,x_smooth_px,y_smooth_px,vx_raw_px_s,vy_raw_px_s,speed_raw_px_s,vx_sg_px_s,vy_sg_px_s,speed_sg_px_s,speed_ma_px_s,speed_butter_px_s,theta_smooth_deg,omega_deg_s,v_surge_px_s,v_sway_px_s,x_m,y_m,speed_sg_m_s,speed_sg_cm_s,speed_butter_m_s,v_surge_m_s,v_surge_cm_s
600,10.01,1289.1692913385828,1214.3385826771653,13760.5,1299.4135802469136,1167.2469135802469,-1.356594326833341,detected,1289.5405005891334,1214.7326954014204,18.05225298073508,21.374266919436234,27.977546783514896,20.358159589177767,9.472015035118206,22.45381327712369,30.8737958373931,26.941695149327696,284.6628343119596,-69.02082214731703,-4.010261598718315,22.092793680152386,1.6271804423837648,1.5327857355222971,0.02833288741592895,2.8332887415928947,0.033995829841422964,-0.005060267001537306,-0.5060267001537306
601,10.026683333333333,1289.5975212002609,1214.1415525114155,13857.0,1297.310650887574,1167.1568047337278,-1.408085203125342,detected,1289.886322727852,1214.8905277591782,19.509949116846347,20.199415307115952,28.08299295465645,21.099039857608577,9.448946933840787,23.118219677810284,31.0037942562387,26.67225290539783,283.5332054156836,-66.39922535830719,-4.249229698184082,22.72435099279108,1.6276168110130627,1.5329848930715184,0.029171255113956195,2.9171255113956196,0.03365583962826225,-0.005361804035563511,-0.5361804035563511
602,10.043366666666667,1289.6792323509253,1214.7292666209732,13847.0,1300.1373134328358,1167.44776119403,-1.3531135636042573,detected,1290.244505219049,1215.047975264113,20.967645252957613,19.024563694795663,28.312120571077205,21.839920126039384,9.425878832563368,23.787166768615936,31.13840679399696,26.50619088626222,282.4473134925042,-63.77762856929733,-4.496905021341033,23.35823512397681,1.6280687763016393,1.5331835650020353,0.03001535238942074,3.001535238942074,0.03344629764828041,-0.005674328102638528,-0.5674328102638528
603,10.06005,1291.380154639175,1215.3672680412371,13871.0,1301.6333333333332,1167.7727272727273,-1.3586114750673417,detected,1290.615048062724,1215.2050379162247,22.42534138906888,17.84971208247538,28.661963607602907,22.580800394470195,9.40281073128595,24.460282011932968,31.43535160995815,26.450916884196715,281.4051585424214,-61.156031780287485,-4.751883100639302,23.99427021397296,1.6285363382494942,1.5333817513138484,0.03086470916332236,3.086470916332236,0.03337655127343434,-0.005996067003961264,-0.5996067003961264
604,10.076733333333332,1290.974547890154,1216.2438044206297,13950.0,1301.5072463768115,1168.0463768115942,-1.355646320174211,detected,1290.9979512588777,1215.3617157155134,23.883037525180146,16.674860470155096,29.12817284225538,23.321680662901006,9.379742630008531,25.137230570361766,31.82150075550636,26.51088831445557,280.4067405654353,-58.534434991277635,-5.0127395554443,24.632352768195208,1.629019496856628,1.533579452006957,0.031718902927901284,3.1718902927901285,0.0334522250024676,-0.006325223413809843,-0.6325223413809843
605,10.093416666666666,1291.816655473472,1216.03559435863,13969.5,1299.9698795180725,1167.7590361445782,-1.4034892950561864,detected,1291.3932148075096,1215.5180086619794,25.340733661233116,15.500008857784906,29.705269853697065,24.062560931331817,9.356674528731112,25.817710913453613,32.34883407739208,26.68738830491855,279.4520595615458,-55.912838202267785,-5.278033062083386,25.272446731692135,1.6295182521230407,1.5337766670813622,0.03257755320309604,3.257755320309604,0.033674937924187444,-0.006659978627234557,-0.6659978627234557
606,10.1101,1289.730750367827,1211.7650809220206,14696.5,1297.873156342183,1167.8613569321533,-1.387419350162938,detected,1291.80083870862,1215.673916755622,29.06541088106087,13.136986020294444,31.896371445390198,24.803441199762627,9.333606427453693,26.50145098466661,32.96830990311534,26.97854505193047,278.541115530753,-53.29124141325793,-5.546307873684944,25.914578392537805,1.6300326040487318,1.5339733965370626,0.03344031669989478,3.344031669989478,0.03404232814123719,-0.0069984957396655445,-0.6998495739665545
607,10.126783333333334,1292.133424098026,1216.6657590197412,14034.0,1298.9191616766466,1168.0838323353294,-1.4320180017813395,detected,1292.2208229622083,1215.829439996442,32.19255506978607,6.727919044096325,32.88807529462803,25.544321468193438,9.310538326176275,27.188204854193767,33.57442181890745,27.379586605144866,277.6739084730568,-50.66964462424808,-5.816095913137579,26.558831139995405,1.6305625526337015,1.5341696403740595,0.034306883096774474,3.430688309677447,0.03454837426516703,-0.007338922287870762,-0.7338922287870763
608,10.143466666666669,1290.539272030651,1211.8146551724135,14700.5,1298.82874617737,1168.2782874617735,-1.3826450265182342,detected,1292.6531675682752,1215.984578384439,32.00342977901255,2.1664686986264314,32.076675392601324,26.285201736624245,9.287470224898856,27.877749792861994,34.23113618818799,27.883283199219587,276.8504383884573,-48.04804783523823,-6.085918464030595,27.20534010010881,1.63110809787795,1.534365398592352,0.03517697134745993,3.517697134745993,0.03518395356368403,-0.00767939238363482,-0.767939238363482
609,10.16015,1295.2981867024848,1216.6796507723304,13944.5,1302.438953488372,1168.9709302325582,-1.4222249799837623,detected,1293.0978725268203,1216.1393319196127,33.7933958944941,0.7224945995699272,33.801118391680745,27.026082005055052,9.264402123621437,28.56988371086102,34.90493411903278,28.48050294499105,276.0707052769544,-45.42645104622837,-6.354287485738578,27.854286668315666,1.631669239781477,1.5345606711919404,0.03605032644903599,3.605032644903599,0.03593754314825369,-0.008018028373171707,-0.8018028373171707
