agent_id,energy_ratio,nrmse,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,self_phase,signal_index,total_energy_ratio,total_nrmse
7,0.846903037548827,0.588609019382101,7-10,1,0.0183569716694057,0.00665793438446337,0.000780666429487707,0,0.992561399186049,0.993342065615537,0.846903037548827,0.588609019382101,phi1,1,0.99898069046954,0.0546355753562816
7,0.959862967034127,0.509151865480778,7-10,2,0.0183569716694057,0.00665793438446337,0.000780666429487707,0,0.992561399186049,0.993342065615537,0.959862967034127,0.509151865480778,phi1,1,0.999732770268126,0.0472602427048576
7,0.972167201589098,0.499714380869927,7-10,3,0.0183569716694057,0.00665793438446337,0.000780666429487707,0,0.992561399186049,0.993342065615537,0.972167201589098,0.499714380869927,phi1,1,0.999814691054444,0.0463842411747227
7,0.98016845468877,0.493493339393776,7-10,4,0.0183569716694057,0.00665793438446337,0.000780666429487707,0,0.992561399186049,0.993342065615537,0.98016845468877,0.493493339393776,phi1,1,0.999867962872576,0.0458067947388499
7,0.985177574502516,0.489543363945061,7-10,5,0.0183569716694057,0.00665793438446337,0.000780666429487707,0,0.992561399186049,0.993342065615537,0.985177574502516,0.489543363945061,phi1,1,0.999901313263619,0.0454401520708353
10,0.847221757711067,0.610514296780922,7-10,1,0.0212088126700752,0.00755344710665689,0.0010641810371152,0,0.991382371856228,0.992446552893343,0.847221757711067,0.610514296780922,phi2,2,0.998845997627823,0.0615502024801345
10,0.931166754779176,0.555243598557296,7-10,2,0.0212088126700752,0.00755344710665689,0.0010641810371152,0,0.991382371856228,0.992446552893343,0.931166754779176,0.555243598557296,phi2,2,0.999480071723045,0.0559779780706161
10,0.957472266909667,0.537175416724145,7-10,3,0.0212088126700752,0.00755344710665689,0.0010641810371152,0,0.991382371856228,0.992446552893343,0.957472266909667,0.537175416724145,phi2,2,0.999678769017536,0.0541563986970582
10,0.970985107696236,0.527856048131223,7-10,4,0.0212088126700752,0.00755344710665689,0.0010641810371152,0,0.991382371856228,0.992446552893343,0.970985107696236,0.527856048131223,phi2,2,0.999780837545678,0.0532168481789035
10,0.979054382459467,0.522014384034957,7-10,5,0.0212088126700752,0.00755344710665689,0.0010641810371152,0,0.991382371856228,0.992446552893343,0.979054382459467,0.522014384034957,phi2,2,0.999841788385792,0.0526279092959945
