Rank_dir,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelRes_dir,ExpFrac_dir,ExpPct_dir
3,4,10-12,10,12,10 -> 12,0,0,0
3,5,11-12,12,11,12 -> 11,0,0,0
3,6,11-12,11,12,11 -> 12,0,0,0
3,7,7-10,10,7,10 -> 7,0,0,0
3,8,7-10,7,10,7 -> 10,0,0,0
3,9,7-11,11,7,11 -> 7,0,0,0
3,10,7-11,7,11,7 -> 11,0,0,0
3,11,7-12,12,7,12 -> 7,0,0,0
3,12,7-12,7,12,7 -> 12,0,0,0
3,13,7-8,8,7,8 -> 7,0,0,0
3,14,7-8,7,8,7 -> 8,0,0,0
3,15,7-9,9,7,9 -> 7,0,0,0
3,16,7-9,7,9,7 -> 9,0,0,0
3,17,8-10,10,8,10 -> 8,0,0,0
3,18,8-10,8,10,8 -> 10,0,0,0
3,19,8-11,11,8,11 -> 8,0,0,0
3,20,8-11,8,11,8 -> 11,0,0,0
3,21,8-9,9,8,9 -> 8,0,0,0
3,22,8-9,8,9,8 -> 9,0,0,0
3,23,9-10,10,9,10 -> 9,0,0,0
3,24,9-10,9,10,9 -> 10,0,0,0
3,25,9-11,11,9,11 -> 9,0,0,0
3,26,9-11,9,11,9 -> 11,0,0,0
3,27,9-12,12,9,12 -> 9,0,0,0
3,28,9-12,9,12,9 -> 12,0,0,0
4,1,10-11,11,10,11 -> 10,0,0,0
4,2,10-11,10,11,10 -> 11,0,0,0
4,3,10-12,12,10,12 -> 10,0,0,0
4,4,10-12,10,12,10 -> 12,0,0,0
4,5,11-12,12,11,12 -> 11,0,0,0
4,6,11-12,11,12,11 -> 12,0,0,0
4,7,7-10,10,7,10 -> 7,0,0,0
4,8,7-10,7,10,7 -> 10,0,0,0
4,9,7-11,11,7,11 -> 7,0,0,0
4,10,7-11,7,11,7 -> 11,0,0,0
4,11,7-12,12,7,12 -> 7,0,0,0
4,12,7-12,7,12,7 -> 12,0,0,0
4,13,7-8,8,7,8 -> 7,0,0,0
4,14,7-8,7,8,7 -> 8,0,0,0
4,15,7-9,9,7,9 -> 7,0,0,0
4,16,7-9,7,9,7 -> 9,0,0,0
4,17,8-10,10,8,10 -> 8,0,0,0
4,18,8-10,8,10,8 -> 10,0,0,0
4,19,8-11,11,8,11 -> 8,0,0,0
4,20,8-11,8,11,8 -> 11,0,0,0
4,21,8-9,9,8,9 -> 8,0,0,0
4,22,8-9,8,9,8 -> 9,0,0,0
4,23,9-10,10,9,10 -> 9,0,0,0
4,24,9-10,9,10,9 -> 10,0,0,0
4,25,9-11,11,9,11 -> 9,0,0,0
4,26,9-11,9,11,9 -> 11,0,0,0
4,27,9-12,12,9,12 -> 9,0,0,0
4,28,9-12,9,12,9 -> 12,0,0,0
5,1,10-11,11,10,11 -> 10,0,0,0
5,2,10-11,10,11,10 -> 11,0,0,0
5,3,10-12,12,10,12 -> 10,0,0,0
5,4,10-12,10,12,10 -> 12,0,0,0
5,5,11-12,12,11,12 -> 11,0,0,0
5,6,11-12,11,12,11 -> 12,0,0,0
5,7,7-10,10,7,10 -> 7,0,0,0
5,8,7-10,7,10,7 -> 10,0,0,0
5,9,7-11,11,7,11 -> 7,0,0,0
5,10,7-11,7,11,7 -> 11,0,0,0
5,11,7-12,12,7,12 -> 7,0,0,0
5,12,7-12,7,12,7 -> 12,0,0,0
5,13,7-8,8,7,8 -> 7,0,0,0
5,14,7-8,7,8,7 -> 8,0,0,0
5,15,7-9,9,7,9 -> 7,0,0,0
5,16,7-9,7,9,7 -> 9,0,0,0
5,17,8-10,10,8,10 -> 8,0,0,0
5,18,8-10,8,10,8 -> 10,0,0,0
5,19,8-11,11,8,11 -> 8,0,0,0
5,20,8-11,8,11,8 -> 11,0,0,0
5,21,8-9,9,8,9 -> 8,0,0,0
5,22,8-9,8,9,8 -> 9,0,0,0
5,23,9-10,10,9,10 -> 9,0,0,0
5,24,9-10,9,10,9 -> 10,0,0,0
5,25,9-11,11,9,11 -> 9,0,0,0
5,26,9-11,9,11,9 -> 11,0,0,0
5,27,9-12,12,9,12 -> 9,0,0,0
5,28,9-12,9,12,9 -> 12,0,0,0
6,1,10-11,11,10,11 -> 10,0,0,0
6,2,10-11,10,11,10 -> 11,0,0,0
6,3,10-12,12,10,12 -> 10,0,0,0
6,4,10-12,10,12,10 -> 12,0,0,0
6,5,11-12,12,11,12 -> 11,0,0,0
6,6,11-12,11,12,11 -> 12,0,0,0
6,7,7-10,10,7,10 -> 7,0,0,0
6,8,7-10,7,10,7 -> 10,0,0,0
6,9,7-11,11,7,11 -> 7,0,0,0
6,10,7-11,7,11,7 -> 11,0,0,0
6,11,7-12,12,7,12 -> 7,0,0,0
6,12,7-12,7,12,7 -> 12,0,0,0
6,13,7-8,8,7,8 -> 7,0,0,0
6,14,7-8,7,8,7 -> 8,0,0,0
6,15,7-9,9,7,9 -> 7,0,0,0
6,16,7-9,7,9,7 -> 9,0,0,0
6,17,8-10,10,8,10 -> 8,0,0,0
6,18,8-10,8,10,8 -> 10,0,0,0
6,19,8-11,11,8,11 -> 8,0,0,0
6,20,8-11,8,11,8 -> 11,0,0,0
6,21,8-9,9,8,9 -> 8,0,0,0
6,22,8-9,8,9,8 -> 9,0,0,0
6,23,9-10,10,9,10 -> 9,0,0,0
6,24,9-10,9,10,9 -> 10,0,0,0
6,25,9-11,11,9,11 -> 9,0,0,0
6,26,9-11,9,11,9 -> 11,0,0,0
6,27,9-12,12,9,12 -> 9,0,0,0
6,28,9-12,9,12,9 -> 12,0,0,0
7,1,10-11,11,10,11 -> 10,0,0,0
7,2,10-11,10,11,10 -> 11,0,0,0
7,3,10-12,12,10,12 -> 10,0,0,0
7,4,10-12,10,12,10 -> 12,0,0,0
7,5,11-12,12,11,12 -> 11,0,0,0
7,6,11-12,11,12,11 -> 12,0,0,0
7,7,7-10,10,7,10 -> 7,0,0,0
7,8,7-10,7,10,7 -> 10,0,0,0
7,9,7-11,11,7,11 -> 7,0,0,0
7,10,7-11,7,11,7 -> 11,0,0,0
7,11,7-12,12,7,12 -> 7,0,0,0
7,12,7-12,7,12,7 -> 12,0,0,0
7,13,7-8,8,7,8 -> 7,0,0,0
7,14,7-8,7,8,7 -> 8,0,0,0
7,15,7-9,9,7,9 -> 7,0,0,0
7,16,7-9,7,9,7 -> 9,0,0,0
7,17,8-10,10,8,10 -> 8,0,0,0
7,18,8-10,8,10,8 -> 10,0,0,0
7,19,8-11,11,8,11 -> 8,0,0,0
7,20,8-11,8,11,8 -> 11,0,0,0
7,21,8-9,9,8,9 -> 8,0,0,0
7,22,8-9,8,9,8 -> 9,0,0,0
7,23,9-10,10,9,10 -> 9,0,0,0
7,24,9-10,9,10,9 -> 10,0,0,0
7,25,9-11,11,9,11 -> 9,0,0,0
7,26,9-11,9,11,9 -> 11,0,0,0
7,27,9-12,12,9,12 -> 9,0,0,0
7,28,9-12,9,12,9 -> 12,0,0,0
8,1,10-11,11,10,11 -> 10,0,0,0
8,2,10-11,10,11,10 -> 11,0,0,0
8,3,10-12,12,10,12 -> 10,0,0,0
8,4,10-12,10,12,10 -> 12,0,0,0
8,5,11-12,12,11,12 -> 11,0,0,0
8,6,11-12,11,12,11 -> 12,0,0,0
8,7,7-10,10,7,10 -> 7,0,0,0
8,8,7-10,7,10,7 -> 10,0,0,0
8,9,7-11,11,7,11 -> 7,0,0,0
8,10,7-11,7,11,7 -> 11,0,0,0
8,11,7-12,12,7,12 -> 7,0,0,0
8,12,7-12,7,12,7 -> 12,0,0,0
8,13,7-8,8,7,8 -> 7,0,0,0
8,14,7-8,7,8,7 -> 8,0,0,0
8,15,7-9,9,7,9 -> 7,0,0,0
8,16,7-9,7,9,7 -> 9,0,0,0
8,17,8-10,10,8,10 -> 8,0,0,0
8,18,8-10,8,10,8 -> 10,0,0,0
8,19,8-11,11,8,11 -> 8,0,0,0
8,20,8-11,8,11,8 -> 11,0,0,0
8,21,8-9,9,8,9 -> 8,0,0,0
8,22,8-9,8,9,8 -> 9,0,0,0
8,23,9-10,10,9,10 -> 9,0,0,0
8,24,9-10,9,10,9 -> 10,0,0,0
8,25,9-11,11,9,11 -> 9,0,0,0
8,26,9-11,9,11,9 -> 11,0,0,0
8,27,9-12,12,9,12 -> 9,0,0,0
8,28,9-12,9,12,9 -> 12,0,0,0
9,1,10-11,11,10,11 -> 10,0,0,0
9,2,10-11,10,11,10 -> 11,0,0,0
9,3,10-12,12,10,12 -> 10,0,0,0
9,4,10-12,10,12,10 -> 12,0,0,0
9,5,11-12,12,11,12 -> 11,0,0,0
9,6,11-12,11,12,11 -> 12,0,0,0
9,7,7-10,10,7,10 -> 7,0,0,0
9,8,7-10,7,10,7 -> 10,0,0,0
9,9,7-11,11,7,11 -> 7,0,0,0
9,10,7-11,7,11,7 -> 11,0,0,0
9,11,7-12,12,7,12 -> 7,0,0,0
9,12,7-12,7,12,7 -> 12,0,0,0
9,13,7-8,8,7,8 -> 7,0,0,0
9,14,7-8,7,8,7 -> 8,0,0,0
9,15,7-9,9,7,9 -> 7,0,0,0
9,16,7-9,7,9,7 -> 9,0,0,0
9,17,8-10,10,8,10 -> 8,0,0,0
9,18,8-10,8,10,8 -> 10,0,0,0
9,19,8-11,11,8,11 -> 8,0,0,0
9,20,8-11,8,11,8 -> 11,0,0,0
9,21,8-9,9,8,9 -> 8,0,0,0
9,22,8-9,8,9,8 -> 9,0,0,0
9,23,9-10,10,9,10 -> 9,0,0,0
9,24,9-10,9,10,9 -> 10,0,0,0
9,25,9-11,11,9,11 -> 9,0,0,0
9,26,9-11,9,11,9 -> 11,0,0,0
9,27,9-12,12,9,12 -> 9,0,0,0
9,28,9-12,9,12,9 -> 12,0,0,0
10,1,10-11,11,10,11 -> 10,0,0,0
10,2,10-11,10,11,10 -> 11,0,0,0
10,3,10-12,12,10,12 -> 10,0,0,0
10,4,10-12,10,12,10 -> 12,0,0,0
10,5,11-12,12,11,12 -> 11,0,0,0
10,6,11-12,11,12,11 -> 12,0,0,0
10,7,7-10,10,7,10 -> 7,0,0,0
10,8,7-10,7,10,7 -> 10,0,0,0
10,9,7-11,11,7,11 -> 7,0,0,0
10,10,7-11,7,11,7 -> 11,0,0,0
10,11,7-12,12,7,12 -> 7,0,0,0
10,12,7-12,7,12,7 -> 12,0,0,0
10,13,7-8,8,7,8 -> 7,0,0,0
10,14,7-8,7,8,7 -> 8,0,0,0
10,15,7-9,9,7,9 -> 7,0,0,0
10,16,7-9,7,9,7 -> 9,0,0,0
10,17,8-10,10,8,10 -> 8,0,0,0
10,18,8-10,8,10,8 -> 10,0,0,0
10,19,8-11,11,8,11 -> 8,0,0,0
10,20,8-11,8,11,8 -> 11,0,0,0
10,21,8-9,9,8,9 -> 8,0,0,0
10,22,8-9,8,9,8 -> 9,0,0,0
10,23,9-10,10,9,10 -> 9,0,0,0
10,24,9-10,9,10,9 -> 10,0,0,0
10,25,9-11,11,9,11 -> 9,0,0,0
10,26,9-11,9,11,9 -> 11,0,0,0
10,27,9-12,12,9,12 -> 9,0,0,0
10,28,9-12,9,12,9 -> 12,0,0,0
