Rank,Objective,RelativeResidual,TotalExplainedFraction,TotalExplainedPercent,FundamentalExplainedFraction,FundamentalExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercent,NetworkConstraintLoss,CeilingExplainedFraction,CeilingExplainedPercent,OrthogonalityError,MaxLambda,CancellationIndex,ValidationExplainedFraction,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.0147058288635679,0.620876733222428,0.614512082143046,61.4512082143046,0.798376194318678,79.8376194318678,0.614512082143046,61.4512082143046,0.0300542005355628,0.769702411614944,76.9702411614944,8.63982846074207e-16,0.174146590884523,1,NaN,20.269767,6,10,1,optimized_start_6:converged
2,0.0132050887998977,0.588343953590529,0.653851392273465,65.3851392273465,0.849485960296778,84.9485960296778,0.0393393101304189,3.93393101304189,0.0269692132021033,0.769702411614944,76.9702411614944,4.0925503235094e-16,0.136542536791508,0.880703189673664,NaN,46.0233786,15,87,1,optimized_start_15:converged
3,0.0119489489625046,0.559661567636271,0.686778929710912,68.6778929710912,0.892265529310158,89.2265529310158,0.0329275374374467,3.29275374374467,0.0194833551005638,0.769702411614944,76.9702411614944,2.27363906861633e-16,0.15425570296654,1.13662247806018,NaN,137.0715577,15,269,1,optimized_start_15:converged
4,0.0112658822644305,0.543429531711946,0.704684344063335,70.4684344063335,0.91552830474418,91.552830474418,0.0179054143524228,1.79054143524228,0.0207318526982322,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.152958186427913,1.5118002014561,NaN,211.7873947,2,297,1,optimized_start_2:converged
5,0.0107370800194006,0.530522400962678,0.718545982076795,71.8545982076795,0.933537392158076,93.3537392158076,0.0138616380134603,1.38616380134603,0.0216898144471336,0.769702411614944,76.9702411614944,1.3641834411698e-16,0.190202954011523,2.11773277053932,NaN,229.4342859,2,1000,0,optimized_start_2:max_iter
6,0.0102213329118994,0.51762399268557,0.732065402196249,73.2065402196249,0.951101868916163,95.1101868916163,0.0135194201194543,1.35194201194543,0.0194486505196266,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.487905366789115,9.98099280266977,NaN,247.1126916,1,1000,0,optimized_start_1:max_iter
7,0.00985738126697787,0.508324929253232,0.741605766299697,74.1605766299697,0.963496742518586,96.3496742518586,0.0095403641034475,0.95403641034475,0.0167404178192371,0.769702411614944,76.9702411614944,4.54727813723267e-17,0.904160836041418,3.85695789373506,NaN,250.1923336,7,332,0,optimized_start_7:objective_increase_rejected:2.162e-02
8,0.00961565232698909,0.502053509917868,0.747942273179149,74.7942273179149,0.971729153881514,97.1729153881514,0.00633650687945198,0.633650687945198,0.0136922050554155,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.442293513281894,12.6247658401593,NaN,144.5519841,10,1000,0,optimized_start_10:max_iter
9,0.00941159233811594,0.496697741558401,0.753291353530784,75.3291353530784,0.978678697329628,97.8678697329628,0.00534908035163562,0.534908035163562,0.0103175920115418,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.954606767138983,1.75326071296922,NaN,208.5009444,18,583,0,optimized_start_18:objective_increase_rejected:2.505e-02
10,0.00920794430637056,0.491294580534477,0.758629635137452,75.8629635137452,0.985614211011425,98.5614211011425,0.00533828160666794,0.533828160666794,0.00660032266692501,0.769702411614944,76.9702411614944,9.09455627446534e-17,0.394476129729864,7.96937383764983,NaN,172.9683334,20,757,0,optimized_start_20:objective_increase_rejected:4.095e-02
