CompRank,CompIndex,LambdaVal,DeltaRad,DeltaDeg,ComponentEnergyFraction,DropOneMetric,RecvLocalization,RecvEffectiveAgents,SendLocalization,SendEffectiveAgents,MaxDirectionShare,EffectiveDirections,DominantInteractionIndex,DominantPairName,DominantSourceID,DominantTargetID
7,3,0.0935786608180765,0.687240356011374,39.3759719105199,0.147334201033379,0.147334201033378,0.736528399738702,1.75946049692631,0.293225120740313,4.74355534494318,0.305727158959711,6.45667810898735,14,7-8,7,8
7,4,0.0910350258311674,0.759460175188674,43.5138627465772,0.133878662981235,0.133878662981234,0.663556039466721,2.05588195364683,0.477410215636187,2.97942623768655,0.316762797138134,6.3628514269195,2,10-11,10,11
7,5,0.0476879089035614,1.2584102318478,72.1015951809582,0.0408900120907536,0.0408900120907534,0.394655044547509,3.16252111605741,0.274467261693811,5.06286622620637,0.157916965613942,12.0827751059023,27,9-12,12,9
7,6,0.556083575450683,3.14156862467228,179.99862324444,1.14936777203066,1.14936777203066,0.970862953844366,1.06019828536401,0.881706624947592,1.27388397776284,0.579326271597832,2.62479176799333,9,7-11,11,7
7,7,0.070533292379092,2.99989898807334,171.881550982169,0.106055755784778,0.106055755784778,0.610001237546246,2.45478095991961,0.28213545568707,5.27307948064749,0.211623413772628,10.3319074201368,8,7-10,7,10
8,1,0.176367252753255,0.465493315654493,26.6708023785535,0.431168917582106,0.431168917582105,0.941131517583892,1.12582245396436,0.479574674530429,2.1893583969128,0.853525058578852,1.36259165695001,9,7-11,11,7
8,2,0.108767279875329,0.71746018333349,41.1074404736913,0.268303132427975,0.268303132427975,0.669158458353845,1.82957037176972,0.338094782819415,4.11067139762644,0.261492655980605,5.96088345610116,7,7-10,10,7
8,3,0.442293513281894,0.879588389901534,50.3967024500654,4.44679756431646,4.44679756431646,0.461269404096363,3.00917238770756,0.262628512359775,4.97583256022118,0.139698443265742,12.0068293163823,18,8-10,8,10
8,4,0.234365593809959,1.04742796394808,60.0132016782059,1.20897035845204,1.20897035845204,0.442970450755846,3.30577054308243,0.280382162009428,4.72171011774801,0.147917125111767,12.0061770731021,18,8-10,8,10
8,5,0.0996709696809678,2.92053155305651,167.334131924926,0.137956922892146,0.137956922892146,0.806841374020604,1.46229046177653,0.499526181282402,2.1221037142535,0.760784309135407,1.65151171837132,9,7-11,11,7
8,6,0.27270602032369,0.236959030101194,13.5767523423119,0.892993488622291,0.892993488622292,0.995338839440385,1.00937973355135,0.544356500795346,2.16109291959888,0.883526124340789,1.27279234109623,9,7-11,11,7
8,7,0.0888126859139217,0.0783662631663632,4.49005613564413,0.15827925081243,0.158279250812428,0.711819265678256,1.85482913401008,0.314701906354663,4.69630754815313,0.292628349548136,7.17095796452869,8,7-10,7,10
8,8,0.29595217912802,0.722937505126065,41.4212678954408,1.89812642573777,1.89812642573777,0.457381467138836,2.38737457311196,0.2481782920232,5.36667337384463,0.137303486863021,10.7621312540609,2,10-11,10,11
9,1,0.15849150886083,2.35938806323375,135.182978256839,0.0323245765751251,0.0323245765751251,0.991380595971146,1.0174007578808,0.958854042323098,1.08567956393333,0.827990750303657,1.41047092807103,10,7-11,7,11
9,2,0.0731597624645719,1.57023676339449,89.9679393787867,0.0319311713776798,0.0319311713776798,0.804366671391728,1.46758980909693,0.953947854944991,1.09774810889594,0.776311464523128,1.62348545737127,10,7-11,7,11
9,3,0.0821700967175008,0.000269149841266216,0.0154211499611702,0.145495600371098,0.145495600371098,0.655639512271641,2.18065916775472,0.262085752937752,5.41162674684105,0.209029475218646,9.3175130984271,8,7-10,7,10
9,4,0.0777884076759311,0.538706342800332,30.8655998393868,0.125989360621186,0.125989360621185,0.548075742204893,2.72084055866708,0.437562299150443,3.74616118440473,0.301923995889498,7.28533238136157,8,7-10,7,10
9,5,0.0365560770292768,2.22253670291441,127.341972889917,0.0249669822442197,0.0249669822442195,0.295946249407054,4.49967745939205,0.376870122067741,4.2663305229951,0.137878432416739,16.7737378088598,27,9-12,12,9
