Rank,Objective,RelativeResidual,ExplainedFraction,ExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercentagePoints,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.00495934869445738,0.465494478712813,0.783314890287886,78.3314890287886,0.783314890287886,78.3314890287886,0.2711148,0,0,0,baseline_retained:common_weight_rank_1
2,0.00349551859476187,0.390803118022553,0.84727292294385,84.727292294385,0.0639580326559639,6.39580326559639,6.9994245,6,230,1,optimized_start_6:converged;weight_solver=normal_equations
3,0.00285890058761427,0.353428639291087,0.87508819692885,87.508819692885,0.0278152739850002,2.78152739850002,45.056986,9,1000,0,optimized_start_9:max_iter;weight_solver=normal_equations
4,0.00238033150742599,0.322493476723394,0.895997957470858,89.5997957470858,0.0209097605420075,2.09097605420075,60.8188571,1,1000,0,optimized_start_1:max_iter;weight_solver=normal_equations
5,0.00196280884746569,0.29284729386494,0.914240462475982,91.4240462475982,0.0182425050051236,1.82425050051236,62.3536757,14,1000,0,optimized_start_14:max_iter;weight_solver=normal_equations
6,0.00167929549879233,0.270873034891751,0.926627798968532,92.6627798968532,0.0123873364925507,1.23873364925507,69.0760149,14,1000,0,optimized_start_14:max_iter;weight_solver=normal_equations
7,0.00147847634497804,0.254161287544436,0.935402039913754,93.5402039913754,0.00877424094522217,0.877424094522217,76.7063305,1,1000,0,optimized_start_1:max_iter;weight_solver=normal_equations
8,0.00133778642734054,0.241766211125138,0.941549099158195,94.1549099158195,0.00614705924444081,0.614705924444081,142.2442558,2,1000,0,optimized_start_2:max_iter;weight_solver=normal_equations
9,0.00119759502471694,0.228747946090572,0.947674377159345,94.7674377159345,0.0061252780011497,0.61252780011497,91.8316383,7,1000,0,optimized_start_7:max_iter;weight_solver=normal_equations
10,0.00107923610568247,0.217150305549339,0.952845744799829,95.2845744799829,0.00517136764048365,0.517136764048365,98.502183,1,1000,0,optimized_start_1:max_iter;weight_solver=normal_equations
