mode_l,singular_value_sigma,max_amplitude,min_amplitude,amplitude_ratio,suppression_percent,max_phase_deg_agent_7,min_phase_deg_agent_7,max_phase_deg_agent_8,min_phase_deg_agent_8,max_phase_deg_agent_9,min_phase_deg_agent_9,max_phase_deg_agent_10,min_phase_deg_agent_10,max_phase_deg_agent_11,min_phase_deg_agent_11,max_phase_deg_agent_12,min_phase_deg_agent_12
1,0.135599322081143,3.38815003054577,4.07333285471389e-14,1.20222918642648e-14,99.9999999999988,0,0,0,144.045607238863,0,-127.895785955024,-180,-170.900110519103,-180,-32.7561167964993,-180,51.2166666549223
2,0.052638355351364,3.03783337375234,9.23889115361555e-13,3.04127646810452e-13,99.9999999999696,0,0,0,47.5561188658579,-180,126.237176793491,0,-127.334526424046,-180,-124.099530743061,-180,-45.9696989687353
3,0.0452691425206073,3.37359380494144,2.40859872295936e-14,7.13956351067336e-15,99.9999999999993,0,0,-180,57.0741689857362,0,117.07313568195,0,176.115817346766,-180,-120.222003744522,0,-59.9144690869393
4,0.034846534799209,2.83784169464243,1.059011978052e-13,3.73175142239721e-14,99.9999999999963,0,0,-180,1.98452465914737,-180,103.42267501523,0,124.831705579117,0,167.540117060424,-180,-111.58773779286
5,0.0105226928612463,2.57395835395389,1.1956322250378e-13,4.64511099490471e-14,99.9999999999954,0,0,0,-33.7039724159019,0,88.0549665860145,0,-83.0904710222397,0,-109.674754587204,-180,-38.8192092845044
6,0.00755201052139586,2.6255879540476,2.84464184992371e-14,1.08343041623817e-14,99.9999999999989,0,0,0,-6.74180609857544,-180,82.8672449500535,-180,121.872512235586,0,129.48058819416,0,169.405376506608
