target_agent_id,max_input_amp,min_input_amp,sender_7_phase_for_max_deg,sender_7_phase_for_min_deg,sender_8_phase_for_max_deg,sender_8_phase_for_min_deg,sender_9_phase_for_max_deg,sender_9_phase_for_min_deg,sender_10_phase_for_max_deg,sender_10_phase_for_min_deg,sender_11_phase_for_max_deg,sender_11_phase_for_min_deg,sender_12_phase_for_max_deg,sender_12_phase_for_min_deg
7,0.178194525628279,2.05406691708043e-12,0,0,-180,-124.411441451684,-180,93.5385230196187,0,110.771319368727,0,-116.711040664582,0,-69.8831003666273
8,0.183362811393973,4.09989419458953e-13,0,0,-180,-105.807592718924,0,-93.8425450390717,-180,-57.8392896890373,-180,-3.04082125346622,-180,16.582260593568
9,0.160686113221748,6.65583863140866e-13,0,0,0,-110.267899459367,-180,108.824561766537,-180,-55.6775213992704,-180,158.093186431808,-180,-45.0441620595033
10,0.248697611992524,6.23002346082754e-13,0,0,0,156.834650580892,0,131.604104182465,0,45.8461151792173,-180,125.855743289379,-180,-17.4353239966257
11,0.192444740202485,8.64996132172716e-12,0,0,0,125.322829181983,0,56.7510616447109,-180,1.91844183270754,0,136.446526547013,-180,129.478440127385
12,0.146772775992957,3.03228296805168e-12,0,0,0,108.767998321529,0,92.0356112608702,-180,-16.1093358042588,-180,110.118426152877,0,103.240101786172
