state_type,total_amplitude_sum_J_amp,energy_J2,mean_agent_amplitude,phase_rad_agent_7,phase_deg_agent_7,input_amp_agent_7,phase_rad_agent_8,phase_deg_agent_8,input_amp_agent_8,phase_rad_agent_9,phase_deg_agent_9,input_amp_agent_9,phase_rad_agent_10,phase_deg_agent_10,input_amp_agent_10,phase_rad_agent_11,phase_deg_agent_11,input_amp_agent_11,phase_rad_agent_12,phase_deg_agent_12,input_amp_agent_12
BEST_FOUND_MIN_AMP_SUM,0.13819009743765,0.00190539933032183,0.023031682906275,0,0,0.0317155390006235,-1.36916686876987e-08,-7.84474830296556e-07,0.0233885534936335,-1.80564949658901e-08,-1.03456095434472e-06,0.00250418819084178,-1.05368695990649e-08,-6.0371815730612e-07,0.0303360856170612,-9.92799842336467e-09,-5.68832408671331e-07,0.0192477904921297,-3.12610781705303e-09,-1.79112784219993e-07,0.0309979406433605
BEST_FOUND_MAX_AMP_SUM,1.11015857843197,0.105811482281783,0.185026429738661,0,0,0.178194525628279,0,0,0.183362811393973,0,0,0.160686113221748,-3.14159265358979,-180,0.248697611992524,-3.14159265358979,-180,0.192444740202485,-3.14159265358979,-180,0.146772775992957
