state_type,total_energy,mean_amplitude,phase_rad_agent_7,phase_deg_agent_7,phase_rad_agent_8,phase_deg_agent_8,phase_rad_agent_9,phase_deg_agent_9,phase_rad_agent_10,phase_deg_agent_10,phase_rad_agent_11,phase_deg_agent_11,phase_rad_agent_12,phase_deg_agent_12
MAX_VIBRATION,0.105811482281783,0.185026429738661,0,0,0,0,0,0,-3.14159265358979,-180,-3.14159265358979,-180,-3.14159265358979,-180
MIN_VIBRATION,0.00190539933032183,0.0230316829062751,0,0,2.51417464625092e-08,1.44051596188975e-06,-6.23362268470373e-08,-3.57160270910533e-06,-3.83052958241592e-08,-2.19473178372442e-06,-2.26633991573522e-08,-1.29851712113663e-06,4.69616905363068e-08,2.69070666652984e-06
