phi,a_shared,b_shared,wb_10_11_11to10,wb_10_11_10to11,wb_10_12_12to10,wb_10_12_10to12,wb_11_12_12to11,wb_11_12_11to12,wb_7_10_10to7,wb_7_10_7to10,wb_7_11_11to7,wb_7_11_7to11,wb_7_12_12to7,wb_7_12_7to12,wb_7_8_8to7,wb_7_8_7to8,wb_7_9_9to7,wb_7_9_7to9,wb_8_10_10to8,wb_8_10_8to10,wb_8_11_11to8,wb_8_11_8to11,wb_8_9_9to8,wb_8_9_8to9,wb_9_10_10to9,wb_9_10_9to10,wb_9_11_11to9,wb_9_11_9to11,wb_9_12_12to9,wb_9_12_9to12
0,-0.0173545913209194,1.38267278646845,-0.0633765624846247,-0.0650358593426636,-0.0431905351529075,-0.044172496211362,-0.03925080255272,-0.0436948090300511,0.0501627093135263,0.0650416662956945,0.0334044089593684,0.0461057107782072,0.0221925464861306,0.0290913655763471,-0.0412484142965945,-0.059541610668516,-0.0321720905930768,-0.0390233758480609,0.0490634072873672,0.046193790325978,0.0307334546682651,0.0254374521490847,-0.0434243347407405,-0.0426749413994571,0.0275634445019299,0.0283704775156002,0.0178010363418035,0.0156335837749328,0.0347487658151732,0.0287797912937927
0.0122958616578857,-0.0180654493904574,1.38393422594412,-0.0634343821644019,-0.0650951928314773,-0.043229938724418,-0.044212795645187,-0.0392866118289828,-0.0437346726605006,0.0502084737361387,0.0651010050823052,0.0334348844561997,0.0461477739215616,0.0222127931811384,0.0291179061991888,-0.0412860460331931,-0.059595931646608,-0.032201441821716,-0.0390589776384847,0.049108168795201,0.0462359338260296,0.030761493401161,0.0254606592351107,-0.0434639516121961,-0.0427138745846836,0.0275885911724367,0.0283963604581387,0.0178172765760579,0.0156478465997406,0.0347804677951058,0.0288060476613113
0.0245917233157714,-0.0184119466713629,1.38513126977005,-0.0634892501878222,-0.0651514973849854,-0.0432673307697009,-0.0442510378196067,-0.0393205930654099,-0.0437725012790184,0.0502519019152878,0.0651573146631612,0.0334638041991025,0.0461876897693074,0.0222320062957761,0.029143091940813,-0.041321756694563,-0.0596474795747468,-0.0322292946895734,-0.0390927619810876,0.0491506452577068,0.0462759259283165,0.0307881007753134,0.0254826816147657,-0.0435015460686032,-0.0427508202565908,0.0276124541220696,0.0284209220936037,0.0178326877571099,0.0156613813167886,0.03481055140996,0.0288309636586584
0.0368875849736571,-0.0183749096559598,1.38625872492556,-0.0635409285261908,-0.0652045287425321,-0.0433025490744251,-0.0442870568322559,-0.0393525988444556,-0.0438081307773295,0.0502928054506606,0.0652103507557972,0.0334910427283242,0.0462252851583426,0.0222501024796272,0.0291668135403274,-0.0413553913605597,-0.0596960308274893,-0.0322555283652181,-0.0391245823124893,0.0491906524033125,0.0463135931389289,0.0308131613624977,0.0255034237504679,-0.0435369550175299,-0.0427856181373063,0.027634929828478,0.0284440558686027,0.0178472030281079,0.0156741292097093,0.0348388861508688,0.0288544311951475
0.0491834466315427,-0.0179398570524897,1.38730981074671,-0.0635891063791672,-0.0652539679665412,-0.0433353818310624,-0.0443206360600436,-0.0393824366791449,-0.0438413468749333,0.0503309383430022,0.0652597943941595,0.0335164362277586,0.0462603339850407,0.0222669728998561,0.0291889283329049,-0.0413867477478673,-0.0597412934112002,-0.0322799850758659,-0.0391542472610214,0.0492279496237698,0.0463487089222958,0.0308365244450382,0.0255227608962784,-0.0435699655048886,-0.0428180589477876,0.0276558831198001,0.0284656226535628,0.0178607350922982,0.0156860136109939,0.0348653016089644,0.0288763091339199
0.0614793082894284,-0.0170970906074394,1.38827634149174,-0.0636334085428858,-0.065299430029727,-0.0433655733416844,-0.0443515139916052,-0.0394098741956747,-0.0438718908884836,0.050366003617505,0.0653052605165838,0.0335397869356011,0.0462925632929611,0.0222824861714697,0.0292092640909522,-0.0414155816563605,-0.0597829148258129,-0.032302474355321,-0.0391815257992995,0.0492622464523925,0.0463809998005253,0.0308580080737958,0.0255405424566141,-0.0436003204486033,-0.04284789004254,0.027675150814088,0.0284854544887144,0.0178731785634405,0.015696941966221,0.0348895920635395,0.028896427091974
0.0737751699473141,-0.0158417126363551,1.38914891791121,-0.0636734041908166,-0.0653404728258518,-0.0433928300020364,-0.0443793903474288,-0.0394346445716363,-0.0438994657857304,0.0503976602738825,0.0653463069773576,0.0335608677725493,0.0463216596608232,0.0222964914321079,0.0292276230547364,-0.0414416126840975,-0.0598204903143559,-0.0323227775014386,-0.0392061526509353,0.0492932093618219,0.0464101517535824,0.0308774033263059,0.0255565955106222,-0.043627724655077,-0.0428748213222555,0.0276925455382391,0.0285033585148379,0.0178844124321519,0.0157068080000992,0.0349115212965097,0.0289145894276228
0.0860710316051998,-0.0141735711150138,1.38991712500907,-0.0637086159383936,-0.06537660647168,-0.0434168264789972,-0.044403932397762,-0.0394564521499823,-0.0439237424351048,0.0504255304610444,0.065382443849504,0.0335794271195717,0.0463472757969172,0.0223088215162009,0.0292437860932665,-0.041464530127001,-0.0598535713790743,-0.0323406521776371,-0.0392278338719749,0.0493204687814707,0.0464358168262972,0.0308944787025258,0.0255707284504498,-0.0436518510300908,-0.0428985313375279,0.0277078596703425,0.0285191210310388,0.017894302611955,0.0157154939525085,0.0349308275624624,0.0289305793568116
0.0983668932630855,-0.0120971342194717,1.39056973320331,-0.0637385290634693,-0.0654073027688387,-0.0434372119942329,-0.0444247813891284,-0.0394749781495009,-0.0439443659627376,0.0504492067751108,0.0654131428874884,0.0335951936778087,0.0463690372468783,0.0223192961836925,0.0292575169367044,-0.0414839989799595,-0.0598816744439505,-0.0323558370935134,-0.0392462525282866,0.0493436262356034,0.0464576198489537,0.0309089845961473,0.0255827346820584,-0.0436723468964727,-0.0429186734974942,0.0277208693497978,0.0285325116222781,0.0179027045290943,0.0157228728529807,0.0349472286441447,0.0289441631401989
0.110662754920971,-0.00962129719538233,1.39109490015674,-0.0637626007574844,-0.0654320046971972,-0.0434536166287821,-0.0444415589922516,-0.0394898863943134,-0.0439609621306549,0.0504682595817356,0.0654378470214446,0.0336078813446638,0.0463865491238039,0.0223277253595185,0.0292685664228737,-0.0414996659579184,-0.0599042895460796,-0.0323680567010501,-0.0392610743918593,0.049362261505193,0.0464751651802644,0.0309206577808042,0.0255923963383655,-0.0436888403328112,-0.0429348822991585,0.0277313385007906,0.0285432873006526,0.0179094657209793,0.0157288108027563,0.0349604269247916,0.0289550942841846
0.122958616578857,-0.00675912536991987,1.39148037064663,-0.0637802692867471,-0.0654501358160031,-0.0434656575663828,-0.0444538736873269,-0.0395008289876997,-0.0439731436529987,0.0504822442672827,0.0654559797591506,0.033617194042514,0.0463994027729784,0.0223339123416082,0.0292766767025075,-0.0415111654584667,-0.0599208889425947,-0.0323770258451911,-0.0392719535817533,0.0493759397201892,0.0464880433848266,0.0309292258526885,0.0255994879563083,-0.0437009464505777,-0.0429467794961875,0.0277390228166744,0.0285511966064358,0.0179144284093799,0.0157331692346684,0.0349701144111679,0.0289631177011185
0.135254478236743,-0.00352753798053051,1.39171367197484,-0.0637909629493039,-0.0654611094552577,-0.0434729451974954,-0.0444613270068232,-0.039507451859328,-0.043980516371318,0.0504907083282115,0.0654669543782247,0.0336228304396822,0.0464071822878917,0.0223376569373088,0.0292815853506669,-0.041518125391385,-0.0599309355255524,-0.0323824543106531,-0.0392785380791887,0.0493842182935426,0.0464958377615899,0.0309344115740426,0.0256037800718621,-0.0437082735311934,-0.0429539801300664,0.0277436736554522,0.0285559836176152,0.0179174320162077,0.0157358071226018,0.0349759776445356,0.0289679737766847
0.147550339894628,5.30617282478386e-05,1.39178230258397,-0.0637941087204005,-0.0654643375875284,-0.0434750890111041,-0.0444635195612376,-0.0395094001196209,-0.0439826852151608,0.0504931982139816,0.0654701827987305,0.033624488507272,0.0464094707997117,0.0223387584907627,0.0292830293352158,-0.041520172805514,-0.059933890944252,-0.0323840512106542,-0.0392804750508865,0.0493866536141484,0.046498130645343,0.0309359370656377,0.0256050426900699,-0.043710428949723,-0.0429560983515657,0.0277450417998204,0.0285573918200274,0.0179183155918296,0.0157365831141364,0.0349777024408777,0.0289694022958733
0.159846201552514,0.00395920400592762,1.39167391173701,-0.0637891404883269,-0.0654592392794213,-0.0434717032073683,-0.0444600567793535,-0.0395063231604342,-0.0439792598802552,0.0504892658457442,0.0654650840354031,0.033621869860102,0.0464058564687653,0.0223370187668501,0.0292807487972716,-0.0415169392490247,-0.0599292233427249,-0.0323815291677082,-0.0392774159201935,0.0493828074226832,0.0464945094096417,0.0309335278006156,0.0256030485906634,-0.0437070248179087,-0.0429527529663904,0.0277428810390649,0.0285551677941287,0.0179169201283297,0.0157353575621454,0.0349749784065332,0.0289671461829418
0.1721420632104,0.00816481098158396,1.39137646833392,-0.0637755067923392,-0.0654452486320934,-0.0434624119709438,-0.044450554301454,-0.0394978794473596,-0.0439698601634009,0.0504784747409274,0.0654510921388716,0.0336146838351971,0.0463959381137867,0.0223322446607749,0.0292744906030972,-0.0415080658056184,-0.0599164146294302,-0.0323746082416554,-0.0392690211316177,0.0493722528019709,0.0464845721068103,0.0309269163568709,0.0255975764338327,-0.0436976832860377,-0.0429435726455506,0.0277369515344029,0.0285490646788711,0.0179130907329155,0.0157319944335687,0.0349675031808268,0.0289609550152655
0.184437924868285,0.0126416887507717,1.39087841717466,-0.0637526779851735,-0.0654218221312927,-0.043446854352169,-0.0444346429714842,-0.039483740955661,-0.0439541209006453,0.0504604056823838,0.0654276635463542,0.0336026512669933,0.0463793304225625,0.0223242507061585,0.0292640116318672,-0.0414932077562236,-0.0598949672063608,-0.032363019565598,-0.0392549645610612,0.0493545797218929,0.0464679326885417,0.0309158458903979,0.0255884136350451,-0.043682041450551,-0.0429282007482778,0.0277270229340704,0.0285388453779969,0.0179066786397052,0.0157263630762448,0.0349549863632062,0.0289505882758912
0.196733786526171,0.0173600456270798,1.39016882123003,-0.063720152754212,-0.0653884453392584,-0.0434246887111793,-0.0444119733822056,-0.0394635972090076,-0.0439316964632855,0.0504346618799099,0.0653942837741569,0.033585507924503,0.0463556686960044,0.0223128613585545,0.02924908176904,-0.0414720388232743,-0.0598644100956106,-0.0323465086562645,-0.039234937531153,0.0493294000877945,0.0464442257590328,0.0309000732976264,0.0255753589824451,-0.0436597558222143,-0.0429062997130864,0.027712877209478,0.0285242854792346,0.0178975430413756,0.0157183398275374,0.034937153088736,0.0289358183148495
0.209029648184057,0.0222890287868331,1.38923748874534,-0.0636774639474405,-0.0653446388732107,-0.0433955966882418,-0.044382219935798,-0.0394371588876454,-0.043902264774559,0.0504008735815064,0.0653504733966965,0.0335630075820502,0.046324613086465,0.0222979130355219,0.029229486580612,-0.041444254962514,-0.0598243044127991,-0.0323248383714633,-0.0392086523985135,0.0492963522506899,0.0464131108213972,0.0308793720406266,0.0255582249752194,-0.0436305063179456,-0.0428775549807126,0.0276943111890097,0.0285051758622847,0.0178855527255406,0.0157078094514686,0.0349137472224145,0.0289164329947675
0.221325509841942,0.0273972714213851,1.38807508427223,-0.0636241836627315,-0.0652899636278799,-0.043359286672055,-0.0443450843910133,-0.0394041609803264,-0.0438655308184377,0.0503587021015583,0.0652957932694961,0.0335349247017217,0.0462858523001322,0.0222792558987375,0.029205029649221,-0.0414095776753378,-0.0597742481483997,-0.0322977914935753,-0.0391758456874206,0.0492551049471666,0.0463742759871325,0.0308535346150766,0.0255368398662825,-0.0435939997478891,-0.0428416784210104,0.0276711387714306,0.0284813249770347,0.0178705875042155,0.0156946663941317,0.0348845341495791,0.0288922380019518
