phi,mean_self_profile,pair_7_10,pair_7_8,pair_7_9
0,0.473839236707584,0.46722277992759,0.491077867400955,0.463217062794208
0.0122958616578857,0.473936501693606,0.467421413935611,0.491075784527198,0.463312306618008
0.0245917233157714,0.47401858824987,0.467613669941979,0.491080459628115,0.463361635179518
0.0368875849736571,0.474081428505811,0.467792925228441,0.491090396156804,0.463360964132187
0.0491834466315427,0.474120845060985,0.46795232520702,0.491103752355871,0.463306457620065
0.0614793082894284,0.474132610446861,0.468084891176484,0.491118354569891,0.463194585594208
0.0737751699473141,0.474112507650529,0.468183630173309,0.491131715912009,0.46302217686627
0.0860710316051998,0.474056390572763,0.46824164498885,0.491141059859575,0.462786466869866
0.0983668932630855,0.473960243277224,0.468252242410464,0.491143348251691,0.462485139169518
0.110662754920971,0.473820236891732,0.468209037762474,0.491135313069438,0.462116359843284
0.122958616578857,0.47363278304656,0.46810605387316,0.49111349129936,0.461678803967161
0.135254478236743,0.473394582778425,0.467937812675621,0.491074262113895,0.461171673545759
0.147550339894628,0.473102669891794,0.467699417762226,0.491013885550444,0.460594706362712
0.159846201552514,0.472754447850473,0.467386626352809,0.490928541834577,0.459948175364032
0.1721420632104,0.472347719370998,0.466995909303666,0.490814370473404,0.459232878335924
0.184437924868285,0.471880708003753,0.466524497975089,0.49066750824294,0.45845011779323
0.196733786526171,0.471352071116213,0.465970416986922,0.490484125208434,0.457601671153282
0.209029648184057,0.470760903833356,0.465332502120842,0.490260457949229,0.456689751429996
0.221325509841942,0.470106733640882,0.464610402871456,0.489992839209106,0.455716958842084
0.233621371499828,0.46938950551506,0.463804569401802,0.489677723258751,0.454686223884627
0.245917233157714,0.468609557606319,0.462916223918599,0.489311706337736,0.453600742562622
0.258213094815599,0.467767587669419,0.461947316744365,0.488891541638032,0.45246390462586
0.270508956473485,0.466864610598524,0.460900467623175,0.488414148397966,0.45127921577443
0.282804818131371,0.46590190758802,0.459778893050218,0.487876614792823,0.450050214921018
0.295100679789256,0.464880967596763,0.458586320658249,0.487276194434042,0.448780387697998
