pair_name,target_id,source_id,direction,total_energy,residual_energy,relative_residual,explained_fraction,zero_direction,weight_r1
10-11,10,11,s1,0.00245651388403472,0.000355550281447061,0.38044414246188,0.855262254466445,0,-0.0458362695099378
10-11,11,10,s2,0.00251900998946614,0.000306593249791503,0.348872188448421,0.878288196127209,0,-0.0470363342499672
10-12,10,12,s1,0.00122199459622985,0.000246245090433533,0.448899526694663,0.798489214933307,0,-0.0312369893843231
10-12,12,10,s2,0.00128505510820634,0.000264432806527844,0.453624801347886,0.794224539602091,0,-0.0319471798705065
11-12,11,12,s1,0.00095407558461957,0.000148218085404948,0.394147892223416,0.844647439055839,0,-0.0283876293341769
11-12,12,11,s2,0.00122987573954434,0.000231208368241882,0.43358191279055,0.812006724900888,0,-0.0316016988673466
7-10,7,10,s1,0.00180854856475791,0.000492344767496965,0.521758551405073,0.72776801403568,0,0.0362795231123693
7-10,10,7,s2,0.00273895632350981,0.000526144479540896,0.438288378865787,0.807903296951201,0,0.0470405340527605
7-11,7,11,s1,0.00392942752492713,0.00334575566773886,0.922746634061135,0.148538649328847,0,0.0241593016701284
7-11,11,7,s2,0.00436098256847171,0.00324907006786027,0.863152163124979,0.254968343292669,0,0.0333453520091098
7-12,7,12,s1,0.000406041250977208,0.00014842370073795,0.604597781696124,0.634461522368126,0,0.0160504688479576
7-12,12,7,s2,0.000655539120023459,0.000212859645851377,0.569832690817409,0.675290704475791,0,0.0210399494812151
7-8,7,8,s1,0.00116123237699879,0.000271261725851736,0.483319916962991,0.766401857866888,0,-0.0298323758884045
7-8,8,7,s2,0.00241094855133929,0.000556553213197027,0.480462366232185,0.76915591463457,0,-0.0430626907907792
7-9,7,9,s1,0.000700299791551035,0.000158897941507817,0.476340092850304,0.773100115943363,0,-0.023268043537075
7-9,9,7,s2,0.000946839623571178,0.000150293656481992,0.398411727066267,0.841268095736075,0,-0.0282231459459995
8-10,8,10,s1,0.00143398945916891,0.000174842039125378,0.349180475426881,0.878072995580657,0,0.035484467306746
8-10,10,8,s2,0.00134646927387623,0.000230304358677017,0.413573644504063,0.828956840571627,0,0.0334090543894797
8-11,8,11,s1,0.000618940314314461,0.000124875493795774,0.449173600895742,0.798243076258353,0,0.0222275689295678
8-11,11,8,s2,0.000407393037643991,6.8932228169574e-05,0.411343232998331,0.830796744666481,0,0.0183973044078315
8-9,8,9,s1,0.00136615813249908,0.000379816153642765,0.527273845970008,0.721982291355996,0,-0.0314060818768644
8-9,9,8,s2,0.00111947824199618,0.000166886008438719,0.386102074557638,0.850925188022288,0,-0.0308640929488857
9-10,9,10,s1,0.000474469434581035,7.70691743401657e-05,0.403028940624116,0.837567673019403,0,0.0199349005575867
9-10,10,9,s2,0.000567860703212724,0.000146848716522104,0.508527179215074,0.74140010799956,0,0.0205185766243816
9-11,9,11,s1,0.000237606700578064,7.1857385208895e-05,0.549928671567509,0.697578456187995,0,0.012874366600698
9-11,11,9,s2,0.00019527464927117,6.74312646394017e-05,0.587635087044613,0.65468500447407,0,0.011306784893672
9-12,9,12,s1,0.000894623212111027,0.000263026387404221,0.542225051774108,0.705991993228566,0,0.0251315901746548
9-12,12,9,s2,0.000701007865218025,0.000267759981569549,0.618032607822927,0.618035695667592,0,0.0208146074584287
