time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788887363.5128071,8532456,2184308736,2184.308736,38,0,137,94,11,20260908_190958
1788887363.522279,8532493,2184318208,2184.318208,41,3,137,94,11,20260908_190958
1788887363.532519,8532533,2184328448,2184.328448,45,5,137,94,11,20260908_190958
1788887363.542503,8532572,2184338432,2184.338432,48,1,136,94,11,20260908_190958
1788887363.5524871,8532611,2184348416,2184.348416,51,6,137,94,11,20260908_190958
1788887363.5624712,8532650,2184358400,2184.3584,54,186,137,94,11,20260908_190958
1788887363.572455,8532689,2184368384,2184.368384,57,156,137,95,11,20260908_190958
1788887363.582439,8532728,2184378368,2184.378368,60,117,137,95,11,20260908_190958
1788887363.592423,8532767,2184388352,2184.388352,64,96,137,96,11,20260908_190958
1788887363.602407,8532806,2184398336,2184.398336,67,70,138,96,11,20260908_190958
1788887363.612391,8532845,2184408320,2184.40832,70,0,138,97,11,20260908_190958
1788887363.622375,8532884,2184418304,2184.418304,73,1,138,98,11,20260908_190958
1788887363.632359,8532923,2184428288,2184.428288,76,1,138,99,11,20260908_190958
1788887363.642343,8532962,2184438272,2184.438272,80,174,137,99,11,20260908_190958
1788887363.652327,8533001,2184448256,2184.448256,83,175,136,99,11,20260908_190958
1788887363.6625671,8533041,2184458496,2184.458496,86,165,132,99,11,20260908_190958
1788887363.6725512,8533080,2184468480,2184.46848,89,102,125,99,11,20260908_190958
1788887363.682535,8533119,2184478464,2184.478464,92,104,118,99,11,20260908_190958
1788887363.692519,8533158,2184488448,2184.488448,99,17,114,99,11,20260908_190958
1788887363.702503,8533197,2184498432,2184.498432,102,61,112,98,11,20260908_190958
1788887363.712487,8533236,2184508416,2184.508416,105,18,112,98,11,20260908_190958
1788887363.722471,8533275,2184518400,2184.5184,108,47,113,98,11,20260908_190958
1788887363.732455,8533314,2184528384,2184.528384,112,8,114,97,11,20260908_190958
1788887363.742439,8533353,2184538368,2184.538368,115,88,115,96,11,20260908_190958
1788887363.752423,8533392,2184548352,2184.548352,118,12,116,94,11,20260908_190958
1788887363.762407,8533431,2184558336,2184.558336,121,55,117,93,11,20260908_190958
1788887363.772391,8533470,2184568320,2184.56832,124,12,118,91,11,20260908_190958
1788887363.782375,8533509,2184578304,2184.578304,128,10,120,90,11,20260908_190958
1788887363.792615,8533549,2184588544,2184.588544,131,10,122,91,11,20260908_190958
1788887363.802599,8533588,2184598528,2184.598528,134,10,125,92,11,20260908_190958
1788887363.812583,8533627,2184608512,2184.608512,137,1,127,94,11,20260908_190958
1788887363.822567,8533666,2184618496,2184.618496,140,15,129,95,11,20260908_190958
1788887363.832551,8533705,2184628480,2184.62848,143,4,130,96,11,20260908_190958
1788887363.842535,8533744,2184638464,2184.638464,147,1,131,96,11,20260908_190958
1788887363.852519,8533783,2184648448,2184.648448,150,26,132,97,11,20260908_190958
1788887363.862503,8533822,2184658432,2184.658432,153,1,133,96,11,20260908_190958
1788887363.872487,8533861,2184668416,2184.668416,156,5,133,96,11,20260908_190958
1788887363.882471,8533900,2184678400,2184.6784,159,5,133,97,11,20260908_190958
1788887363.892455,8533939,2184688384,2184.688384,163,13,133,97,11,20260908_190958
1788887363.902439,8533978,2184698368,2184.698368,166,24,133,97,11,20260908_190958
