mode_l,singular_value_sigma,energy_share_eta,cum_energy_share
1,0.0794936993312693,0.696122199547274,0.696122199547274
2,0.0442059579357636,0.215269092635008,0.911391292182283
3,0.027949068166671,0.0860507646588724,0.997442056841155
4,0.00481876126619975,0.00255794315884505,1
