m,Re_A,Im_A,Abs_A,Angle_A
-10,-0.0288450323257547,0.00422478619111685,0.0291527821697087,2.9961617485171
-9,-0.00677975138909815,-0.0222623780961074,0.0232718393641762,-1.86641167064952
-8,0.0436716331636873,-0.00913091938820818,0.0446159750768447,-0.20611208158947
-7,0.0102138041671976,0.0214177483778524,0.0237285006088219,1.12581107665096
-6,-0.0765023037992165,0.0534086401174235,0.0933010467560792,2.53212206312215
-5,-0.00209762528633236,-0.0119425022165954,0.0121253202446471,-1.7446664981679
-4,0.16069069637905,-0.136333254784305,0.210732665391168,-0.703576273341327
-3,-0.00298951576649437,-0.0391115865939972,0.039225672848504,-1.64708354431686
-2,-0.426922057730528,0.208616877447471,0.475166754869069,2.68706352929737
-1,-0.0205218812675771,0.0314875488927752,0.0375847488489073,2.14839792300064
0,0.654308540586529,0,0.654308540586529,0
1,-0.0205218812675771,-0.0314875488927752,0.0375847488489073,-2.14839792300064
2,-0.426922057730528,-0.208616877447471,0.475166754869069,-2.68706352929737
3,-0.00298951576649437,0.0391115865939972,0.039225672848504,1.64708354431686
4,0.16069069637905,0.136333254784305,0.210732665391168,0.703576273341327
5,-0.00209762528633236,0.0119425022165954,0.0121253202446471,1.7446664981679
6,-0.0765023037992165,-0.0534086401174235,0.0933010467560792,-2.53212206312215
7,0.0102138041671976,-0.0214177483778524,0.0237285006088219,-1.12581107665096
8,0.0436716331636873,0.00913091938820818,0.0446159750768447,0.20611208158947
9,-0.00677975138909815,0.0222623780961074,0.0232718393641762,1.86641167064952
10,-0.0288450323257547,-0.00422478619111685,0.0291527821697087,-2.9961617485171
