phi,b_1_shared,a_1_shared,b_1_7_10_10to7,b_1_7_10_7to10,b_1_7_8_8to7,b_1_7_8_7to8,b_1_7_9_9to7,b_1_7_9_7to9,b_1_8_10_10to8,b_1_8_10_8to10,b_1_8_9_9to8,b_1_8_9_8to9,b_1_9_10_10to9,b_1_9_10_9to10,a_2_shared,b_2_7_10_10to7,b_2_7_10_7to10,b_2_7_8_8to7,b_2_7_8_7to8,b_2_7_9_9to7,b_2_7_9_7to9,b_2_8_10_10to8,b_2_8_10_8to10,b_2_8_9_9to8,b_2_8_9_8to9,b_2_9_10_10to9,b_2_9_10_9to10,a_3_shared,b_3_7_10_10to7,b_3_7_10_7to10,b_3_7_8_8to7,b_3_7_8_7to8,b_3_7_9_9to7,b_3_7_9_7to9,b_3_8_10_10to8,b_3_8_10_8to10,b_3_8_9_9to8,b_3_8_9_8to9,b_3_9_10_10to9,b_3_9_10_9to10
0,1.43187984605639,-0.0435731663450169,-0.00490366901260938,-0.00494535434819718,-0.0223986233319053,-0.0468843666959556,0.00278601391494087,0.0149307963567504,0.0112321734403164,0.00836178473742537,0.040113717096319,0.0511710487812828,-0.0482275030161983,-0.0333191647340937,-0.00492145074456505,0.0148033181851531,0.132168109859524,-0.115816257687355,0.104745280119707,0.058203314323125,-0.042497835603068,0.0164062441542345,0.015256874399728,-0.0250477284959471,-0.0200271433743833,0.0626708904540276,-0.0336030039838547,-0.00836275183251509,-0.000390381330352717,0.0315089044595568,0.0157419573452416,0.0995322647439448,0.0411936006499045,0.00950781351212421,0.0593332383716135,-0.0268182514920519,0.0223392926259174,0.0106905614035493,0.0543856756208772,0.018589989599414
0.0122958616578857,1.43453778700179,-0.0451657442876716,-0.0049935066594217,-0.00484068257012282,-0.0223910752611221,-0.0471543975336878,0.00291455715445483,0.0148459711932598,0.0110932842563938,0.00837833601779843,0.0401705933001037,0.0512758010208263,-0.048021627563248,-0.0336470314842514,-0.00438176109841377,0.0153181606325493,0.133715724088676,-0.116389874683278,0.106955233573957,0.0595956525245542,-0.0419304091554488,0.0170140865054418,0.0151359317887879,-0.0263942222310844,-0.0208487876268332,0.065136972604718,-0.0344493212490176,-0.00803147511522214,-0.00183887631930807,0.0258590247405371,0.0157756567330846,0.0955213737172821,0.0399507070632439,0.011563429032257,0.0623023183251469,-0.0277648217570871,0.0240834922895614,0.0105962655928148,0.0509627074970313,0.0178543382123473
0.0245917233157714,1.43696676470914,-0.0458754653509505,-0.0050796600328334,-0.00472006742875877,-0.0223760784661767,-0.0474119197352748,0.00304522323700483,0.0147649572165336,0.0109579522832478,0.00838444873146969,0.0402384800493825,0.0513669589849859,-0.047815898824699,-0.0339495083528917,-0.00391289854253766,0.0157974050281451,0.134950876435452,-0.116962363423532,0.10904643725817,0.0609242369865181,-0.0413204696727688,0.0176085449363628,0.01502917146098,-0.0277799187137618,-0.0216972356193136,0.0674737926746289,-0.0354586570306229,-0.00768846735511972,-0.00331730922354392,0.0204103447391457,0.0158679396617349,0.0914563925202016,0.0386433481640109,0.013665090853195,0.0653262115756657,-0.0284951429428056,0.0259554122260649,0.0105133579357147,0.0475347344788588,0.0172599826378543
0.0368875849736571,1.43915260958561,-0.0456803253578395,-0.00516173082298072,-0.00458347228964168,-0.0223538185693421,-0.0476555820468301,0.00317802178952347,0.0146883259691376,0.0108263823567476,0.00838064912141581,0.0403175403376535,0.0514442443199432,-0.0476102562004527,-0.0342245429668393,-0.00352583084647376,0.0162342039224374,0.135865685406878,-0.117531759308492,0.111014574372099,0.0621871012595594,-0.0406660826964887,0.0181909453078085,0.0149438959879702,-0.0291969876554475,-0.0225751043289434,0.0696717258882429,-0.0366324652121517,-0.0073340701775519,-0.00481460854185484,0.015189964484337,0.0160243670639175,0.0873596162109405,0.0372830832001666,0.0158004791497385,0.0683927024294871,-0.0290113080853537,0.027946300164898,0.0104347171532782,0.0441245956889484,0.0168126907381016
0.0491834466315427,1.44108210522068,-0.0445726868679867,-0.00523929807910553,-0.00443105875657752,-0.0223245513661256,-0.0478841034622433,0.00331294545997343,0.0146165672710311,0.0106986785024446,0.00836749664903046,0.0404078047143485,0.0515074880587756,-0.0474045491111727,-0.0344703419231724,-0.00323009924427531,0.0166220871862368,0.136454554613112,-0.11809592478135,0.112855473667998,0.0633828765721324,-0.0399658277021836,0.0187628731809044,0.0148873393359225,-0.0306374209011165,-0.0234848834220219,0.0717216580370341,-0.0379705834284322,-0.00696907866220036,-0.00631944652059453,0.0102222342188563,0.016249606961881,0.0832518594611764,0.0358818478745706,0.0179567927004756,0.0714887974614108,-0.0293174517030088,0.0300456033675212,0.0103537715713264,0.0407542502932193,0.0165171557138694
0.0614793082894284,1.44274324662214,-0.0425594769861955,-0.00531192485815134,-0.00426318180008116,-0.0222886052632221,-0.0480962893829931,0.00344996867418412,0.0145500820903181,0.0105748456050773,0.00834557870509748,0.0405091739563395,0.0515566400103847,-0.0471985428912097,-0.0346853867236415,-0.00303363209607424,0.0169550306753565,0.13671423297843,-0.118652572660139,0.114565127693352,0.0645107998443266,-0.0392188187041354,0.0193261482702701,0.014866570659255,-0.0320931078200804,-0.0244288790281913,0.0736150517032773,-0.0394712123756066,-0.00659476352076778,-0.00782036691447756,0.00552858060085466,0.01654740057498,0.0791523240873711,0.0344517958697372,0.0201208718407629,0.0746007905666412,-0.0294196927177241,0.0322410590755168,0.0102645694934478,0.0374446201710288,0.0163769370155562
0.0737751699473141,1.44412546847985,-0.0396621490501633,-0.00537916532184743,-0.00408038246090756,-0.0222463824335554,-0.0482910461348029,0.00358904651899895,0.0144891765879136,0.0104547924480657,0.00831550548041416,0.0406214226716531,0.0515917762767466,-0.0469919252322984,-0.034868445975079,-0.00294258226152871,0.0172275188000848,0.136643850845278,-0.119199288976114,0.116139712239908,0.0655707143843991,-0.0384247172454007,0.019882795257035,0.0148883977223099,-0.033555909206825,-0.0254091589689236,0.0753440103679,-0.0411309140411633,-0.00621288535702774,-0.00930591631213149,0.00112736663446037,0.016920539782733,0.0750784916336855,0.0330051375389398,0.0222793250562475,0.0777143353056318,-0.0293260548971843,0.0345188085457094,0.0101618389843579,0.0342154464078017,0.0163944088468113
0.0860710316051998,1.4452198404443,-0.0359164070206048,-0.00544057214707392,-0.00388337827295333,-0.022198358662523,-0.0484673936356245,0.00373011377882743,0.0144340574330502,0.0103383360703274,0.00827790504637811,0.040744203778536,0.051613104781987,-0.0467843130927676,-0.0350185837651553,-0.00296119131274182,0.0174346003575021,0.136244931529836,-0.119733555036657,0.117575606826346,0.0665630632530235,-0.0375837376825798,0.0204350112801272,0.0149592713526915,-0.0350177289284029,-0.0264275002888764,0.0769013397940113,-0.0429446290298005,-0.00582570029549606,-0.0107647773304138,-0.00296621352004053,0.017370856033157,0.071046041733901,0.0315539780819036,0.0244186578137655,0.0808145241715991,-0.0290463656796463,0.0368635333413952,0.0100410365682437,0.0310851608384265,0.0165707171590643
0.0983668932630855,1.44601922699063,-0.0313716950778873,-0.00549570411056761,-0.00367305157903135,-0.0221450818817094,-0.0486244760408961,0.00387308415117747,0.0143848284691928,0.0102252073704092,0.00823341868827264,0.0408770537985001,0.0516209687258813,-0.0465752599852041,-0.0351351641754521,-0.0030916833080659,0.0175719370783365,0.135521378182721,-0.12025276847128,0.118869416018668,0.067488875373547,-0.0366966447831109,0.0209851304722312,0.0150851923424702,-0.0364705826125,-0.0274853399081822,0.0782806060753296,-0.0449057129160207,-0.00543595641344217,-0.0121859019324882,-0.00674020413281901,0.0178992206425991,0.0670687966244047,0.0301101575357236,0.0265254022076674,0.0838859743369551,-0.0285921345085902,0.0392586122379392,0.00989838450337828,0.0280707736641499,0.0169057459788288
0.110662754920971,1.44651841005257,-0.0260904585904121,-0.00554413370772505,-0.00345043593933448,-0.0220871694083965,-0.0487615702260028,0.00401784966474975,0.0143414887913084,0.0101150578715959,0.00818269652598243,0.0410193988983199,0.0516158479046446,-0.0463642635548171,-0.035217851946239,-0.00333419039336073,0.0176358444388179,0.134479436105405,-0.12075426306295,0.12001799137143,0.0683497445592985,-0.0357647437603494,0.0215355859508036,0.0152716222050142,-0.0379066627355737,-0.0285837291710993,0.0794761897430262,-0.0470059913091181,-0.00504688057505306,-0.0135586430995754,-0.0101859215972824,0.0185055562922887,0.0631586918243038,0.0286850948896609,0.0285862459974547,0.0869129193630998,-0.0279764120559983,0.0416862968112998,0.0097308964516628,0.0251877779506273,0.0173980938384931
